family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Egypt
Amaranthaceae,Haloxylon persicum,Bunge,Egypt
Anacardiaceae,Pistacia atlantica,Desf.,Egypt
Anacardiaceae,Pistacia khinjuk,Stocks,Egypt
Anacardiaceae,Pistacia lentiscus,L.,Egypt
Anacardiaceae,Rhus coriaria,L.,Egypt
Anacardiaceae,Searsia glutinosa,(Hochst. ex A.Rich.) Moffett,Egypt
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Egypt
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Egypt
Apocynaceae,Carissa spinarum,L.,Egypt
Apocynaceae,Periploca aphylla,Decne.,Egypt
Arecaceae,Hyphaene thebaica,(L.) Mart.,Egypt
Arecaceae,Medemia argun,(Mart.) Württemb. ex H.Wendl.,Egypt
Asparagaceae,Dracaena ombet,Heuglin ex Kotschy & Peyr.,Egypt
Boraginaceae,Cordia sinensis,Lam.,Egypt
Burseraceae,Commiphora quadricincta,Schweinf.,Egypt
Capparaceae,Boscia senegalensis,Lam.,Egypt
Capparaceae,Cadaba farinosa,Forssk.,Egypt
Capparaceae,Capparis cartilaginea,Decne.,Egypt
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Egypt
Capparaceae,Maerua crassifolia,Forssk.,Egypt
Cupressaceae,Juniperus phoenicea,L.,Egypt
Cupressaceae,Juniperus turbinata,Guss.,Egypt
Ebenaceae,Euclea racemosa,L.,Egypt
Euphorbiaceae,Euphorbia cuneata,Vahl,Egypt
Euphorbiaceae,Euphorbia dendroides,L.,Egypt
Fabaceae,Acacia pachyceras,O.Schwartz,Egypt
Fabaceae,Albizia schimperiana,Oliv.,Egypt
Fabaceae,Anagyris foetida,L.,Egypt
Fabaceae,Ceratonia siliqua,L.,Egypt
Fabaceae,Delonix elata,(L.) Gamble,Egypt
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Egypt
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Egypt
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,Egypt
Fabaceae,Senegalia mellifera,(Benth.) Seigler & Ebinger,Egypt
Fabaceae,Senna alexandrina,Mill.,Egypt
Fabaceae,Sesbania sesban,(L.) Merr.,Egypt
Fabaceae,Vachellia etbaica,(Schweinf.) Kyal. & Boatwr.,Egypt
Fabaceae,Vachellia flava,(Forssk.) Kyal. & Boatwr.,Egypt
Fabaceae,Vachellia gerrardii,(Benth.) P.J.H.Hurter,Egypt
Fabaceae,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.,Egypt
Fabaceae,Vachellia oerfota,(Forssk.) Kyal. & Boatwr.,Egypt
Fabaceae,Vachellia seyal,(Delile) P.J.H.Hurter,Egypt
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Egypt
Lamiaceae,Clerodendrum formicarum,Gürke,Egypt
Lamiaceae,Vitex agnus-castus,L.,Egypt
Malvaceae,Grewia tenax,(Forssk.) Fiori,Egypt
Malvaceae,Hibiscus diversifolius,Jacq.,Egypt
Moraceae,Ficus palmata,Forssk.,Egypt
Moraceae,Ficus sycomorus,L.,Egypt
Moringaceae,Moringa peregrina,(Forssk.) Fiori,Egypt
Oleaceae,Olea europaea,L.,Egypt
Phyllanthaceae,Flueggea virosa,(Roxb. ex Willd.) Royle,Egypt
Rhamnaceae,Ziziphus spina-christi,(L.) Desf.,Egypt
Rhizophoraceae,Rhizophora mucronata,Poir.,Egypt
Rosaceae,Crataegus azarolus,L.,Egypt
Salicaceae,Populus alba,L.,Egypt
Salicaceae,Populus euphratica,Olivier,Egypt
Salicaceae,Salix acmophylla,Boiss.,Egypt
Salicaceae,Salix mucronata,Thunb.,Egypt
Salvadoraceae,Salvadora persica,L.,Egypt
Sapindaceae,Dodonaea viscosa,(L.) Jacq.,Egypt
Tamaricaceae,Tamarix amplexicaulis,Ehrenb.,Egypt
Tamaricaceae,Tamarix aphylla,(L.) H.Karst.,Egypt
Tamaricaceae,Tamarix nilotica,(Ehrenb.) Bunge,Egypt
Tamaricaceae,Tamarix tetragyna,Ehrenb.,Egypt
Zygophyllaceae,Balanites aegyptiaca,(L.) Delile,Egypt
