family,taxon,author,native to
Acanthaceae,Aphelandra heydeana,Donn.Sm.,El Salvador
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,El Salvador
Acanthaceae,Aphelandra schiedeana,Schltdl. & Cham.,El Salvador
Acanthaceae,Aphelandra speciosa,Brandegee,El Salvador
Acanthaceae,Avicennia bicolor,Standl.,El Salvador
Acanthaceae,Avicennia germinans,(L.) L.,El Salvador
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,El Salvador
Acanthaceae,Justicia aurea,Schltdl.,El Salvador
Acanthaceae,Justicia macrantha,Benth.,El Salvador
Acanthaceae,Justicia spicigera,Schltdl.,El Salvador
Achatocarpaceae,Achatocarpus nigricans,Triana,El Salvador
Actinidiaceae,Saurauia kegeliana,Schltdl.,El Salvador
Actinidiaceae,Saurauia leucocarpa,Schltdl.,El Salvador
Actinidiaceae,Saurauia selerorum,Buscal.,El Salvador
Actinidiaceae,Saurauia waldheimii,Buscal.,El Salvador
Amaranthaceae,Iresine arbuscula,Uline & W.L.Bray,El Salvador
Anacardiaceae,Astronium graveolens,Jacq.,El Salvador
Anacardiaceae,Rhus terebinthifolia,Schltdl. & Cham.,El Salvador
Anacardiaceae,Spondias mombin,L.,El Salvador
Anacardiaceae,Spondias purpurea,L.,El Salvador
Anacardiaceae,Spondias radlkoferi,Donn.Sm.,El Salvador
Annonaceae,Annona cherimola,Mill.,El Salvador
Annonaceae,Annona glabra,L.,El Salvador
Annonaceae,Annona holosericea,Saff.,El Salvador
Annonaceae,Annona macroprophyllata,Donn.Sm.,El Salvador
Annonaceae,Annona montana,Macfad.,El Salvador
Annonaceae,Annona mucosa,Jacq.,El Salvador
Annonaceae,Annona purpurea,Moc. & Sessé ex Dunal,El Salvador
Annonaceae,Annona rensoniana,(Standl.) H.Rainer,El Salvador
Annonaceae,Annona reticulata,L.,El Salvador
Annonaceae,Annona squamosa,L.,El Salvador
Annonaceae,Cymbopetalum penduliflorum,(Dunal) Baill.,El Salvador
Annonaceae,Desmopsis schippii,Standl.,El Salvador
Annonaceae,Sapranthus microcarpus,(Donn.Sm.) R.E.Fr.,El Salvador
