family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Equatorial Guinea
Acanthaceae,Justicia maxima,(Lindau) S.Moore,Equatorial Guinea
Achariaceae,Caloncoba glauca,(P.Beauv.) Gilg,Equatorial Guinea
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,Equatorial Guinea
Achariaceae,Camptostylus mannii,(Oliv.) Gilg,Equatorial Guinea
Achariaceae,Dasylepis blackii,(Oliv.) Chipp,Equatorial Guinea
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Equatorial Guinea
Achariaceae,Poggea alata,Gürke,Equatorial Guinea
Achariaceae,Scottellia klaineana,Pierre,Equatorial Guinea
Anacardiaceae,Antrocaryon klaineanum,Pierre,Equatorial Guinea
Anacardiaceae,Fegimanra africana,(Oliv.) Pierre,Equatorial Guinea
Anacardiaceae,Lannea glabrescens,Engl.,Equatorial Guinea
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Equatorial Guinea
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Equatorial Guinea
Anacardiaceae,Pseudospondias longifolia,Engl.,Equatorial Guinea
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Equatorial Guinea
Anacardiaceae,Sorindeia africana,(Engl.) Van der Veken,Equatorial Guinea
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Equatorial Guinea
Anacardiaceae,Sorindeia oxyandra,Bourobou & Breteler,Equatorial Guinea
Anacardiaceae,Sorindeia winkleri,Engl.,Equatorial Guinea
Anacardiaceae,Trichoscypha acuminata,Engl.,Equatorial Guinea
Anacardiaceae,Trichoscypha eugong,Engl. & Brehmer,Equatorial Guinea
Anacardiaceae,Trichoscypha laxiflora,Engl.,Equatorial Guinea
Anacardiaceae,Trichoscypha lucens,Oliv.,Equatorial Guinea
Anacardiaceae,Trichoscypha oddonii,De Wild.,Equatorial Guinea
Anacardiaceae,Trichoscypha oliveri,Engl.,Equatorial Guinea
Anacardiaceae,Trichoscypha patens,(Oliv.) Engl.,Equatorial Guinea
Anacardiaceae,Trichoscypha reygaertii,De Wild.,Equatorial Guinea
Anacardiaceae,Trichoscypha rubicunda,Lecomte,Equatorial Guinea
Anisophylleaceae,Anisophyllea biokoensis,"Li Bing Zhang, Xin Chen & H.He",Equatorial Guinea
