family,taxon,author,native to
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Estonia
Betulaceae,Alnus incana,(L.) Moench,Estonia
Betulaceae,Betula pendula,Roth,Estonia
Betulaceae,Betula pubescens,Ehrh.,Estonia
Betulaceae,Carpinus betulus,L.,Estonia
Betulaceae,Corylus avellana,L.,Estonia
Celastraceae,Euonymus europaeus,L.,Estonia
Cupressaceae,Juniperus communis,L.,Estonia
Elaeagnaceae,Hippophae rhamnoides,L.,Estonia
Fagaceae,Fagus sylvatica,L.,Estonia
Fagaceae,Quercus robur,L.,Estonia
Malvaceae,Tilia cordata,Mill.,Estonia
Oleaceae,Fraxinus excelsior,L.,Estonia
Pinaceae,Picea abies,(L.) H.Karst.,Estonia
Pinaceae,Pinus sylvestris,L.,Estonia
Rhamnaceae,Frangula alnus,Mill.,Estonia
Rhamnaceae,Rhamnus cathartica,L.,Estonia
Rosaceae,Crataegus laevigata,(Poir.) DC.,Estonia
Rosaceae,Crataegus rhipidophylla,Gand.,Estonia
Rosaceae,Malus sylvestris,(L.) Mill.,Estonia
Rosaceae,Prunus padus,L.,Estonia
Rosaceae,Prunus spinosa,L.,Estonia
Rosaceae,Pyrus communis,L.,Estonia
Rosaceae,Sorbus aria,(L.) Crantz,Estonia
Rosaceae,Sorbus aucuparia,L.,Estonia
Rosaceae,Sorbus intermedia,(Ehrh.) Pers.,Estonia
Rosaceae,Sorbus rupicola,(Syme) Hedl.,Estonia
Salicaceae,Populus alba,L.,Estonia
Salicaceae,Populus tremula,L.,Estonia
Salicaceae,Salix acutifolia,Willd.,Estonia
Salicaceae,Salix alba,L.,Estonia
Salicaceae,Salix cinerea,L.,Estonia
Salicaceae,Salix daphnoides,Vill.,Estonia
Salicaceae,Salix myrsinifolia,Salisb.,Estonia
Salicaceae,Salix pentandra,L.,Estonia
Salicaceae,Salix phylicifolia,L.,Estonia
Salicaceae,Salix purpurea,L.,Estonia
Salicaceae,Salix triandra,L.,Estonia
Salicaceae,Salix viminalis,L.,Estonia
Sapindaceae,Acer platanoides,L.,Estonia
Taxaceae,Taxus baccata,L.,Estonia
Ulmaceae,Ulmus glabra,Huds.,Estonia
Ulmaceae,Ulmus laevis,Pall.,Estonia
Viburnaceae,Sambucus nigra,L.,Estonia
