family,taxon,author,native to
Acanthaceae,Mackaya bella,Harv.,Eswatini
Achariaceae,Kiggelaria africana,L.,Eswatini
Achariaceae,Rawsonia lucida,Harv. & Sond.,Eswatini
Achariaceae,Xylotheca kraussiana,Hochst.,Eswatini
Anacardiaceae,Harpephyllum caffrum,Bernh.,Eswatini
Anacardiaceae,Lannea discolor,(Sond.) Engl.,Eswatini
Anacardiaceae,Lannea schweinfurthii,Engl.,Eswatini
Anacardiaceae,Ozoroa engleri,R.Fern. & A.Fern.,Eswatini
Anacardiaceae,Ozoroa paniculosa,(Sond.) R.Fern. & A.Fern.,Eswatini
Anacardiaceae,Ozoroa sphaerocarpa,R.Fern. & A.Fern.,Eswatini
Anacardiaceae,Protorhus longifolia,(Bernh.) Engl.,Eswatini
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Eswatini
Anacardiaceae,Searsia chirindensis,(Baker f.) Moffett,Eswatini
Anacardiaceae,Searsia dentata,(Thunb.) F.A.Barkley,Eswatini
Anacardiaceae,Searsia gueinzii,(Sond.) F.A.Barkley,Eswatini
Anacardiaceae,Searsia leptodictya,"(Diels) T.S.Yi, A.J.Mill. & J.Wen",Eswatini
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Eswatini
Anacardiaceae,Searsia rehmanniana,(Engl.) Moffett,Eswatini
Anacardiaceae,Searsia rigida,(Mill.) F.A.Barkley,Eswatini
Anacardiaceae,Searsia transvaalensis,(Engl.) Moffett,Eswatini
Anacardiaceae,Searsia tumulicola,(S.Moore) Moffett,Eswatini
Annonaceae,Annona senegalensis,Pers.,Eswatini
Annonaceae,Monanthotaxis caffra,Verdc.,Eswatini
Annonaceae,Monodora junodii,Engl. & Diels,Eswatini
Apiaceae,Heteromorpha arborescens,(Spreng.) Cham. & Schltdl.,Eswatini
Apiaceae,Heteromorpha involucrata,Conrath,Eswatini
Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,Eswatini
Apocynaceae,Acokanthera rotundata,(Codd) Kupicha,Eswatini
Apocynaceae,Adenium multiflorum,Klotzsch,Eswatini
Apocynaceae,Carissa bispinosa,(L.) Desf. ex Brenan,Eswatini
Apocynaceae,Gonioma kamassi,E.Mey.,Eswatini
Apocynaceae,Rauvolfia caffra,Sond.,Eswatini
Apocynaceae,Strophanthus speciosus,(Ward & Harv.) Reber,Eswatini
Apocynaceae,Tabernaemontana elegans,Stapf,Eswatini
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Eswatini
Araliaceae,Cussonia natalensis,Sond.,Eswatini
Araliaceae,Cussonia paniculata,Eckl. & Zeyh.,Eswatini
Araliaceae,Cussonia spicata,Thunb.,Eswatini
Araliaceae,Cussonia zuluensis,Strey,Eswatini
Araliaceae,Neocussonia umbellifera,(Sond.) Hutch.,Eswatini
Arecaceae,Phoenix reclinata,Jacq.,Eswatini
Asparagaceae,Dracaena aletriformis,(Haw.) Bos,Eswatini
Asphodelaceae,Aloe castanea,Schönland,Eswatini
Asphodelaceae,Aloe marlothii,A.Berger,Eswatini
Asphodelaceae,Aloe rupestris,Baker,Eswatini
Asphodelaceae,Aloe spicata,L.f.,Eswatini
Asphodelaceae,Aloidendron barberae,(Dyer) Klopper & Gideon F.Sm.,Eswatini
Asteraceae,Brachylaena discolor,DC.,Eswatini
Asteraceae,Brachylaena ilicifolia,(Lam.) Phillips & Schweick.,Eswatini
Asteraceae,Chrysanthemoides monilifera,(L.) Norl.,Eswatini
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Eswatini
Asteraceae,Gymnanthemum coloratum,(Willd.) H.Rob. & B.Kahn,Eswatini
Asteraceae,Gymnanthemum myrianthum,(Hook.f.) H.Rob.,Eswatini
Asteraceae,Tarchonanthus parvicapitulatus,P.P.J.Herman,Eswatini
Asteraceae,Tarchonanthus trilobus,DC.,Eswatini
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Eswatini
Bignoniaceae,Rhigozum zambesiacum,Baker,Eswatini
Bignoniaceae,Tecoma capensis,(Thunb.) Lindl.,Eswatini
Boraginaceae,Cordia caffra,Sond.,Eswatini
Boraginaceae,Cordia monoica,Roxb.,Eswatini
Boraginaceae,Ehretia amoena,Klotzsch,Eswatini
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,Eswatini
Boraginaceae,Ehretia rigida,(Thunb.) Druce,Eswatini
Burseraceae,Commiphora harveyi,(Engl.) Engl.,Eswatini
Burseraceae,Commiphora neglecta,Verd.,Eswatini
Burseraceae,Commiphora schlechteri,Engl.,Eswatini
Burseraceae,Commiphora woodii,Engl.,Eswatini
Canellaceae,Warburgia salutaris,(G.Bertol.) Chiov.,Eswatini
Cannabaceae,Celtis africana,Burm.f.,Eswatini
Cannabaceae,Celtis mildbraedii,Engl.,Eswatini
Cannabaceae,Trema orientale,(L.) Blume,Eswatini
Capparaceae,Boscia albitrunca,(Burch.) Gilg & Gilg-Ben.,Eswatini
Capparaceae,Boscia angustifolia,A.Rich.,Eswatini
Capparaceae,Boscia mossambicensis,Klotzsch,Eswatini
Capparaceae,Cadaba natalensis,Sond.,Eswatini
Capparaceae,Maerua cafra,Pax,Eswatini
Capparaceae,Maerua juncea,Pax,Eswatini
Capparaceae,Maerua racemulosa,Gilg & Gilg-Ben.,Eswatini
Capparaceae,Maerua rosmarinoides,Gilg & Gilg-Ben.,Eswatini
Capparaceae,Thilachium africanum,Lour.,Eswatini
Celastraceae,Cassine aethiopica,Thunb.,Eswatini
Celastraceae,Cassine peragua,L.,Eswatini
Celastraceae,Cassine transvaalensis,(Burtt Davy) Codd,Eswatini
Celastraceae,Catha edulis,(Vahl) Endl.,Eswatini
Celastraceae,Gymnosporia buxifolia,(L.) Szyszyl.,Eswatini
Celastraceae,Gymnosporia glaucophylla,Jordaan,Eswatini
Celastraceae,Gymnosporia grandifolia,(Davison) Jordaan,Eswatini
Celastraceae,Gymnosporia harveyana,Loes.,Eswatini
Celastraceae,Gymnosporia hemipterocarpa,Jordaan,Eswatini
Celastraceae,Gymnosporia heterophylla,(Eckl. & Zeyh.) Loes.,Eswatini
Celastraceae,Gymnosporia maranguensis,(Loes.) Loes.,Eswatini
Celastraceae,Gymnosporia mossambicensis,(Klotzsch) Loes.,Eswatini
Celastraceae,Gymnosporia nemorosa,(Eckl. & Zeyh.) Szyszyl.,Eswatini
Celastraceae,Gymnosporia rubra,(Harv.) Loes.,Eswatini
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Eswatini
Celastraceae,Maytenus acuminata,(L.f.) Loes.,Eswatini
Celastraceae,Maytenus peduncularis,Loes.,Eswatini
Celastraceae,Maytenus undata,(Thunb.) Blakelock,Eswatini
Celastraceae,Pleurostylia capensis,(Turcz.) Loes.,Eswatini
Celastraceae,Pterocelastrus echinatus,N.E.Br.,Eswatini
Celastraceae,Pterocelastrus galpinii,Loes.,Eswatini
Celastraceae,Pterocelastrus rostratus,Walp.,Eswatini
Celastraceae,Putterlickia verrucosa,(E. Mey. ex Sond.) Szyszył.,Eswatini
Celastraceae,Robsonodendron eucleiforme,(Eckl. & Zeyh.) R.H.Archer,Eswatini
Chrysobalanaceae,Parinari curatellifolia,Planch. ex Benth.,Eswatini
Clusiaceae,Garcinia gerrardii,Harv. ex Sim,Eswatini
Combretaceae,Combretum erythrophyllum,(Burch.) Sond.,Eswatini
Combretaceae,Combretum hereroense,Schinz,Eswatini
Combretaceae,Combretum imberbe,Wawra,Eswatini
Combretaceae,Combretum kraussii,Hochst.,Eswatini
Combretaceae,Terminalia myrtifolia,(M.A.Lawson) Gere & Boatwr.,Eswatini
Combretaceae,Terminalia phanerophlebia,Engl. & Diels,Eswatini
Curtisiaceae,Curtisia dentata,(Burm.f.) C.A.Sm.,Eswatini
Didiereaceae,Portulacaria afra,Jacq.,Eswatini
Ebenaceae,Diospyros dichrophylla,(Gand.) De Winter,Eswatini
Ebenaceae,Diospyros lycioides,Desf.,Eswatini
Ebenaceae,Diospyros mespiliformis,Hochst. ex A.DC.,Eswatini
Ebenaceae,Diospyros natalensis,(Harv.) Brenan,Eswatini
Ebenaceae,Diospyros whyteana,(Hiern) F.White,Eswatini
Ebenaceae,Euclea crispa,(Thunb.) Gürke,Eswatini
Ebenaceae,Euclea divinorum,Hiern,Eswatini
Ebenaceae,Euclea natalensis,A.DC.,Eswatini
Ebenaceae,Euclea racemosa,L.,Eswatini
Ebenaceae,Euclea undulata,Thunb.,Eswatini
Ericaceae,Vaccinium exul,Bolus,Eswatini
Euphorbiaceae,Acalypha glabrata,Thunb.,Eswatini
Euphorbiaceae,Acalypha ornata,Hochst. ex A.Rich.,Eswatini
Euphorbiaceae,Acalypha sonderiana,Müll.Arg.,Eswatini
Euphorbiaceae,Alchornea laxiflora,(Benth.) Pax & K.Hoffm.,Eswatini
Euphorbiaceae,Croton sylvaticus,Hochst.,Eswatini
Euphorbiaceae,Euphorbia cooperi,N.E.Br. ex A.Berger,Eswatini
Euphorbiaceae,Euphorbia cupularis,Boiss.,Eswatini
Euphorbiaceae,Euphorbia grandidens,Haw.,Eswatini
Euphorbiaceae,Euphorbia ingens,E.Mey. ex Boiss.,Eswatini
Euphorbiaceae,Euphorbia keithii,R.A.Dyer,Eswatini
Euphorbiaceae,Euphorbia tirucalli,L.,Eswatini
Euphorbiaceae,Euphorbia triangularis,Desf. ex A.Berger,Eswatini
Euphorbiaceae,Excoecaria madagascariensis,(Baill.) Müll.Arg.,Eswatini
Euphorbiaceae,Sclerocroton integerrimus,Hochst.,Eswatini
Euphorbiaceae,Shirakiopsis elliptica,(Hochst.) Esser,Eswatini
Euphorbiaceae,Spirostachys africana,Sond.,Eswatini
Euphorbiaceae,Suregada africana,(Sond.) Müll.Arg.,Eswatini
Fabaceae,Afzelia quanzensis,Welw.,Eswatini
Fabaceae,Albizia adianthifolia,(Schumach.) W.Wight,Eswatini
Fabaceae,Albizia anthelmintica,(A.Rich.) Brongn.,Eswatini
Fabaceae,Albizia forbesii,Benth.,Eswatini
Fabaceae,Albizia harveyi,E.Fourn.,Eswatini
Fabaceae,Albizia versicolor,Welw. ex Oliv.,Eswatini
Fabaceae,Bauhinia galpinii,N.E.Br.,Eswatini
