family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,Ethiopia
Acanthaceae,Barleria induta,C.B.Clarke,Ethiopia
Achariaceae,Kiggelaria africana,L.,Ethiopia
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Ethiopia
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Ethiopia
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Ethiopia
Anacardiaceae,Lannea malifolia,Sacleux,Ethiopia
Anacardiaceae,Lannea rivae,(Chiov.) Sacleux,Ethiopia
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Ethiopia
Anacardiaceae,Lannea schweinfurthii,Engl.,Ethiopia
Anacardiaceae,Lannea triphylla,(Hochst. ex A.Rich.) Engl.,Ethiopia
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Ethiopia
Anacardiaceae,Ozoroa insignis,Delile,Ethiopia
Anacardiaceae,Pistacia aethiopica,Kokwaro,Ethiopia
Anacardiaceae,Pistacia falcata,Becc. ex Martelli,Ethiopia
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Ethiopia
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Ethiopia
Anacardiaceae,Searsia glutinosa,(Hochst. ex A.Rich.) Moffett,Ethiopia
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Ethiopia
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Ethiopia
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Ethiopia
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,Ethiopia
Anacardiaceae,Searsia retinorrhoea,(Steud. ex Oliv.) Moffett,Ethiopia
Anacardiaceae,Searsia ruspolii,(Engl.) Moffett,Ethiopia
Anacardiaceae,Searsia tenuinervis,(Engl.) Moffett,Ethiopia
Annonaceae,Annona senegalensis,Pers.,Ethiopia
Annonaceae,Artabotrys monteiroae,Oliv.,Ethiopia
Annonaceae,Monanthotaxis ferruginea,(Oliv.) Verdc.,Ethiopia
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Ethiopia
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Ethiopia
Annonaceae,Uvaria leptocladon,Oliv.,Ethiopia
Annonaceae,Uvaria schweinfurthii,Engl. & Diels,Ethiopia
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Ethiopia
Apiaceae,Heteromorpha arborescens,(Spreng.) Cham. & Schltdl.,Ethiopia
Apiaceae,Steganotaenia araliacea,Hochst.,Ethiopia
Apiaceae,Steganotaenia commiphoroides,Thulin,Ethiopia
Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,Ethiopia
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Ethiopia
Apocynaceae,Alstonia boonei,De Wild.,Ethiopia
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Ethiopia
Apocynaceae,Carissa spinarum,L.,Ethiopia
Apocynaceae,Wrightia demartiniana,Chiov.,Ethiopia
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Ethiopia
Araliaceae,Astropanax abyssinicus,(Hochst. ex A.Rich.) Seem.,Ethiopia
Araliaceae,Astropanax polysciadius,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Ethiopia
Araliaceae,Astropanax volkensii,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Ethiopia
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Ethiopia
