family,taxon,author,native to
Achariaceae,Erythrospermum acuminatissimum,(A.Gray) A.C.Sm.,Fiji
Actinidiaceae,Saurauia rubicunda,(A.Gray) Seem.,Fiji
Anacardiaceae,Buchanania attenuata,A.C.Sm.,Fiji
Anacardiaceae,Buchanania vitiensis,Engl.,Fiji
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Fiji
Anacardiaceae,Pleiogynium hapalum,A.C.Sm.,Fiji
Anacardiaceae,Pleiogynium timoriense,(DC.) Leenh.,Fiji
Anacardiaceae,Semecarpus vitiensis,(A.Gray) Engl.,Fiji
Annonaceae,Drepananthus vitiensis,(A.C.Sm.) Survesw. & R.M.K.Saunders,Fiji
Annonaceae,Goniothalamus angustifolius,(A.C.Sm.) B.Xue & R.M.K.Saunders,Fiji
Annonaceae,Goniothalamus monospermus,(A.Gray) R.M.K.Saunders,Fiji
Annonaceae,Huberantha amoena,(A.C.Sm.) Chaowasku,Fiji
Annonaceae,Huberantha capillata,(A.C.Sm.) Chaowasku,Fiji
Annonaceae,Huberantha loriformis,(Gillespie) Chaowasku,Fiji
Annonaceae,Huberantha vitiensis,(Seem.) Chaowasku,Fiji
Annonaceae,Meiogyne amygdalina,(A.Gray) B.Xue & R.M.K.Saunders,Fiji
Annonaceae,Meiogyne habrotricha,(A.C.Sm.) B.Xue & R.M.K.Saunders,Fiji
Annonaceae,Meiogyne insularis,(A.C.Sm.) B.Xue & R.M.K.Saunders,Fiji
Annonaceae,Meiogyne laddiana,(A.C.Sm.) B.Xue & R.M.K.Saunders,Fiji
Annonaceae,Xylopia degeneri,A.C.Sm.,Fiji
Annonaceae,Xylopia pacifica,A.C.Sm.,Fiji
Annonaceae,Xylopia vitiensis,A.C.Sm.,Fiji
Apocynaceae,Alstonia costata,(G.Forst.) R.Br.,Fiji
Apocynaceae,Cerbera manghas,L.,Fiji
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Fiji
Apocynaceae,Ochrosia vitiensis,(Markgr.) Pichon,Fiji
Apocynaceae,Tabernaemontana pandacaqui,Poir.,Fiji
Apocynaceae,Tabernaemontana thurstonii,Horne ex Baker,Fiji
Aquifoliaceae,Ilex vitiensis,A.Gray,Fiji
Araliaceae,Meryta tenuifolia,A.C.Sm.,Fiji
Araliaceae,Plerandra bakeriana,A.C.Sm.,Fiji
Araliaceae,Plerandra costata,"(A.C.Sm.) G.M.Plunkett, Lowry & Frodin",Fiji
Araliaceae,Plerandra grayi,Seem.,Fiji
Araliaceae,Plerandra insolita,A.C.Sm.,Fiji
Araliaceae,Plerandra pickeringii,A.Gray,Fiji
Araliaceae,Plerandra seemanniana,"(A.C.Sm.) G.M.Plunkett, Lowry & Frodin",Fiji
Araliaceae,Plerandra victoriae,Gibbs,Fiji
Araliaceae,Plerandra vitiensis,(Seem.) Baill.,Fiji
Araliaceae,Polyscias corticata,Gibbs,Fiji
Araliaceae,Polyscias culminicola,A.C.Sm.,Fiji
Araliaceae,Polyscias joskei,Gibbs,Fiji
Araliaceae,Polyscias multijuga,(A.Gray) Harms,Fiji
Araliaceae,Schefflera euthytricha,A.C.Sm.,Fiji
Araliaceae,Schefflera vitiensis,(A.Gray) Seem.,Fiji
Araucariaceae,Agathis macrophylla,(Lindl.) Mast.,Fiji
Arecaceae,Balaka diffusa,Hodel,Fiji
Arecaceae,Balaka longirostris,Becc.,Fiji
Arecaceae,Balaka macrocarpa,Burret,Fiji
Arecaceae,Balaka microcarpa,Burret,Fiji
Arecaceae,Balaka pauciflora,(H.Wendl.) H.E.Moore,Fiji
Arecaceae,Balaka seemannii,(H.Wendl.) Becc.,Fiji
Arecaceae,Balaka streptostachys,D.Fuller & Dowe,Fiji
Arecaceae,Clinostigma exorrhizum,(H.Wendl.) Becc.,Fiji
Arecaceae,Cyphosperma naboutinense,Hodel & Marcus,Fiji
Arecaceae,Cyphosperma tanga,(H.E.Moore) H.E.Moore,Fiji
Arecaceae,Cyphosperma trichospadix,(Burret) H.E.Moore,Fiji
Arecaceae,Heterospathe longipes,(H.E.Moore) Norup,Fiji
Arecaceae,Heterospathe phillipsii,D.Fuller & Dowe,Fiji
Arecaceae,Hydriastele boumae,W.J.Baker & D.Watling,Fiji
Arecaceae,Hydriastele vitiensis,W.J.Baker & Loo,Fiji
Arecaceae,Metroxylon vitiense,(H.Wendl.) Hook.f.,Fiji
Arecaceae,Neoveitchia storckii,(H.Wendl.) Becc.,Fiji
Arecaceae,Physokentia petiolata,(Burret) D.Fuller,Fiji
Arecaceae,Physokentia thurstonii,(Becc.) Becc.,Fiji
Arecaceae,Pritchardia thurstonii,F.Muell. & Drude,Fiji
Arecaceae,Veitchia filifera,(H.Wendl.) H.E.Moore,Fiji
Arecaceae,Veitchia joannis,H.Wendl.,Fiji
Arecaceae,Veitchia simulans,H.E.Moore,Fiji
Arecaceae,Veitchia vitiensis,(H.Wendl.) H.E.Moore,Fiji
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,Fiji
Balanopaceae,Balanops pedicellata,(Guillaumin) Hjelmq.,Fiji
Boraginaceae,Cordia aspera,G.Forst.,Fiji
Boraginaceae,Cordia subcordata,Lam.,Fiji
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Fiji
Burseraceae,Canarium harveyi,Seem.,Fiji
Burseraceae,Canarium pilosum,A.W.Benn.,Fiji
Burseraceae,Canarium vanikoroense,Leenh.,Fiji
Burseraceae,Canarium vitiense,A.Gray,Fiji
Calophyllaceae,Calophyllum amblyphyllum,A.C.Sm. & S.P.Darwin,Fiji
Calophyllaceae,Calophyllum cerasiferum,Vesque,Fiji
Calophyllaceae,Calophyllum inophyllum,L.,Fiji
Calophyllaceae,Calophyllum leptocladum,A.C.Sm. & S.P.Darwin,Fiji
Calophyllaceae,Calophyllum leucocarpum,A.C.Sm.,Fiji
Calophyllaceae,Calophyllum neoebudicum,Guillaumin,Fiji
Calophyllaceae,Calophyllum vitiense,Turrill,Fiji
Cannabaceae,Celtis harperi,Horne ex Baker,Fiji
Cannabaceae,Celtis vitiensis,A.C.Sm.,Fiji
Cannabaceae,Gironniera celtidifolia,Gaudich.,Fiji
Cannabaceae,Parasponia andersonii,(Planch.) Planch.,Fiji
Cannabaceae,Trema orientale,(L.) Blume,Fiji
Cannabaceae,Trema tomentosum,(Roxb.) H.Hara,Fiji
Capparaceae,Crateva religiosa,G.Forst.,Fiji
Cardiopteridaceae,Citronella vitiensis,R.A.Howard,Fiji
Casuarinaceae,Casuarina equisetifolia,L.,Fiji
Casuarinaceae,Gymnostoma vitiense,L.A.S.Johnson,Fiji
Celastraceae,Elaeodendron vitiense,A.C.Sm.,Fiji
Celastraceae,Gymnosporia crenata,(G.Forst.) Seem.,Fiji
Chloranthaceae,Ascarina diffusa,A.C.Sm.,Fiji
Chloranthaceae,Ascarina swamyana,A.C.Sm.,Fiji
Chrysobalanaceae,Atuna elliptica,(Kosterm.) Kosterm.,Fiji
Chrysobalanaceae,Atuna excelsa,(Jack) Kosterm.,Fiji
Chrysobalanaceae,Parinari insularum,A.Gray,Fiji
Clusiaceae,Garcinia adinantha,A.C.Sm. & S.P.Darwin,Fiji
Clusiaceae,Garcinia myrtifolia,A.C.Sm.,Fiji
Clusiaceae,Garcinia pseudoguttifera,Seem.,Fiji
Clusiaceae,Garcinia sessilis,(G.Forst.) Seem.,Fiji
