family,taxon,author,native to
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Finland
Betulaceae,Alnus incana,(L.) Moench,Finland
Betulaceae,Betula pendula,Roth,Finland
Betulaceae,Betula pubescens,Ehrh.,Finland
Betulaceae,Corylus avellana,L.,Finland
Cupressaceae,Juniperus communis,L.,Finland
Elaeagnaceae,Hippophae rhamnoides,L.,Finland
Fagaceae,Quercus robur,L.,Finland
Malvaceae,Tilia cordata,Mill.,Finland
Oleaceae,Fraxinus excelsior,L.,Finland
Pinaceae,Picea abies,(L.) H.Karst.,Finland
Pinaceae,Pinus sylvestris,L.,Finland
Rhamnaceae,Frangula alnus,Mill.,Finland
Rosaceae,Crataegus monogyna,Jacq.,Finland
Rosaceae,Crataegus rhipidophylla,Gand.,Finland
Rosaceae,Malus sylvestris,(L.) Mill.,Finland
Rosaceae,Prunus padus,L.,Finland
Rosaceae,Prunus spinosa,L.,Finland
Rosaceae,Sorbus aucuparia,L.,Finland
Rosaceae,Sorbus hybrida,L.,Finland
Rosaceae,Sorbus intermedia,(Ehrh.) Pers.,Finland
Rosaceae,Sorbus teodorii,Liljef.,Finland
Salicaceae,Populus tremula,L.,Finland
Salicaceae,Salix acutifolia,Willd.,Finland
Salicaceae,Salix alba,L.,Finland
Salicaceae,Salix bebbiana,Sarg.,Finland
Salicaceae,Salix caprea,L.,Finland
Salicaceae,Salix cinerea,L.,Finland
Salicaceae,Salix glauca,L.,Finland
Salicaceae,Salix myrsinifolia,Salisb.,Finland
Salicaceae,Salix pentandra,L.,Finland
Salicaceae,Salix phylicifolia,L.,Finland
Salicaceae,Salix pyrolifolia,Ledeb.,Finland
Salicaceae,Salix triandra,L.,Finland
Sapindaceae,Acer platanoides,L.,Finland
Taxaceae,Taxus baccata,L.,Finland
Ulmaceae,Ulmus glabra,Huds.,Finland
Ulmaceae,Ulmus laevis,Pall.,Finland
Viburnaceae,Sambucus nigra,L.,Finland
