family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,France
Anacardiaceae,Pistacia lentiscus,L.,France
Anacardiaceae,Pistacia terebinthus,L.,France
Anacardiaceae,Rhus coriaria,L.,France
Aquifoliaceae,Ilex aquifolium,L.,France
Arecaceae,Chamaerops humilis,L.,France
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,France
Betulaceae,Alnus cordata,(Loisel.) Duby,France
Betulaceae,Alnus glutinosa,(L.) Gaertn.,France
Betulaceae,Alnus incana,(L.) Moench,France
Betulaceae,Betula pendula,Roth,France
Betulaceae,Betula pubescens,Ehrh.,France
Betulaceae,Carpinus betulus,L.,France
Betulaceae,Corylus avellana,L.,France
Betulaceae,Ostrya carpinifolia,Scop.,France
Buxaceae,Buxus sempervirens,L.,France
Cannabaceae,Celtis australis,L.,France
Celastraceae,Euonymus europaeus,L.,France
Celastraceae,Euonymus latifolius,(L.) Mill.,France
Cornaceae,Cornus mas,L.,France
Cupressaceae,Juniperus communis,L.,France
Cupressaceae,Juniperus oxycedrus,L.,France
Cupressaceae,Juniperus phoenicea,L.,France
Cupressaceae,Juniperus thurifera,L.,France
Cupressaceae,Juniperus turbinata,Guss.,France
Elaeagnaceae,Hippophae rhamnoides,L.,France
Ericaceae,Arbutus unedo,L.,France
Ericaceae,Erica arborea,L.,France
Euphorbiaceae,Euphorbia dendroides,L.,France
Fabaceae,Anagyris foetida,L.,France
Fabaceae,Ceratonia siliqua,L.,France
Fabaceae,Cercis siliquastrum,L.,France
Fabaceae,Cytisus arboreus,(Desf.) DC.,France
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,France
Fabaceae,Laburnum anagyroides,Medik.,France
Fagaceae,Fagus sylvatica,L.,France
Fagaceae,Quercus cerris,L.,France
Fagaceae,Quercus coccifera,L.,France
Fagaceae,Quercus ilex,L.,France
Fagaceae,Quercus petraea,(Matt.) Liebl.,France
Fagaceae,Quercus pubescens,Willd.,France
Fagaceae,Quercus pyrenaica,Willd.,France
Fagaceae,Quercus robur,L.,France
Fagaceae,Quercus rotundifolia,Lam.,France
Fagaceae,Quercus suber,L.,France
Lamiaceae,Vitex agnus-castus,L.,France
Lauraceae,Laurus nobilis,L.,France
Malvaceae,Tilia cordata,Mill.,France
Malvaceae,Tilia platyphyllos,Scop.,France
Malvaceae,Tilia tomentosa,Moench,France
Moraceae,Ficus carica,L.,France
Myrtaceae,Myrtus communis,L.,France
Oleaceae,Fraxinus angustifolia,Vahl,France
Oleaceae,Fraxinus excelsior,L.,France
Oleaceae,Fraxinus ornus,L.,France
Oleaceae,Olea europaea,L.,France
Oleaceae,Phillyrea latifolia,L.,France
Pinaceae,Abies alba,Mill.,France
Pinaceae,Larix decidua,Mill.,France
Pinaceae,Picea abies,(L.) H.Karst.,France
Pinaceae,Pinus cembra,L.,France
Pinaceae,Pinus halepensis,Mill.,France
Pinaceae,Pinus mugo,Turra,France
Pinaceae,Pinus nigra,J.F.Arnold,France
Pinaceae,Pinus pinaster,Aiton,France
Pinaceae,Pinus pinea,L.,France
Pinaceae,Pinus sylvestris,L.,France
Pinaceae,Pinus uncinata,Ramond ex DC.,France
Rhamnaceae,Frangula alnus,Mill.,France
Rhamnaceae,Rhamnus alaternus,L.,France
Rhamnaceae,Rhamnus alpina,L.,France
Rhamnaceae,Rhamnus cathartica,L.,France
Rosaceae,Crataegus laevigata,(Poir.) DC.,France
Rosaceae,Crataegus monogyna,Jacq.,France
Rosaceae,Crataegus rhipidophylla,Gand.,France
Rosaceae,Malus sylvestris,(L.) Mill.,France
Rosaceae,Prunus avium,(L.) L.,France
Rosaceae,Prunus brigantina,Vill.,France
Rosaceae,Prunus lusitanica,L.,France
Rosaceae,Prunus mahaleb,L.,France
Rosaceae,Prunus padus,L.,France
Rosaceae,Prunus prostrata,Labill.,France
Rosaceae,Prunus spinosa,L.,France
Rosaceae,Pyrus communis,L.,France
