family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,French Guiana
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,French Guiana
Achariaceae,Carpotroche crispidentata,Ducke,French Guiana
Achariaceae,Carpotroche longifolia,(Poepp.) Benth.,French Guiana
Achariaceae,Carpotroche surinamensis,Uittien,French Guiana
Achariaceae,Mayna odorata,Aubl.,French Guiana
Anacardiaceae,Anacardium amapaense,J.D.Mitch.,French Guiana
Anacardiaceae,Anacardium occidentale,L.,French Guiana
Anacardiaceae,Anacardium spruceanum,Benth. ex Engl.,French Guiana
Anacardiaceae,Astronium ulei,Mattick,French Guiana
Anacardiaceae,Loxopterygium sagotii,Hook.f.,French Guiana
Anacardiaceae,Spondias mombin,L.,French Guiana
Anacardiaceae,Spondias purpurea,L.,French Guiana
Anacardiaceae,Tapirira bethanniana,J.D. Mitch.,French Guiana
Anacardiaceae,Tapirira guianensis,Aubl.,French Guiana
Anacardiaceae,Tapirira obtusa,(Benth.) J.D.Mitch.,French Guiana
Anacardiaceae,Thyrsodium guianense,Sagot ex Marchand,French Guiana
Anacardiaceae,Thyrsodium puberulum,J.D. Mitch. & D.C. Daly,French Guiana
Anacardiaceae,Thyrsodium spruceanum,Benth.,French Guiana
Annonaceae,Anaxagorea acuminata,(Dunal) A.St.-Hil. ex A.DC.,French Guiana
Annonaceae,Anaxagorea brevipedicellata,Timmerman,French Guiana
Annonaceae,Anaxagorea dolichocarpa,Sprague & Sandwith,French Guiana
Annonaceae,Anaxagorea phaeocarpa,Mart.,French Guiana
Annonaceae,Anaxagorea prinoides,(Dunal) A.St.-Hil.,French Guiana
Annonaceae,Annona ambotay,Aubl.,French Guiana
Annonaceae,Annona cuspidata,(Mart.) H.Rainer,French Guiana
Annonaceae,Annona densicoma,Mart.,French Guiana
Annonaceae,Annona echinata,Dunal,French Guiana
Annonaceae,Annona exsucca,DC.,French Guiana
Annonaceae,Annona foetida,Mart.,French Guiana
Annonaceae,Annona glabra,L.,French Guiana
Annonaceae,Annona granvilleana,Maas & H.Rainer,French Guiana
Annonaceae,Annona hypoglauca,Mart.,French Guiana
Annonaceae,Annona montana,Macfad.,French Guiana
Annonaceae,Annona mucosa,Jacq.,French Guiana
Annonaceae,Annona muricata,L.,French Guiana
Annonaceae,Annona neoelliptica,H.Rainer & Maas,French Guiana
Annonaceae,Annona paludosa,Aubl.,French Guiana
Annonaceae,Annona sericea,Dunal,French Guiana
Annonaceae,Annona symphyocarpa,Sandwith,French Guiana
Annonaceae,Annona tenuiflora,Mart.,French Guiana
Annonaceae,Cardiopetalum surinamense,R.E.Fr.,French Guiana
Annonaceae,Cremastosperma brevipes,(DC. ex Dunal) R.E.Fr.,French Guiana
Annonaceae,Cymbopetalum brasiliense,(Vell.) Benth. ex Baill.,French Guiana
Annonaceae,Duguetia cadaverica,Huber,French Guiana
Annonaceae,Duguetia calycina,Benoist,French Guiana
Annonaceae,Duguetia eximia,Diels,French Guiana
Annonaceae,Duguetia granvilleana,Maas,French Guiana
Annonaceae,Duguetia inconspicua,Sagot,French Guiana
Annonaceae,Duguetia oligocarpa,Maas & J.A.C.Dam,French Guiana
Annonaceae,Duguetia paraensis,R.E.Fr.,French Guiana
Annonaceae,Duguetia pycnastera,Sandwith,French Guiana
Annonaceae,Duguetia riparia,Huber,French Guiana
Annonaceae,Duguetia surinamensis,R.E.Fr.,French Guiana
Annonaceae,Duguetia trunciflora,Maas & A.H.Gentry,French Guiana
Annonaceae,Duguetia yeshidan,Sandwith,French Guiana
Annonaceae,Ephedranthus guianensis,R.E.Fr.,French Guiana
