family,taxon,author,native to
Amaranthaceae,Achyranthes mangarevica,Suess.,French Polynesia
Amaranthaceae,Achyranthes marchionica,F.Br.,French Polynesia
Amaranthaceae,Charpentiera australis,Sohmer,French Polynesia
Anacardiaceae,Rhus taitensis,Guill.,French Polynesia
Apocynaceae,Alstonia costata,(G.Forst.) R.Br.,French Polynesia
Apocynaceae,Alstonia elliptica,J.W.Moore,French Polynesia
Apocynaceae,Alyxia latilimba,M.L.Grant,French Polynesia
Apocynaceae,Cerbera odollam,Gaertn.,French Polynesia
Apocynaceae,Lepinia marquisensis,Lorence & W.L.Wagner,French Polynesia
Apocynaceae,Lepinia taitensis,Decne.,French Polynesia
Apocynaceae,Ochrosia brownii,(Fosberg & Sachet) Lorence & Butaud,French Polynesia
Apocynaceae,Ochrosia fatuhivensis,Fosberg & Sachet,French Polynesia
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,French Polynesia
Apocynaceae,Ochrosia tahitensis,Laness. ex Pichon,French Polynesia
Apocynaceae,Rauvolfia nukuhivensis,(Fosberg & Sachet) Lorence & Butaud,French Polynesia
Apocynaceae,Rauvolfia sachetiae,Fosberg,French Polynesia
Apocynaceae,Tabernaemontana pandacaqui,Poir.,French Polynesia
Aquifoliaceae,Ilex anomala,Hook. & Arn.,French Polynesia
Araliaceae,Cheirodendron bastardianum,(Decne.) Frodin,French Polynesia
Araliaceae,Meryta brachypoda,Harms,French Polynesia
Araliaceae,Meryta choristantha,Harms,French Polynesia
Araliaceae,Meryta drakeana,Nadeaud,French Polynesia
Araliaceae,Meryta lanceolata,J.R.Forst. & G.Forst.,French Polynesia
Araliaceae,Meryta lucida,J.W.Moore,French Polynesia
Araliaceae,Meryta pastoralis,F.Tronchet & Lowry,French Polynesia
Araliaceae,Meryta puruhi ,"Butaud, J.Florence, Lowry & F.Tronchet",French Polynesia
Araliaceae,Meryta raiateensis,J.W.Moore,French Polynesia
Araliaceae,Meryta salicifolia,J.W.Moore,French Polynesia
Araliaceae,Polyscias marchionensis,(F.Br.) Lowry & G.M.Plunkett,French Polynesia
Araliaceae,Polyscias tahitensis,(Nadeaud) Harms,French Polynesia
Araliaceae,Polyscias verrucosa,(Seem.) Lowry & G.M.Plunkett,French Polynesia
Arecaceae,Pelagodoxa henryana,Becc.,French Polynesia
Arecaceae,Pritchardia mitiaroana,J.Dransf. & Y.Ehrh.,French Polynesia
Arecaceae,Pritchardia vuylstekeana,H.Wendl.,French Polynesia
Argophyllaceae,Corokia collenettei,L.Riley,French Polynesia
Asteraceae,Fitchia cordata,M.L.Grant & Carlq.,French Polynesia
Asteraceae,Fitchia mangarevensis,F.Br.,French Polynesia
Asteraceae,Fitchia nutans,Hook.f.,French Polynesia
Asteraceae,Fitchia rapensis,F.Br.,French Polynesia
Asteraceae,Fitchia tahitensis,Nadeaud,French Polynesia
Asteraceae,Oparanthus coriaceus,(F.Br.) Sherff,French Polynesia
Asteraceae,Oparanthus hivoanus,(O.Deg. & Sherff) R.K.Shannon & W.L.Wagner,French Polynesia
Asteraceae,Oparanthus rapensis,(F.Br.) Sherff,French Polynesia
Asteraceae,Oparanthus teikiteetinii,(J.Florence & Stuessy) R.K.Shannon & W.L.Wagner,French Polynesia
Asteraceae,Oparanthus tiva,W.L.Wagner & Lorence,French Polynesia
Asteraceae,Oparanthus woodii,W.L.Wagner & Lorence,French Polynesia
Boraginaceae,Cordia subcordata,Lam.,French Polynesia
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,French Polynesia
