family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Gabon
Acanthaceae,Justicia maxima,(Lindau) S.Moore,Gabon
Achariaceae,Buchnerodendron speciosum,Gürke,Gabon
Achariaceae,Caloncoba flagelliflora,(Mildbr.) Gilg ex Pellegr.,Gabon
Achariaceae,Caloncoba glauca,(P.Beauv.) Gilg,Gabon
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,Gabon
Achariaceae,Camptostylus mannii,(Oliv.) Gilg,Gabon
Achariaceae,Dasylepis blackii,(Oliv.) Chipp,Gabon
Achariaceae,Dasylepis racemosa,Oliv.,Gabon
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Gabon
Achariaceae,Poggea alata,Gürke,Gabon
Achariaceae,Scottellia klaineana,Pierre,Gabon
Anacardiaceae,Antrocaryon klaineanum,Pierre,Gabon
Anacardiaceae,Antrocaryon micraster,A.Chev. & Guillaumin,Gabon
Anacardiaceae,Antrocaryon nannanii,De Wild.,Gabon
Anacardiaceae,Fegimanra africana,(Oliv.) Pierre,Gabon
Anacardiaceae,Haematostaphis barteri,Hook.f.,Gabon
Anacardiaceae,Lannea glabrescens,Engl.,Gabon
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Gabon
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Gabon
Anacardiaceae,Pseudospondias longifolia,Engl.,Gabon
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Gabon
Anacardiaceae,Searsia glutinosa,(Hochst. ex A.Rich.) Moffett,Gabon
Anacardiaceae,Sorindeia africana,(Engl.) Van der Veken,Gabon
Anacardiaceae,Sorindeia batekeensis,Lecomte,Gabon
Anacardiaceae,Sorindeia grandifolia,Engl.,Gabon
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Gabon
Anacardiaceae,Sorindeia oxyandra,Bourobou & Breteler,Gabon
Anacardiaceae,Sorindeia winkleri,Engl.,Gabon
Anacardiaceae,Trichoscypha acuminata,Engl.,Gabon
Anacardiaceae,Trichoscypha arborea,(A.Chev.) A.Chev.,Gabon
Anacardiaceae,Trichoscypha bracteata,Breteler,Gabon
Anacardiaceae,Trichoscypha debruijnii,Breteler,Gabon
Anacardiaceae,Trichoscypha eugong,Engl. & Brehmer,Gabon
Anacardiaceae,Trichoscypha laxiflora,Engl.,Gabon
Anacardiaceae,Trichoscypha lucens,Oliv.,Gabon
Anacardiaceae,Trichoscypha nyangensis,Pellegr.,Gabon
Anacardiaceae,Trichoscypha oddonii,De Wild.,Gabon
Anacardiaceae,Trichoscypha oliveri,Engl.,Gabon
Anacardiaceae,Trichoscypha patens,(Oliv.) Engl.,Gabon
Anacardiaceae,Trichoscypha reygaertii,De Wild.,Gabon
Anacardiaceae,Trichoscypha rubicunda,Lecomte,Gabon
Anisophylleaceae,Anisophyllea biokoensis,"Li Bing Zhang, Xin Chen & H.He",Gabon
Anisophylleaceae,Anisophyllea laurina,R.Br. ex Sabine,Gabon
Anisophylleaceae,Anisophyllea myriostictoides,"Li Bing Zhang, Xin Chen & H.He",Gabon
Anisophylleaceae,Anisophyllea neopurpurascens,"Li Bing Zhang, Xin Chen & H.He",Gabon
