family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Gambia
Anacardiaceae,Lannea acida,A.Rich.,Gambia
Anacardiaceae,Lannea microcarpa,Engl. & K.Krause,Gambia
Anacardiaceae,Lannea velutina,A.Rich.,Gambia
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Gambia
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Gambia
Annonaceae,Annona glabra,L.,Gambia
Annonaceae,Annona senegalensis,Pers.,Gambia
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Gambia
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Gambia
Annonaceae,Monodora tenuifolia,Benth.,Gambia
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Gambia
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Gambia
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Gambia
Apocynaceae,Alstonia boonei,De Wild.,Gambia
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Gambia
Apocynaceae,Funtumia africana,(Benth.) Stapf,Gambia
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Gambia
Apocynaceae,Tabernaemontana africana,Hook.,Gambia
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Gambia
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Gambia
Araliaceae,Astropanax barteri,Seem.,Gambia
Arecaceae,Borassus aethiopum,Mart.,Gambia
Arecaceae,Elaeis guineensis,Jacq.,Gambia
Arecaceae,Hyphaene thebaica,(L.) Mart.,Gambia
Arecaceae,Phoenix reclinata,Jacq.,Gambia
Arecaceae,Raphia farinifera,(Gaertn.) Hyl.,Gambia
Arecaceae,Raphia hookeri,G.Mann & H.Wendl.,Gambia
Arecaceae,Raphia palma-pinus,(Gaertn.) Hutch.,Gambia
Arecaceae,Raphia sudanica,A.Chev.,Gambia
Arecaceae,Raphia vinifera,P.Beauv.,Gambia
Asparagaceae,Dracaena fragrans,(L.) Ker Gawl.,Gambia
Asparagaceae,Dracaena mannii,Baker,Gambia
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Gambia
Bignoniaceae,Newbouldia laevis,(P.Beauv.) Seem. ex Bureau,Gambia
Bignoniaceae,Spathodea campanulata,P.Beauv.,Gambia
Bignoniaceae,Stereospermum kunthianum,Cham.,Gambia
Boraginaceae,Cordia senegalensis,Juss. ex Poir.,Gambia
Boraginaceae,Cordia sinensis,Lam.,Gambia
Boraginaceae,Ehretia cymosa,Thonn.,Gambia
Cannabaceae,Celtis africana,Burm.f.,Gambia
Cannabaceae,Celtis philippensis,Blanco,Gambia
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Gambia
Cannabaceae,Trema orientale,(L.) Blume,Gambia
Capparaceae,Boscia angustifolia,A.Rich.,Gambia
Capparaceae,Cadaba farinosa,Forssk.,Gambia
Capparaceae,Crateva adansonii,DC.,Gambia
Capparaceae,Maerua crassifolia,Forssk.,Gambia
Capparaceae,Ritchiea capparoides,(Andrews) Britten,Gambia
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Gambia
Chrysobalanaceae,Chrysobalanus icaco,L.,Gambia
Chrysobalanaceae,Neocarya macrophylla,(Sabine) Prance ex F.White,Gambia
Chrysobalanaceae,Parinari curatellifolia,Planch. ex Benth.,Gambia
Chrysobalanaceae,Parinari excelsa,Sabine,Gambia
Combretaceae,Combretum glutinosum,Perr. ex DC.,Gambia
Combretaceae,Combretum micranthum,G.Don,Gambia
Combretaceae,Combretum nigricans,Lepr. ex Guill. & Perr.,Gambia
Combretaceae,Conocarpus erectus,L.,Gambia
Combretaceae,Guiera senegalensis,J.F.Gmel.,Gambia
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Gambia
Combretaceae,Terminalia avicennioides,Guill. & Perr.,Gambia
Combretaceae,Terminalia laxiflora,Engl.,Gambia
Combretaceae,Terminalia leiocarpa,(DC.) Baill.,Gambia
Combretaceae,Terminalia macroptera,Guill. & Perr.,Gambia
Combretaceae,Terminalia superba,Engl. & Diels,Gambia
Ebenaceae,Diospyros mespiliformis,Hochst. ex A.DC.,Gambia
Euphorbiaceae,Alchornea cordifolia,(Schumach. & Thonn.) Müll.Arg.,Gambia
Euphorbiaceae,Anthostema senegalense,A.Juss.,Gambia
Euphorbiaceae,Croton gratissimus,Burch.,Gambia
Euphorbiaceae,Macaranga heudelotii,Baill.,Gambia
Euphorbiaceae,Mallotus oppositifolius,(Geiseler) Müll.Arg.,Gambia
Euphorbiaceae,Shirakiopsis elliptica,(Hochst.) Esser,Gambia
Fabaceae,Albizia adianthifolia,(Schumach.) W.Wight,Gambia
Fabaceae,Albizia ferruginea,(Guill. & Perr.) Benth.,Gambia
Fabaceae,Albizia zygia,(DC.) J.F.Macbr.,Gambia
Fabaceae,Andira inermis,(W.Wright) DC.,Gambia
Fabaceae,Anonychium africanum,(Guill. & Perr.) C.E.Hughes & G.P.Lewis,Gambia
Fabaceae,Bauhinia rufescens,Lam.,Gambia
Fabaceae,Bobgunnia madagascariensis,(Desv.) J.H.Kirkbr. & Wiersema,Gambia
Fabaceae,Cassia sieberiana,DC.,Gambia
Fabaceae,Cordyla pinnata,(A.Rich.) Milne-Redh.,Gambia
Fabaceae,Cynometra vogelii,Hook.f.,Gambia
Fabaceae,Dalbergia boehmii,Taub.,Gambia
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Gambia
Fabaceae,Daniellia oliveri,(Rolfe) Hutch. & Dalziel,Gambia
Fabaceae,Detarium microcarpum,Guill. & Perr.,Gambia
Fabaceae,Detarium senegalense,J.F.Gmel.,Gambia
Fabaceae,Dialium guineense,Willd.,Gambia
Fabaceae,Entada africana,Guill. & Perr.,Gambia
Fabaceae,Erythrophleum africanum,(Benth.) Harms,Gambia
Fabaceae,Erythrophleum suaveolens,(Guill. & Perr.) Brenan,Gambia
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Gambia
Fabaceae,Machaerium lunatum,(L.f.) Ducke,Gambia
Fabaceae,Millettia thonningii,(Schumach. & Thonn.) Baker,Gambia
Fabaceae,Parkia biglobosa,(Jacq.) R.Br. ex G.Don,Gambia
Fabaceae,Pericopsis laxiflora,(Benth. ex Baker) Meeuwen,Gambia
Fabaceae,Piliostigma thonningii,(Schumach.) Milne-Redh.,Gambia
Fabaceae,Pterocarpus erinaceus,Poir.,Gambia
Fabaceae,Pterocarpus santalinoides,L'Hér. ex DC.,Gambia
Fabaceae,Senegalia macrostachya,(Rchb. ex DC.) Kyal. & Boatwr.,Gambia
