family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Georgia
Anacardiaceae,Pistacia atlantica,Desf.,Georgia
Anacardiaceae,Rhus coriaria,L.,Georgia
Aquifoliaceae,Ilex colchica,Pojark.,Georgia
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Georgia
Betulaceae,Alnus incana,(L.) Moench,Georgia
Betulaceae,Betula medwediewii,Regel,Georgia
Betulaceae,Betula pendula,Roth,Georgia
Betulaceae,Betula raddeana,Trautv.,Georgia
Betulaceae,Carpinus betulus,L.,Georgia
Betulaceae,Carpinus orientalis,Mill.,Georgia
Betulaceae,Corylus avellana,L.,Georgia
Betulaceae,Corylus colurna,L.,Georgia
Betulaceae,Ostrya carpinifolia,Scop.,Georgia
Buxaceae,Buxus sempervirens,L.,Georgia
Cannabaceae,Celtis australis,L.,Georgia
Cannabaceae,Celtis planchoniana,K.I.Chr.,Georgia
Cannabaceae,Celtis tournefortii,Lam.,Georgia
Celastraceae,Euonymus europaeus,L.,Georgia
Celastraceae,Euonymus latifolius,(L.) Mill.,Georgia
Cornaceae,Cornus iberica,Woronow,Georgia
Cornaceae,Cornus mas,L.,Georgia
Cupressaceae,Juniperus communis,L.,Georgia
Cupressaceae,Juniperus deltoides,R.P.Adams,Georgia
Cupressaceae,Juniperus excelsa,M.Bieb.,Georgia
Cupressaceae,Juniperus foetidissima,Willd.,Georgia
Cupressaceae,Juniperus oxycedrus,L.,Georgia
Elaeagnaceae,Elaeagnus angustifolia,L.,Georgia
Elaeagnaceae,Hippophae rhamnoides,L.,Georgia
Ericaceae,Arbutus andrachne,L.,Georgia
Ericaceae,Erica arborea,L.,Georgia
Ericaceae,Rhododendron ungernii,Trautv. ex Regel,Georgia
Fagaceae,Castanea sativa,Mill.,Georgia
Fagaceae,Fagus orientalis,Lipsky,Georgia
Fagaceae,Quercus hartwissiana,Steven,Georgia
Fagaceae,Quercus macranthera,Fisch. & C.A.Mey. ex Hohen.,Georgia
Fagaceae,Quercus petraea,(Matt.) Liebl.,Georgia
Fagaceae,Quercus pontica,K.Koch,Georgia
Fagaceae,Quercus robur,L.,Georgia
Juglandaceae,Juglans regia,L.,Georgia
Juglandaceae,Pterocarya fraxinifolia,(Lam.) Spach,Georgia
