family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,Germany
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Germany
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Germany
Betulaceae,Alnus incana,(L.) Moench,Germany
Betulaceae,Betula pendula,Roth,Germany
Betulaceae,Betula pubescens,Ehrh.,Germany
Betulaceae,Carpinus betulus,L.,Germany
Betulaceae,Corylus avellana,L.,Germany
Buxaceae,Buxus sempervirens,L.,Germany
Celastraceae,Euonymus europaeus,L.,Germany
Celastraceae,Euonymus latifolius,(L.) Mill.,Germany
Cornaceae,Cornus mas,L.,Germany
Cupressaceae,Juniperus communis,L.,Germany
Elaeagnaceae,Hippophae rhamnoides,L.,Germany
Fagaceae,Fagus sylvatica,L.,Germany
Fagaceae,Quercus petraea,(Matt.) Liebl.,Germany
Fagaceae,Quercus pubescens,Willd.,Germany
Fagaceae,Quercus robur,L.,Germany
Juglandaceae,Juglans regia,L.,Germany
Malvaceae,Tilia cordata,Mill.,Germany
Malvaceae,Tilia platyphyllos,Scop.,Germany
Oleaceae,Fraxinus excelsior,L.,Germany
Pinaceae,Abies alba,Mill.,Germany
Pinaceae,Larix decidua,Mill.,Germany
Pinaceae,Picea abies,(L.) H.Karst.,Germany
Pinaceae,Pinus cembra,L.,Germany
Pinaceae,Pinus mugo,Turra,Germany
Pinaceae,Pinus sylvestris,L.,Germany
Pinaceae,Pinus uncinata,Ramond ex DC.,Germany
Rhamnaceae,Frangula alnus,Mill.,Germany
Rhamnaceae,Rhamnus alpina,L.,Germany
Rhamnaceae,Rhamnus cathartica,L.,Germany
Rosaceae,Crataegus laevigata,(Poir.) DC.,Germany
Rosaceae,Crataegus monogyna,Jacq.,Germany
Rosaceae,Crataegus rhipidophylla,Gand.,Germany
Rosaceae,Malus sylvestris,(L.) Mill.,Germany
Rosaceae,Prunus avium,(L.) L.,Germany
Rosaceae,Prunus mahaleb,L.,Germany
Rosaceae,Prunus padus,L.,Germany
Rosaceae,Prunus spinosa,L.,Germany
Rosaceae,Pyrus communis,L.,Germany
Rosaceae,Sorbus adeana,N.Mey.,Germany
Rosaceae,Sorbus aucuparia,L.,Germany
Rosaceae,Sorbus badensis,Düll,Germany
Rosaceae,Sorbus collina,"M.Lepší, P.Lepší & N.Mey.",Germany
Rosaceae,Sorbus cordigastensis,N.Mey.,Germany
Rosaceae,Sorbus danubialis,(Jáv.) Kárpáti,Germany
Rosaceae,Sorbus domestica,L.        ,Germany
Rosaceae,Sorbus eystettensis,N.Mey.,Germany
Rosaceae,Sorbus fischeri,N.Mey.,Germany
Rosaceae,Sorbus franconica,Bornm. ex Dull,Germany
Rosaceae,Sorbus gauckleri,N.Mey.,Germany
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Germany
Rosaceae,Sorbus harziana,N.Mey.,Germany
Rosaceae,Sorbus herbipolitana,Meierott,Germany
Rosaceae,Sorbus hoppeana,N.Mey.,Germany
Rosaceae,Sorbus intermedia,(Ehrh.) Pers.,Germany
Rosaceae,Sorbus lonetalensis,S.Hammel & Haynold,Germany
Rosaceae,Sorbus meierottii,N.Mey.,Germany
Rosaceae,Sorbus mergenthaleriana,N.Mey.,Germany
Rosaceae,Sorbus meyeri,S.Hammel & Haynold,Germany
Rosaceae,Sorbus mougeotii,Soy.-Will. & Godr.,Germany
Rosaceae,Sorbus perlonga,Meierott,Germany
Rosaceae,Sorbus pseudothuringiaca,Düll,Germany
Rosaceae,Sorbus puellarum,Meierott,Germany
Rosaceae,Sorbus pulchra,N.Mey.,Germany
Rosaceae,Sorbus ratisbonensis,N.Mey.,Germany
Rosaceae,Sorbus schnizleiniana,N.Mey.,Germany
Rosaceae,Sorbus schuwerkiorum,N.Mey.,Germany
Rosaceae,Sorbus schwarziana,N.Mey.,Germany
Rosaceae,Sorbus seyboldiana,S.Hammel & Haynold,Germany
Rosaceae,Sorbus torminalis,Garsault,Germany
Salicaceae,Populus alba,L.,Germany
Salicaceae,Populus nigra,L.,Germany
Salicaceae,Populus tremula,L.,Germany
Salicaceae,Salix alba,L.,Germany
Salicaceae,Salix appendiculata,Vill.,Germany
Salicaceae,Salix caprea,L.,Germany
Salicaceae,Salix cinerea,L.,Germany
Salicaceae,Salix daphnoides,Vill.,Germany
Salicaceae,Salix eleagnos,Scop.,Germany
Salicaceae,Salix myrsinifolia,Salisb.,Germany
Salicaceae,Salix pentandra,L.,Germany
Salicaceae,Salix purpurea,L.,Germany
Salicaceae,Salix triandra,L.,Germany
Salicaceae,Salix viminalis,L.,Germany
Sapindaceae,Acer campestre,L.,Germany
Sapindaceae,Acer monspessulanum,L.,Germany
Sapindaceae,Acer opalus,Mill.,Germany
Sapindaceae,Acer platanoides,L.,Germany
Sapindaceae,Acer pseudoplatanus,L.,Germany
Staphyleaceae,Staphylea pinnata,L.,Germany
Taxaceae,Taxus baccata,L.,Germany
Ulmaceae,Ulmus glabra,Huds.,Germany
Ulmaceae,Ulmus laevis,Pall.,Germany
Ulmaceae,Ulmus minor,Mill.,Germany
Viburnaceae,Sambucus nigra,L.,Germany
Viburnaceae,Sambucus racemosa,L.,Germany
