family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Ghana
Achariaceae,Caloncoba echinata,(Oliv.) Gilg,Ghana
Achariaceae,Caloncoba gilgiana,(Sprague) Gilg,Ghana
Achariaceae,Caloncoba glauca,(P.Beauv.) Gilg,Ghana
Achariaceae,Dasylepis racemosa,Oliv.,Ghana
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Ghana
Achariaceae,Scottellia klaineana,Pierre,Ghana
Anacardiaceae,Antrocaryon micraster,A.Chev. & Guillaumin,Ghana
Anacardiaceae,Haematostaphis barteri,Hook.f.,Ghana
Anacardiaceae,Lannea acida,A.Rich.,Ghana
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Ghana
Anacardiaceae,Lannea microcarpa,Engl. & K.Krause,Ghana
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Ghana
Anacardiaceae,Lannea velutina,A.Rich.,Ghana
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Ghana
Anacardiaceae,Ozoroa insignis,Delile,Ghana
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Ghana
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Ghana
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Ghana
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Ghana
Anacardiaceae,Sorindeia grandifolia,Engl.,Ghana
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Ghana
Anacardiaceae,Trichoscypha arborea,(A.Chev.) A.Chev.,Ghana
Anacardiaceae,Trichoscypha baldwinii,Keay,Ghana
Anacardiaceae,Trichoscypha bijuga,Engl.,Ghana
Anacardiaceae,Trichoscypha cavalliensis,Aubrév. & Pellegr.,Ghana
Anacardiaceae,Trichoscypha lucens,Oliv.,Ghana
Anacardiaceae,Trichoscypha mannii,Hook.f.,Ghana
Anacardiaceae,Trichoscypha smythei,Hutch. & Dalziel,Ghana
Annonaceae,Annickia polycarpa,(DC.) Setten & Maas ex I.M.Turner,Ghana
Annonaceae,Annona senegalensis,Pers.,Ghana
Annonaceae,Anonidium mannii,(Oliv.) Engl. & Diels,Ghana
Annonaceae,Brieya fasciculata,De Wild.,Ghana
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Ghana
Annonaceae,Greenwayodendron oliveri,(Engl.) Verdc.,Ghana
Annonaceae,Hexalobus crispiflorus,A.Rich.,Ghana
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Ghana
Annonaceae,Isolona campanulata,Engl. & Diels,Ghana
Annonaceae,Isolona cooperi,Hutch. & Dalziel ex G.P.Cooper & Record,Ghana
Annonaceae,Isolona deightonii,Keay,Ghana
Annonaceae,Isolona hexaloba,(Pierre) Engl. & Diels,Ghana
Annonaceae,Mischogyne elliotiana,(Engl. & Diels) R.E.Fr. ex Le Thomas,Ghana
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Ghana
Annonaceae,Monocyclanthus vignei,Keay,Ghana
Annonaceae,Monodora crispata,Engl.,Ghana
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Ghana
Annonaceae,Monodora tenuifolia,Benth.,Ghana
Annonaceae,Monodora undulata,(P.Beauv.) Couvreur,Ghana
Annonaceae,Neostenanthera gabonensis,(Engl. & Diels) Exell,Ghana
Annonaceae,Neostenanthera hamata,(Benth.) Exell,Ghana
Annonaceae,Piptostigma fugax,A.Chev. ex Hutch. & Dalziel,Ghana
Annonaceae,Polyceratocarpus parviflorus,(Baker f.) Ghesq.,Ghana
Annonaceae,Uvaria afzelii,Scott Elliot,Ghana
Annonaceae,Uvaria angolensis,Welw. ex Oliv.,Ghana
Annonaceae,Uvaria ovata,(Vahl ex DC.) Hook.f. & Benth.,Ghana
Annonaceae,Uvariastrum insculptum,(Engl. & Diels) Sprague & Hutch.,Ghana
Annonaceae,Uvariastrum pierreanum,Engl.,Ghana
Annonaceae,Uvariodendron angustifolium,(Engl. & Diels) R.E.Fr.,Ghana
Annonaceae,Uvariodendron calophyllum,R.E.Fr.,Ghana
Annonaceae,Uvariodendron occidentale,Le Thomas,Ghana
Annonaceae,Uvariopsis globiflora,Keay,Ghana
Annonaceae,Uvariopsis guineensis,Keay,Ghana
Annonaceae,Uvariopsis oligocarpa,Dagallier & Couvreur,Ghana
Annonaceae,Uvariopsis tripetala,(Baker f.) G.E.Schatz,Ghana
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Ghana
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Ghana
Annonaceae,Xylopia aurantiiodora,De Wild. & T.Durand,Ghana
Annonaceae,Xylopia elliotii,Pierre ex Engl. & Diels,Ghana
Annonaceae,Xylopia letestui,Pellegr.,Ghana
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Ghana
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Ghana
Annonaceae,Xylopia staudtii,Engl. & Diels,Ghana
Annonaceae,Xylopia villosa,Chipp,Ghana
Apiaceae,Steganotaenia araliacea,Hochst.,Ghana
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Ghana
Apocynaceae,Alstonia boonei,De Wild.,Ghana
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Ghana
Apocynaceae,Carissa spinarum,L.,Ghana
Apocynaceae,Funtumia africana,(Benth.) Stapf,Ghana
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Ghana
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Ghana
Apocynaceae,Hunteria ghanensis,J.B.Hall & Leeuwenb.,Ghana
Apocynaceae,Hunteria umbellata,(K.Schum.) Hallier f.,Ghana
Apocynaceae,Picralima nitida,(Stapf) T.Durand & H.Durand,Ghana
Apocynaceae,Pleiocarpa mutica,Benth.,Ghana
Apocynaceae,Pleiocarpa pycnantha,(K.Schum.) Stapf,Ghana
Apocynaceae,Rauvolfia vomitoria,Afzel.,Ghana
Apocynaceae,Tabernaemontana africana,Hook.,Ghana
Apocynaceae,Tabernaemontana crassa,Benth.,Ghana
Apocynaceae,Tabernaemontana pachysiphon,Stapf,Ghana
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Ghana
Apocynaceae,Voacanga bracteata,Stapf,Ghana
Apocynaceae,Voacanga caudiflora,Stapf,Ghana
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Ghana
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Ghana
Araliaceae,Cussonia bancoensis,Aubrév. & Pellegr.,Ghana
Araliaceae,Polyscias fulva,(Hiern) Harms,Ghana
Arecaceae,Borassus aethiopum,Mart.,Ghana
Arecaceae,Elaeis guineensis,Jacq.,Ghana
Arecaceae,Hyphaene guineensis,Schumach. & Thonn.,Ghana
Arecaceae,Hyphaene thebaica,(L.) Mart.,Ghana
Arecaceae,Phoenix reclinata,Jacq.,Ghana
Arecaceae,Raphia farinifera,(Gaertn.) Hyl.,Ghana
Arecaceae,Raphia hookeri,G.Mann & H.Wendl.,Ghana
Arecaceae,Raphia palma-pinus,(Gaertn.) Hutch.,Ghana
Arecaceae,Raphia sudanica,A.Chev.,Ghana
Arecaceae,Raphia vinifera,P.Beauv.,Ghana
Asparagaceae,Dracaena arborea,(Willd.) Link,Ghana
Asparagaceae,Dracaena bueana,Engl.,Ghana
Asparagaceae,Dracaena fragrans,(L.) Ker Gawl.,Ghana
Asparagaceae,Dracaena mannii,Baker,Ghana
Asteraceae,Brenandendron donianum,(DC.) H.Rob.,Ghana
Asteraceae,Brenandendron titanophyllum,(Brenan) H.Rob.,Ghana
Asteraceae,Gymnanthemum coloratum,(Willd.) H.Rob. & B.Kahn,Ghana
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Ghana
Bignoniaceae,Markhamia lutea,(Benth.) K.Schum.,Ghana
Bignoniaceae,Markhamia tomentosa,(Benth.) K.Schum. ex Engl.,Ghana
Bignoniaceae,Newbouldia laevis,(P.Beauv.) Seem. ex Bureau,Ghana
Bignoniaceae,Stereospermum acuminatissimum,K.Schum.,Ghana
Bignoniaceae,Stereospermum kunthianum,Cham.,Ghana
Boraginaceae,Cordia africana,Lam.,Ghana
Boraginaceae,Cordia millenii,Baker,Ghana
Boraginaceae,Cordia platythyrsa,Baker,Ghana
Boraginaceae,Cordia senegalensis,Juss. ex Poir.,Ghana
Boraginaceae,Cordia sinensis,Lam.,Ghana
Boraginaceae,Ehretia cymosa,Thonn.,Ghana
Boraginaceae,Ehretia trachyphylla,C.H.Wright,Ghana
Burseraceae,Boswellia dalzielii,Hutch.,Ghana
Burseraceae,Canarium schweinfurthii,Engl.,Ghana
Burseraceae,Commiphora dalzielii,Hutch.,Ghana
Burseraceae,Commiphora pedunculata,(Kotschy & Peyr.) Engl.,Ghana
Burseraceae,Dacryodes klaineana,(Pierre) H.J.Lam,Ghana
Buxaceae,Buxus acutata,Friis,Ghana
Calophyllaceae,Mammea africana,Sabine,Ghana
Cannabaceae,Celtis adolfi-friderici,Engl.,Ghana
Cannabaceae,Celtis africana,Burm.f.,Ghana
Cannabaceae,Celtis mildbraedii,Engl.,Ghana
Cannabaceae,Celtis philippensis,Blanco,Ghana
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Ghana
Cannabaceae,Celtis zenkeri,Engl.,Ghana
Cannabaceae,Trema orientale,(L.) Blume,Ghana
Capparaceae,Boscia angustifolia,A.Rich.,Ghana
Capparaceae,Boscia salicifolia,Oliv.,Ghana
Capparaceae,Buchholzia coriacea,Engl.,Ghana
Capparaceae,Cadaba farinosa,Forssk.,Ghana
Capparaceae,Cadaba glandulosa,Forssk.,Ghana
Capparaceae,Crateva adansonii,DC.,Ghana
Capparaceae,Crateva eminens,(Hook.f.) Christenh. & Byng,Ghana
Capparaceae,Crateva monticola,(Gilg & Gilg-Ben.) Christenh. & Byng,Ghana
Capparaceae,Maerua angolensis,DC.,Ghana
Capparaceae,Maerua duchesnei,(De Wild.) F.White,Ghana
Capparaceae,Ritchiea capparoides,(Andrews) Britten,Ghana
Cardiopteridaceae,Leptaulus daphnoides,Benth.,Ghana
Celastraceae,Cassine buchananii,Loes.,Ghana
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Ghana
Celastraceae,Maytenus undata,(Thunb.) Blakelock,Ghana
Celastraceae,Salacia lehmbachii,Loes.,Ghana
Celastraceae,Salacia pallescens,Oliv.,Ghana
Celastraceae,Salacia pyriformis,(Sabine) Steud.,Ghana
Celastraceae,Salacia stuhlmanniana,Loes.,Ghana
Chrysobalanaceae,Afrolicania elaeosperma,Mildbr.,Ghana
Chrysobalanaceae,Chrysobalanus icaco,L.,Ghana
Chrysobalanaceae,Dactyladenia barteri,(Hook.f. ex Oliv.) Prance & F.White,Ghana
Chrysobalanaceae,Dactyladenia dinklagei,(Engl.) Prance & F.White,Ghana
Chrysobalanaceae,Dactyladenia scabrifolia,(Hua) Prance & F.White,Ghana
Chrysobalanaceae,Magnistipula zenkeri,Engl.,Ghana
Chrysobalanaceae,Maranthes aubrevillei,(Pellegr.) Prance ex F.White,Ghana
Chrysobalanaceae,Maranthes chrysophylla,(Oliv.) Prance ex F.White,Ghana
Chrysobalanaceae,Maranthes glabra,(Oliv.) Prance,Ghana
Chrysobalanaceae,Maranthes kerstingii,(Engl.) Prance ex F.White,Ghana
Chrysobalanaceae,Maranthes polyandra,(Benth.) Prance,Ghana
Chrysobalanaceae,Maranthes robusta,(Oliv.) Prance ex F.White,Ghana
Chrysobalanaceae,Parinari congensis,Didr.,Ghana
Chrysobalanaceae,Parinari curatellifolia,Planch. ex Benth.,Ghana
Chrysobalanaceae,Parinari excelsa,Sabine,Ghana
Clusiaceae,Allanblackia floribunda,Oliv.,Ghana
Clusiaceae,Allanblackia parviflora,A.Chev.,Ghana
Clusiaceae,Garcinia afzelii,Engl.,Ghana
Clusiaceae,Garcinia epunctata,Stapf,Ghana
Clusiaceae,Garcinia kola,Heckel,Ghana
Clusiaceae,Garcinia livingstonei,T.Anderson,Ghana
Clusiaceae,Garcinia quadrifaria,(Oliv.) Baill. ex Pierre,Ghana
Clusiaceae,Garcinia smeathmanii,(Planch. & Triana) Oliv.,Ghana
Clusiaceae,Pentadesma butyracea,Sabine,Ghana
Clusiaceae,Symphonia globulifera,L.f.,Ghana
Combretaceae,Combretum aculeatum,Vent.,Ghana
Combretaceae,Combretum adenogonium,Steud. ex A.Rich.,Ghana
Combretaceae,Combretum glutinosum,Perr. ex DC.,Ghana
Combretaceae,Combretum micranthum,G.Don,Ghana
Combretaceae,Combretum molle,R.Br. ex G.Don,Ghana
Combretaceae,Combretum platypterum,(Welw.) Hutch. & Dalziel,Ghana
Combretaceae,Conocarpus erectus,L.,Ghana
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Ghana
Combretaceae,Strephonema pseudocola,A.Chev.,Ghana
Combretaceae,Terminalia avicennioides,Guill. & Perr.,Ghana
Combretaceae,Terminalia engleri,Gere & Boatwr.,Ghana
Combretaceae,Terminalia glaucescens,Planch. ex Benth.,Ghana
Combretaceae,Terminalia habeensis,(Aubrév. ex Keay) Gere & Boatwr.,Ghana
Combretaceae,Terminalia hylodendron,(Mildbr.) Gere & Boatwr.,Ghana
Combretaceae,Terminalia ivorensis,A.Chev.,Ghana
Combretaceae,Terminalia laxiflora,Engl.,Ghana
Combretaceae,Terminalia leiocarpa,(DC.) Baill.,Ghana
Combretaceae,Terminalia macroptera,Guill. & Perr.,Ghana
Combretaceae,Terminalia mollis,M.A.Lawson,Ghana
Combretaceae,Terminalia superba,Engl. & Diels,Ghana
Connaraceae,Rourea coccinea,(Schumach. & Thonn.) Benth.,Ghana
Connaraceae,Rourea thomsonii,(Baker) Jongkind,Ghana
Dichapetalaceae,Dichapetalum barteri,Engl.,Ghana
Dichapetalaceae,Dichapetalum heudelotii,(Planch. ex Oliv.) Baill.,Ghana
Dichapetalaceae,Dichapetalum madagascariense,Poir.,Ghana
Dichapetalaceae,Tapura fischeri,Engl.,Ghana
Dichapetalaceae,Tapura ivorensis,Breteler,Ghana
Dipterocarpaceae,Monotes kerstingii,Gilg,Ghana
Ebenaceae,Diospyros abyssinica,(Hiern) F.White,Ghana
Ebenaceae,Diospyros barteri,Hiern,Ghana
Ebenaceae,Diospyros canaliculata,De Wild.,Ghana
Ebenaceae,Diospyros cooperi,(Hutch. & Dalziel) F.White,Ghana
Ebenaceae,Diospyros elliotii,(Hiern) F.White,Ghana
Ebenaceae,Diospyros ferrea,(Willd.) Bakh.,Ghana
Ebenaceae,Diospyros gabunensis,Gürke,Ghana
Ebenaceae,Diospyros heudelotii,Hiern,Ghana
Ebenaceae,Diospyros kamerunensis,Gürke,Ghana
Ebenaceae,Diospyros mannii,Hiern,Ghana
Ebenaceae,Diospyros mespiliformis,Hochst. ex A.DC.,Ghana
Ebenaceae,Diospyros monbuttensis,Gürke,Ghana
Ebenaceae,Diospyros piscatoria,Gürke,Ghana
Ebenaceae,Diospyros sanza-minika,A.Chev.,Ghana
Ebenaceae,Diospyros soubreana,F.White,Ghana
Ebenaceae,Diospyros tricolor,(Schumach. & Thonn.) Hiern,Ghana
Ebenaceae,Diospyros vignei,F.White,Ghana
Ebenaceae,Diospyros viridicans,Hiern,Ghana
Erythroxylaceae,Erythroxylum emarginatum,Thonn.,Ghana
Erythroxylaceae,Erythroxylum mannii,Oliv.,Ghana
Euphorbiaceae,Acalypha neptunica,Müll.Arg.,Ghana
Euphorbiaceae,Alchornea cordifolia,(Schumach. & Thonn.) Müll.Arg.,Ghana
Euphorbiaceae,Alchornea floribunda,Müll.Arg.,Ghana
Euphorbiaceae,Alchornea hirtella,Benth.,Ghana
Euphorbiaceae,Anthostema aubryanum,Baill.,Ghana
Euphorbiaceae,Argomuellera macrophylla,Pax,Ghana
Euphorbiaceae,Cleidion gabonicum,Baill.,Ghana
Euphorbiaceae,Croton aubrevillei,J.Léonard,Ghana
Euphorbiaceae,Croton gratissimus,Burch.,Ghana
Euphorbiaceae,Croton macrostachyus,Hochst. ex Delile,Ghana
Euphorbiaceae,Croton penduliflorus,Hutch.,Ghana
Euphorbiaceae,Croton sylvaticus,Hochst.,Ghana
Euphorbiaceae,Crotonogyne caterviflora,N.E.Br.,Ghana
Euphorbiaceae,Crotonogyne manniana,Müll.Arg.,Ghana
Euphorbiaceae,Crotonogynopsis akeassii,J.Léonard,Ghana
Euphorbiaceae,Discoclaoxylon hexandrum,(Müll.Arg.) Pax & K.Hoffm.,Ghana
Euphorbiaceae,Discoglypremna caloneura,(Pax) Prain,Ghana
Euphorbiaceae,Euphorbia desmondii,Keay & Milne-Redh.,Ghana
Euphorbiaceae,Euphorbia drupifera,Thonn.,Ghana
Euphorbiaceae,Euphorbia grandifolia,Haw.,Ghana
Euphorbiaceae,Grossera vignei,Hoyle,Ghana
Euphorbiaceae,Macaranga barteri,Müll.Arg.,Ghana
Euphorbiaceae,Macaranga heterophylla,(Müll.Arg.) Müll.Arg.,Ghana
Euphorbiaceae,Macaranga heudelotii,Baill.,Ghana
