family,taxon,author,native to
Cannabaceae,Celtis australis,L.,Gibraltar
Cupressaceae,Juniperus communis,L.,Gibraltar
Cupressaceae,Juniperus oxycedrus,L.,Gibraltar
Cupressaceae,Juniperus phoenicea,L.,Gibraltar
Cupressaceae,Juniperus turbinata,Guss.,Gibraltar
Fabaceae,Ceratonia siliqua,L.,Gibraltar
Pinaceae,Pinus pinaster,Aiton,Gibraltar
Salicaceae,Populus nigra,L.,Gibraltar
Salicaceae,Populus tremula,L.,Gibraltar
Salicaceae,Salix caprea,L.,Gibraltar
Santalaceae,Osyris lanceolata,Hochst. & Steud.,Gibraltar
Taxaceae,Taxus baccata,L.,Gibraltar
