family,taxon,author,native to
Altingiaceae,Liquidambar orientalis,Mill.,Greece
Anacardiaceae,Cotinus coggygria,Scop.,Greece
Anacardiaceae,Pistacia atlantica,Desf.,Greece
Anacardiaceae,Pistacia lentiscus,L.,Greece
Anacardiaceae,Pistacia terebinthus,L.,Greece
Anacardiaceae,Rhus coriaria,L.,Greece
Aquifoliaceae,Ilex aquifolium,L.,Greece
Arecaceae,Phoenix theophrasti,Greuter,Greece
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Greece
Betulaceae,Alnus rohlenae,"Vít, Douda & Mandák",Greece
Betulaceae,Betula pendula,Roth,Greece
Betulaceae,Carpinus betulus,L.,Greece
Betulaceae,Carpinus orientalis,Mill.,Greece
Betulaceae,Corylus avellana,L.,Greece
Betulaceae,Corylus colurna,L.,Greece
Betulaceae,Ostrya carpinifolia,Scop.,Greece
Cannabaceae,Celtis australis,L.,Greece
Cannabaceae,Celtis planchoniana,K.I.Chr.,Greece
Cannabaceae,Celtis tournefortii,Lam.,Greece
Caprifoliaceae,Lonicera nummulariifolia,Jaub. & Spach,Greece
Celastraceae,Euonymus europaeus,L.,Greece
Celastraceae,Euonymus latifolius,(L.) Mill.,Greece
Cornaceae,Cornus mas,L.,Greece
Cupressaceae,Cupressus sempervirens,L.,Greece
Cupressaceae,Juniperus communis,L.,Greece
Cupressaceae,Juniperus deltoides,R.P.Adams,Greece
Cupressaceae,Juniperus drupacea,Labill.,Greece
Cupressaceae,Juniperus excelsa,M.Bieb.,Greece
Cupressaceae,Juniperus foetidissima,Willd.,Greece
Cupressaceae,Juniperus oxycedrus,L.,Greece
Cupressaceae,Juniperus phoenicea,L.,Greece
Cupressaceae,Juniperus turbinata,Guss.,Greece
Ericaceae,Arbutus andrachne,L.,Greece
Ericaceae,Arbutus unedo,L.,Greece
Ericaceae,Erica arborea,L.,Greece
Euphorbiaceae,Euphorbia dendroides,L.,Greece
Fabaceae,Anagyris foetida,L.,Greece
Fabaceae,Ceratonia siliqua,L.,Greece
Fabaceae,Cercis siliquastrum,L.,Greece
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Greece
Fagaceae,Castanea sativa,Mill.,Greece
Fagaceae,Fagus orientalis,Lipsky,Greece
Fagaceae,Fagus sylvatica,L.,Greece
Fagaceae,Quercus aucheri,Jaub. & Spach,Greece
Fagaceae,Quercus cerris,L.,Greece
Fagaceae,Quercus coccifera,L.,Greece
Fagaceae,Quercus frainetto,Ten.,Greece
Fagaceae,Quercus ilex,L.,Greece
Fagaceae,Quercus infectoria,G.Olivier,Greece
Fagaceae,Quercus ithaburensis,Decne.,Greece
Fagaceae,Quercus pubescens,Willd.,Greece
Fagaceae,Quercus robur,L.,Greece
Fagaceae,Quercus trojana,Webb,Greece
Lamiaceae,Vitex agnus-castus,L.,Greece
Lauraceae,Laurus nobilis,L.,Greece
Malvaceae,Tilia cordata,Mill.,Greece
Malvaceae,Tilia platyphyllos,Scop.,Greece
Malvaceae,Tilia tomentosa,Moench,Greece
Moraceae,Ficus carica,L.,Greece
Myrtaceae,Myrtus communis,L.,Greece
Oleaceae,Fraxinus angustifolia,Vahl,Greece
Oleaceae,Fraxinus excelsior,L.,Greece
Oleaceae,Fraxinus ornus,L.,Greece
Oleaceae,Fraxinus pallisiae,Wilmott,Greece
Oleaceae,Olea europaea,L.,Greece
Oleaceae,Phillyrea latifolia,L.,Greece
Oleaceae,Syringa vulgaris,L.,Greece
Pinaceae,Abies alba,Mill.,Greece
Pinaceae,Abies cephalonica,Loudon,Greece
Pinaceae,Picea abies,(L.) H.Karst.,Greece
Pinaceae,Pinus brutia,Ten.,Greece
Pinaceae,Pinus halepensis,Mill.,Greece
Pinaceae,Pinus heldreichii,Christ,Greece
Pinaceae,Pinus nigra,J.F.Arnold,Greece
Pinaceae,Pinus peuce,Griseb.,Greece
Pinaceae,Pinus sylvestris,L.,Greece
Platanaceae,Platanus orientalis,L.,Greece
Rhamnaceae,Frangula alnus,Mill.,Greece
Rhamnaceae,Rhamnus alaternus,L.,Greece
Rhamnaceae,Rhamnus alpina,L.,Greece
Rhamnaceae,Rhamnus cathartica,L.,Greece
Rosaceae,Crataegus azarolus,L.,Greece
Rosaceae,Crataegus heldreichii,Boiss.,Greece
Rosaceae,Crataegus monogyna,Jacq.,Greece
Rosaceae,Crataegus orientalis,Pall. ex M.Bieb.,Greece
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Greece
Rosaceae,Crataegus pycnoloba,Boiss. & Heldr.,Greece
Rosaceae,Crataegus rhipidophylla,Gand.,Greece
Rosaceae,Malus dasyphylla,Borkh.,Greece
Rosaceae,Malus florentina,(Zuccagni) C.K.Schneid.,Greece
Rosaceae,Malus sylvestris,(L.) Mill.,Greece
Rosaceae,Malus trilobata,(Labill. ex Poir.) C.K.Schneid.,Greece
Rosaceae,Prunus avium,(L.) L.,Greece
Rosaceae,Prunus cerasifera,Ehrh.,Greece
Rosaceae,Prunus cocomilia,Ten.,Greece
Rosaceae,Prunus discolor,(Spach) C. K. Schneid.,Greece
Rosaceae,Prunus mahaleb,L.,Greece
Rosaceae,Prunus prostrata,Labill.,Greece
Rosaceae,Prunus spinosa,L.,Greece
Rosaceae,Prunus webbii,(Spach) Vierh.,Greece
Rosaceae,Pyrus communis,L.,Greece
Rosaceae,Pyrus elaeagrifolia,Pall.,Greece
Rosaceae,Pyrus nivalis,Jacq.,Greece
Rosaceae,Pyrus spinosa,Forssk.,Greece
Rosaceae,Sorbus aria,(L.) Crantz,Greece
Rosaceae,Sorbus aucuparia,L.,Greece
Rosaceae,Sorbus austriaca,(Beck) Hedl.,Greece
Rosaceae,Sorbus baldaccii,(Degen & Fritsch ex C.K.Schneid.) Zinserl.,Greece
Rosaceae,Sorbus domestica,L.        ,Greece
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Greece
Rosaceae,Sorbus torminalis,Garsault,Greece
Rosaceae,Sorbus umbellata,(Desf.) Fritsch,Greece
Salicaceae,Populus nigra,L.,Greece
Salicaceae,Populus tremula,L.,Greece
Salicaceae,Salix alba,L.,Greece
Salicaceae,Salix appendiculata,Vill.,Greece
Salicaceae,Salix cinerea,L.,Greece
Salicaceae,Salix eleagnos,Scop.,Greece
Salicaceae,Salix kaptarae,"Cambria, C.Brullo & Brullo",Greece
Salicaceae,Salix purpurea,L.,Greece
Salicaceae,Salix triandra,L.,Greece
Salicaceae,Salix viminalis,L.,Greece
Sapindaceae,Acer campestre,L.,Greece
Sapindaceae,Acer heldreichii,Orph. ex Boiss.,Greece
Sapindaceae,Acer hyrcanum,Fisch. & C.A.Mey.,Greece
Sapindaceae,Acer monspessulanum,L.,Greece
Sapindaceae,Acer opalus,Mill.,Greece
Sapindaceae,Acer platanoides,L.,Greece
Sapindaceae,Acer pseudoplatanus,L.,Greece
Sapindaceae,Acer sempervirens,L.,Greece
Sapindaceae,Acer tataricum,L.,Greece
Sapindaceae,Aesculus hippocastanum,L.,Greece
Styracaceae,Styrax officinalis,L.,Greece
Tamaricaceae,Tamarix dalmatica,B.R.Baum,Greece
Tamaricaceae,Tamarix hampeana,Boiss. & Heldr.,Greece
Tamaricaceae,Tamarix minoa,"J.L.Villar, Turland, Juan, Gaskin, M.A.Alonso & M.B.Crespo",Greece
Tamaricaceae,Tamarix nilotica,(Ehrenb.) Bunge,Greece
Tamaricaceae,Tamarix parviflora,DC.,Greece
Tamaricaceae,Tamarix ramosissima,Ledeb.,Greece
Tamaricaceae,Tamarix smyrnensis,Bunge,Greece
Tamaricaceae,Tamarix tetrandra,Pall. ex M.Bieb.,Greece
Taxaceae,Taxus baccata,L.,Greece
Ulmaceae,Ulmus glabra,Huds.,Greece
Ulmaceae,Ulmus laevis,Pall.,Greece
Ulmaceae,Ulmus minor,Mill.,Greece
Ulmaceae,Zelkova abelicea,(Lam.) Boiss.,Greece
Viburnaceae,Sambucus nigra,L.,Greece
Viburnaceae,Sambucus racemosa,L.,Greece
Viburnaceae,Viburnum tinus,L.,Greece
