family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Grenada
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Grenada
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Grenada
Anacardiaceae,Spondias mombin,L.,Grenada
Annonaceae,Annona glabra,L.,Grenada
Annonaceae,Annona montana,Macfad.,Grenada
Annonaceae,Annona mucosa,Jacq.,Grenada
Annonaceae,Guatteria caribaea,Urb.,Grenada
Annonaceae,Unonopsis guatterioides,(A.DC.) R.E.Fr.,Grenada
Apocynaceae,Plumeria alba,L.,Grenada
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Grenada
Apocynaceae,Tabernaemontana citrifolia,L.,Grenada
Aquifoliaceae,Ilex dioica,(Vahl) Griseb.,Grenada
Aquifoliaceae,Ilex sideroxyloides,(Sw.) Griseb.,Grenada
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Grenada
Araliaceae,Sciodaphyllum attenuatum,"(Sw.) Lowry, G.M.Plunkett & M.M.Mora",Grenada
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Grenada
Arecaceae,Euterpe broadwayi,Becc. ex Broadway,Grenada
Arecaceae,Prestoea acuminata,(Willd.) H.E.Moore,Grenada
Asteraceae,Clibadium surinamense,L.,Grenada
Bignoniaceae,Crescentia cujete,L.,Grenada
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Grenada
Bignoniaceae,Tabebuia pallida,(Lindl.) Miers,Grenada
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Grenada
Boraginaceae,Bourreria succulenta,Jacq.,Grenada
Boraginaceae,Cordia collococca,L.,Grenada
Boraginaceae,Cordia dentata,Poir.,Grenada
Burseraceae,Bursera simaruba,(L.) Sarg.,Grenada
Burseraceae,Dacryodes excelsa,Vahl,Grenada
Burseraceae,Protium attenuatum,(Rose) Urb.,Grenada
Cactaceae,Cereus repandus,(L.) Mill.,Grenada
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Grenada
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,Grenada
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Grenada
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Grenada
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Grenada
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Grenada
Capparaceae,Quadrella odoratissima,(Jacq.) Hutch.,Grenada
Celastraceae,Monteverdia grenadensis,(Urb.) Biral,Grenada
Celastraceae,Schaefferia frutescens,Jacq.,Grenada
Chrysobalanaceae,Chrysobalanus icaco,L.,Grenada
Chrysobalanaceae,Licania ternatensis,Hook.f. ex Duss,Grenada
Clusiaceae,Garcinia humilis,(Vahl) C.D.Adams,Grenada
Combretaceae,Conocarpus erectus,L.,Grenada
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Grenada
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Grenada
Connaraceae,Rourea surinamensis,Miq.,Grenada
Ebenaceae,Diospyros inconstans,Jacq.,Grenada
Elaeocarpaceae,Sloanea caribaea,Krug & Urb. ex Duss,Grenada
Elaeocarpaceae,Sloanea dentata,L.,Grenada
Ericaceae,Vaccinium latifolium,(Griseb.) Benth. & Hook.f. ex B.D.Jacks.,Grenada
Erythroxylaceae,Erythroxylum havanense,Jacq.,Grenada
Erythroxylaceae,Erythroxylum oxycarpum,O.E.Schulz,Grenada
Erythroxylaceae,Erythroxylum squamatum,Sw.,Grenada
Euphorbiaceae,Acalypha villosa,Jacq.,Grenada
Euphorbiaceae,Adelia ricinella,L.,Grenada
Euphorbiaceae,Bernardia dichotoma,(Willd.) Müll.Arg.,Grenada
Euphorbiaceae,Croton flavens,L.,Grenada
Euphorbiaceae,Croton hircinus,Vent.,Grenada
Euphorbiaceae,Croton niveus,Jacq.,Grenada
Euphorbiaceae,Hippomane mancinella,L.,Grenada
Euphorbiaceae,Jatropha curcas,L.,Grenada
Euphorbiaceae,Jatropha multifida,L.,Grenada
Euphorbiaceae,Sapium glandulosum,(L.) Morong,Grenada
Fabaceae,Anadenanthera peregrina,(L.) Speg.,Grenada
Fabaceae,Andira inermis,(W.Wright) DC.,Grenada
Fabaceae,Bauhinia aculeata,L.,Grenada
Fabaceae,Calliandra purpurea,(L.) Benth.,Grenada
Fabaceae,Calliandra tergemina,(L.) Benth.,Grenada
Fabaceae,Crudia glaberrima,(Steud.) J.F.Macbr.,Grenada
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Grenada
Fabaceae,Erythrina corallodendron,L.,Grenada
Fabaceae,Hymenaea courbaril,L.,Grenada
Fabaceae,Inga laurina,(Sw.) Willd.,Grenada
Fabaceae,Inga oerstediana,Benth.,Grenada
Fabaceae,Jupunba trapezifolia,"(Benth.) M.V.B.Soares, M.P.Morim & Iganci",Grenada
Fabaceae,Libidibia coriaria,(Jacq.) Schltdl.,Grenada
Fabaceae,Muellera broadwayi,(Urb.) M.Sousa,Grenada
Fabaceae,Ormosia monosperma,(Sw.) Urb.,Grenada
Fabaceae,Parkinsonia aculeata,L.,Grenada
Fabaceae,Piscidia carthagenensis,Jacq.,Grenada
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Grenada
Fabaceae,Pseudalbizzia niopoides,(Spruce ex Benth.) E.J.M.Koenen & Duno,Grenada
Fabaceae,Pterocarpus officinalis,Jacq.,Grenada
Fabaceae,Senegalia tamarindifolia,(L.) Britton & Rose,Grenada
Fabaceae,Senna polyphylla,(Jacq.) H.S.Irwin & Barneby,Grenada
Fabaceae,Swartzia simplex,(Sw.) Spreng.,Grenada
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Grenada
Fabaceae,Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Grenada
Fabaceae,Zygia latifolia,(L.) Fawc. & Rendle,Grenada
Heliotropiaceae,Tournefortia bicolor,Sw.,Grenada
Lamiaceae,Aegiphila martinicensis,Jacq.,Grenada
Lamiaceae,Cornutia pyramidata,L.,Grenada
Lamiaceae,Vitex divaricata,Sw.,Grenada
Lauraceae,Aiouea montana,(Sw.) R.Rohde,Grenada
Lauraceae,Aniba ramageana,Mez,Grenada
Lauraceae,Damburneya coriacea,(Sw.) Trofimov & Rohwer,Grenada
Lauraceae,Damburneya patens,(Sw.) Trofimov,Grenada
Lauraceae,Nectandra membranacea,(Sw.) Griseb.,Grenada
Lauraceae,Ocotea eggersiana,Mez,Grenada
Lauraceae,Ocotea leucoxylon,(Sw.) Laness.,Grenada
Lauraceae,Ocotea martinicensis,Mez,Grenada
Malpighiaceae,Bunchosia polystachia,(Andrews) DC.,Grenada
Malpighiaceae,Byrsonima trinitensis,A.Juss.,Grenada
Malvaceae,Ceiba pentandra,(L.) Gaertn.,Grenada
Malvaceae,Guazuma ulmifolia,Lam.,Grenada
Malvaceae,Hibiscus tiliaceus,L.,Grenada
Malvaceae,Ochroma pyramidale,(Cav. ex Lam.) Urb.,Grenada
Malvaceae,Pavonia spinifex,(L.) Cav.,Grenada
Malvaceae,Pseudobombax ellipticum,(Kunth) Dugand,Grenada
Malvaceae,Quararibea turbinata,(Sw.) Poir.,Grenada
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Grenada
Malvaceae,Triumfetta bogotensis,DC.,Grenada
Malvaceae,Triumfetta lappula,L.,Grenada
Melastomataceae,Blakea pulverulenta,Vahl,Grenada
Melastomataceae,Graffenrieda latifolia,(Naudin) Triana,Grenada
Melastomataceae,Henriettea triflora,(Vahl) A. H. Liogier,Grenada
Melastomataceae,Miconia andersonii,Fawcett & Rendle,Grenada
Melastomataceae,Miconia christophoriana,(Ham.) Judd & Majure,Grenada
Melastomataceae,Miconia laevigata,(L.) D. Don,Grenada
Melastomataceae,Miconia mirabilis,(Aubl.) L.O. Williams,Grenada
Melastomataceae,Miconia prasina,(Sw.) DC.,Grenada
Melastomataceae,Miconia racemosa,(Aubl.) DC.,Grenada
Melastomataceae,Miconia tetrandra,D.Don,Grenada
Meliaceae,Carapa guianensis,Aubl.,Grenada
Meliaceae,Cedrela odorata,L.,Grenada
Meliaceae,Guarea macrophylla,Vahl,Grenada
Meliaceae,Trichilia hirta,L.,Grenada
Moraceae,Ficus americana,Aubl.,Grenada
Moraceae,Ficus citrifolia,Mill.,Grenada
Moraceae,Maclura tinctoria,(L.) D.Don ex Steud.,Grenada
Myrtaceae,Eugenia monticola,(Sw.) DC.,Grenada
Myrtaceae,Eugenia trinitatis,DC.,Grenada
Myrtaceae,Myrcia citrifolia,(Aubl.) Urb.,Grenada
Myrtaceae,Myrcia ferruginea,(Poir.) DC.,Grenada
Myrtaceae,Myrcia guildingiana,(Griseb.) E.Lucas & C.E.Wilson,Grenada
Myrtaceae,Myrcia platyclada,DC.,Grenada
Myrtaceae,Myrcia zuzygium,(L.) A.R.Lourenço & E.Lucas,Grenada
Myrtaceae,Myrcianthes fragrans,(Sw.) McVaugh,Grenada
Myrtaceae,Psidium guajava,L.,Grenada
Nyctaginaceae,Guapira fragrans,(Dum.Cours.) Little,Grenada
Nyctaginaceae,Pisonia aculeata,L.,Grenada
Oleaceae,Chionanthus compactus,Sw.,Grenada
Papaveraceae,Bocconia frutescens,L.,Grenada
Pentaphylacaceae,Freziera undulata,(Sw.) Sw. ex Willd.,Grenada
Phyllanthaceae,Margaritaria nobilis,L.f.,Grenada
Phyllanthaceae,Richeria grandis,Vahl,Grenada
Piperaceae,Piper aduncum,L.,Grenada
Piperaceae,Piper dilatatum,Rich.,Grenada
Polygonaceae,Coccoloba ascendens,Duss ex Lindau,Grenada
Polygonaceae,Coccoloba coronata,Jacq.,Grenada
Polygonaceae,Coccoloba uvifera,(L.) L.,Grenada
Polygonaceae,Coccoloba venosa,L.,Grenada
Primulaceae,Cybianthus antillanus,(Mez) G.Agostini,Grenada
Primulaceae,Jacquinia armillaris,Jacq.,Grenada
Primulaceae,Myrsine coriacea,(Sw.) R.Br. ex Roem. & Schult.,Grenada
Primulaceae,Myrsine guianensis,(Aubl.) Kuntze,Grenada
Primulaceae,Myrsine trinitatis,A.DC.,Grenada
Primulaceae,Stylogyne canaliculata,(Lodd.) Mez,Grenada
Primulaceae,Stylogyne lateriflora,(Sw.) Mez,Grenada
Rhizophoraceae,Cassipourea elliptica,(Sw.) Poir.,Grenada
Rhizophoraceae,Rhizophora mangle,L.,Grenada
Rubiaceae,Erithalis odorifera,Jacq.,Grenada
Rubiaceae,Exostema caribaeum,(Jacq.) Schult.,Grenada
Rubiaceae,Faramea occidentalis,(L.) A.Rich.,Grenada
Rubiaceae,Genipa americana,L.,Grenada
Rubiaceae,Guettarda odorata,(Jacq.) Lam.,Grenada
Rubiaceae,Ixora ferrea,(Jacq.) Benth.,Grenada
Rubiaceae,Palicourea crocea,(Sw.) Schult.,Grenada
Rubiaceae,Palicourea guianensis,Aubl.,Grenada
Rubiaceae,Palicourea violacea,(Aubl.) A.Rich.,Grenada
Rubiaceae,Posoqueria trinitatis,DC.,Grenada
Rubiaceae,Randia aculeata,L.,Grenada
Rubiaceae,Randia armata,(Sw.) DC.,Grenada
Rubiaceae,Rondeletia parviflora,Poir.,Grenada
Rubiaceae,Rudgea hostmanniana,Benth.,Grenada
Rubiaceae,Rudgea vincentina,Urb.,Grenada
Rubiaceae,Tournefortiopsis crispiflora,(Vahl) Borhidi,Grenada
Rutaceae,Amyris elemifera,L.,Grenada
Rutaceae,Zanthoxylum rhoifolium,Lam.,Grenada
Sabiaceae,Meliosma herbertii,Rolfe,Grenada
Salicaceae,Casearia decandra,Jacq.,Grenada
Salicaceae,Casearia guianensis,(Aubl.) Urb.,Grenada
Salicaceae,Casearia sylvestris,Sw.,Grenada
Salicaceae,Casearia tremula,(Griseb.) Griseb. ex C.Wright,Grenada
Salicaceae,Prockia crucis,P.Browne ex L.,Grenada
Sapindaceae,Dodonaea viscosa,(L.) Jacq.,Grenada
Sapindaceae,Sapindus saponaria,L.,Grenada
Sapotaceae,Chrysophyllum argenteum,Jacq.,Grenada
Sapotaceae,Chrysophyllum oliviforme,L.,Grenada
Sapotaceae,Pouteria multiflora,(A.DC.) Eyma,Grenada
Sapotaceae,Sideroxylon capiri,(A.DC.) Pittier,Grenada
Schoepfiaceae,Schoepfia schreberi,J.F.Gmel.,Grenada
Simaroubaceae,Simarouba amara,Aubl.,Grenada
Solanaceae,Acnistus arborescens,(L.) Schltdl.,Grenada
Solanaceae,Solanum hazenii,Britton,Grenada
Solanaceae,Solanum nudum,Dunal,Grenada
Staphyleaceae,Turpinia occidentalis,(Sw.) G.Don,Grenada
Surianaceae,Suriana maritima,L.,Grenada
Symplocaceae,Symplocos guadeloupensis,Krug & Urb.,Grenada
Symplocaceae,Symplocos martinicensis,Jacq.,Grenada
Urticaceae,Boehmeria ramiflora,Jacq.,Grenada
Urticaceae,Cecropia schreberiana,Miq.,Grenada
Urticaceae,Urera baccifera,(L.) Gaudich. ex Wedd.,Grenada
Verbenaceae,Citharexylum spinosum,L.,Grenada
Zygophyllaceae,Guaiacum officinale,L.,Grenada
