family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Guadeloupe
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Guadeloupe
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Guadeloupe
Anacardiaceae,Spondias mombin,L.,Guadeloupe
Annonaceae,Annona glabra,L.,Guadeloupe
Annonaceae,Annona montana,Macfad.,Guadeloupe
Annonaceae,Annona mucosa,Jacq.,Guadeloupe
Annonaceae,Guatteria caribaea,Urb.,Guadeloupe
Annonaceae,Oxandra laurifolia,(Sw.) A.Rich.,Guadeloupe
Apocynaceae,Plumeria alba,L.,Guadeloupe
Apocynaceae,Rauvolfia biauriculata,Müll.Arg.,Guadeloupe
Apocynaceae,Rauvolfia nitida,Jacq.,Guadeloupe
Apocynaceae,Rauvolfia tetraphylla,L.,Guadeloupe
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Guadeloupe
Apocynaceae,Tabernaemontana citrifolia,L.,Guadeloupe
Aquifoliaceae,Ilex dioica,(Vahl) Griseb.,Guadeloupe
Aquifoliaceae,Ilex macfadyenii,(Walp.) Rehder,Guadeloupe
Aquifoliaceae,Ilex nitida,(Vahl) Maxim.,Guadeloupe
Aquifoliaceae,Ilex sideroxyloides,(Sw.) Griseb.,Guadeloupe
Araliaceae,Didymopanax morototoni,(Aubl.) Decne. & Planch.,Guadeloupe
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Guadeloupe
Araliaceae,Oreopanax dussii,Krug & Urb. ex Duss,Guadeloupe
Araliaceae,Sciodaphyllum attenuatum,"(Sw.) Lowry, G.M.Plunkett & M.M.Mora",Guadeloupe
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Guadeloupe
Arecaceae,Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.,Guadeloupe
Arecaceae,Geonoma pinnatifrons,Willd.,Guadeloupe
Arecaceae,Geonoma undata,Klotzsch,Guadeloupe
Arecaceae,Roystonea oleracea,(Jacq.) O.F.Cook,Guadeloupe
Arecaceae,Roystonea regia,(Kunth) O.F.Cook,Guadeloupe
Arecaceae,Syagrus amara,(Jacq.) Mart.,Guadeloupe
Asteraceae,Koanophyllon celtidifolium,(Lam.) R.M.King & H.Rob.,Guadeloupe
Bignoniaceae,Amphitecna latifolia,(Mill.) A.H.Gentry,Guadeloupe
Bignoniaceae,Crescentia cujete,L.,Guadeloupe
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Guadeloupe
Bignoniaceae,Tabebuia pallida,(Lindl.) Miers,Guadeloupe
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Guadeloupe
Boraginaceae,Bourreria succulenta,Jacq.,Guadeloupe
Boraginaceae,Cordia dentata,Poir.,Guadeloupe
Boraginaceae,Heliotropium filiflorum,(Griseb.) Feuillet,Guadeloupe
Boraginaceae,Rochefortia acanthophora,(A.DC.) Griseb.,Guadeloupe
Boraginaceae,Rochefortia spinosa,(Jacq.) Urb.,Guadeloupe
Brunelliaceae,Brunellia comocladiifolia,Bonpl.,Guadeloupe
Burseraceae,Bursera simaruba,(L.) Sarg.,Guadeloupe
Burseraceae,Dacryodes excelsa,Vahl,Guadeloupe
Burseraceae,Protium attenuatum,(Rose) Urb.,Guadeloupe
Burseraceae,Protium balsamiferum,(Sw.) Daly & P.Fine,Guadeloupe
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Guadeloupe
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,Guadeloupe
Calophyllaceae,Mammea americana,L.,Guadeloupe
Calophyllaceae,Marila racemosa,Sw.,Guadeloupe
Canellaceae,Canella winterana,(L.) Gaertn.,Guadeloupe
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Guadeloupe
Cannabaceae,Trema lamarckianum,(Schult.) Blume,Guadeloupe
Cannabaceae,Trema micranthum,(L.) Blume,Guadeloupe
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Guadeloupe
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Guadeloupe
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Guadeloupe
Capparaceae,Morisonia americana,L.,Guadeloupe
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Guadeloupe
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Guadeloupe
Celastraceae,Crossopetalum rhacoma,Crantz,Guadeloupe
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Guadeloupe
Celastraceae,Maytenus guyanensis,Klotzsch ex Reissek,Guadeloupe
Celastraceae,Monteverdia laevigata,(Vahl) Biral,Guadeloupe
Celastraceae,Schaefferia frutescens,Jacq.,Guadeloupe
Chloranthaceae,Hedyosmum arborescens,Sw.,Guadeloupe
Chrysobalanaceae,Chrysobalanus cuspidatus,Griseb. ex Duss,Guadeloupe
Chrysobalanaceae,Chrysobalanus icaco,L.,Guadeloupe
Chrysobalanaceae,Hirtella pendula,Sol. ex Lam.,Guadeloupe
Chrysobalanaceae,Hirtella triandra,Sw.,Guadeloupe
Chrysobalanaceae,Licania ternatensis,Hook.f. ex Duss,Guadeloupe
Chrysobalanaceae,Moquilea leucosepala,(Griseb.) R.O.Williams,Guadeloupe
Clusiaceae,Clusia major,L.,Guadeloupe
Clusiaceae,Clusia mangle,Rich. ex Planch. & Triana,Guadeloupe
Clusiaceae,Garcinia humilis,(Vahl) C.D.Adams,Guadeloupe
Clusiaceae,Symphonia globulifera,L.f.,Guadeloupe
Combretaceae,Conocarpus erectus,L.,Guadeloupe
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Guadeloupe
Combretaceae,Terminalia buceras,(L.) C.Wright,Guadeloupe
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Guadeloupe
Cunoniaceae,Weinmannia pinnata,L.,Guadeloupe
Cyrillaceae,Cyrilla racemiflora,L.,Guadeloupe
Dichapetalaceae,Tapura latifolia,Benth.,Guadeloupe
Ebenaceae,Diospyros revoluta,Poir.,Guadeloupe
Elaeocarpaceae,Sloanea berteroana,Choisy ex DC.,Guadeloupe
Elaeocarpaceae,Sloanea dentata,L.,Guadeloupe
Erythroxylaceae,Erythroxylum havanense,Jacq.,Guadeloupe
Erythroxylaceae,Erythroxylum squamatum,Sw.,Guadeloupe
Euphorbiaceae,Actinostemon caribaeus,Griseb.,Guadeloupe
Euphorbiaceae,Argythamnia candicans,Sw.,Guadeloupe
Euphorbiaceae,Croton astroites,Aiton,Guadeloupe
Euphorbiaceae,Croton corylifolius,Lam.,Guadeloupe
Euphorbiaceae,Croton flavens,L.,Guadeloupe
Euphorbiaceae,Croton hircinus,Vent.,Guadeloupe
Euphorbiaceae,Euphorbia petiolaris,Sims,Guadeloupe
Euphorbiaceae,Gymnanthes hypoleuca,Benth.,Guadeloupe
Euphorbiaceae,Gymnanthes lucida,Sw.,Guadeloupe
Euphorbiaceae,Hippomane mancinella,L.,Guadeloupe
Euphorbiaceae,Hura crepitans,L.,Guadeloupe
Euphorbiaceae,Jatropha curcas,L.,Guadeloupe
Euphorbiaceae,Jatropha multifida,L.,Guadeloupe
Euphorbiaceae,Sapium glandulosum,(L.) Morong,Guadeloupe
Fabaceae,Acaciella glauca,(L.) L.Rico,Guadeloupe
Fabaceae,Andira inermis,(W.Wright) DC.,Guadeloupe
Fabaceae,Bauhinia multinervia,(Kunth) DC.,Guadeloupe
Fabaceae,Calliandra purpurea,(L.) Benth.,Guadeloupe
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Guadeloupe
Fabaceae,Dussia martinicensis,Krug & Urb.,Guadeloupe
Fabaceae,Erythrina corallodendron,L.,Guadeloupe
Fabaceae,Hymenaea courbaril,L.,Guadeloupe
Fabaceae,Inga ingoides,(Rich.) Willd.,Guadeloupe
Fabaceae,Inga laurina,(Sw.) Willd.,Guadeloupe
Fabaceae,Inga sastreana,"Acev.-Rodr., S.Carrington & T.D.Penn.",Guadeloupe
Fabaceae,Jupunba trapezifolia,"(Benth.) M.V.B.Soares, M.P.Morim & Iganci",Guadeloupe
Fabaceae,Lonchocarpus heptaphyllus,(Poir.) DC.,Guadeloupe
Fabaceae,Lonchocarpus violaceus,(Jacq.) Kunth ex DC.,Guadeloupe
Fabaceae,Ormosia krugii,Urb.,Guadeloupe
Fabaceae,Ormosia monosperma,(Sw.) Urb.,Guadeloupe
Fabaceae,Parasenegalia muricata,(L.) Seigler & Ebinger,Guadeloupe
Fabaceae,Parkinsonia aculeata,L.,Guadeloupe
Fabaceae,Piscidia carthagenensis,Jacq.,Guadeloupe
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Guadeloupe
Fabaceae,Pseudalbizzia niopoides,(Spruce ex Benth.) E.J.M.Koenen & Duno,Guadeloupe
Fabaceae,Pterocarpus officinalis,Jacq.,Guadeloupe
Fabaceae,Senegalia tamarindifolia,(L.) Britton & Rose,Guadeloupe
Fabaceae,Senegalia tenuifolia,(L.) Britton & Rose,Guadeloupe
Fabaceae,Senna angustisiliqua,(Lam.) H.S.Irwin & Barneby,Guadeloupe
Fabaceae,Senna atomaria,(L.) H.S.Irwin & Barneby,Guadeloupe
Fabaceae,Sophora tomentosa,L.,Guadeloupe
Fabaceae,Swartzia caribaea,Griseb.,Guadeloupe
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Guadeloupe
Fabaceae,Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Guadeloupe
Fabaceae,Vachellia tortuosa,(L.) Seigler & Ebinger,Guadeloupe
Heliotropiaceae,Tournefortia bicolor,Sw.,Guadeloupe
Hernandiaceae,Hernandia sonora,L.,Guadeloupe
Lamiaceae,Aegiphila martinicensis,Jacq.,Guadeloupe
Lamiaceae,Cornutia pyramidata,L.,Guadeloupe
Lamiaceae,Vitex divaricata,Sw.,Guadeloupe
Lauraceae,Aiouea montana,(Sw.) R.Rohde,Guadeloupe
Lauraceae,Aniba bracteata,(Nees) Mez,Guadeloupe
Lauraceae,Beilschmiedia pendula,(Sw.) Hemsl.,Guadeloupe
Lauraceae,Damburneya coriacea,(Sw.) Trofimov & Rohwer,Guadeloupe
Lauraceae,Damburneya patens,(Sw.) Trofimov,Guadeloupe
Lauraceae,Endlicheria sericea,Nees,Guadeloupe
Lauraceae,Licaria parvifolia,(Lam.) Kosterm.,Guadeloupe
Lauraceae,Licaria sericea,(Griseb.) Kosterm.,Guadeloupe
Lauraceae,Nectandra krugii,Mez,Guadeloupe
Lauraceae,Nectandra membranacea,(Sw.) Griseb.,Guadeloupe
Lauraceae,Ocotea aciphylla,(Nees & Mart.) Mez,Guadeloupe
Lauraceae,Ocotea alpina,R.A.Howard,Guadeloupe
Lauraceae,Ocotea dominicana,(Meisn.) R.A.Howard,Guadeloupe
Lauraceae,Ocotea dussii,Mez,Guadeloupe
Lauraceae,Ocotea eggersiana,Mez,Guadeloupe
Lauraceae,Ocotea falcata,Mez,Guadeloupe
Lauraceae,Ocotea floribunda,(Sw.) Mez,Guadeloupe
Lauraceae,Ocotea imrayana,Mez,Guadeloupe
Lauraceae,Ocotea jacquinii,(Meisn.) Mez,Guadeloupe
Lauraceae,Ocotea leptobotra,(Ruiz & Pav.) Mez,Guadeloupe
Lauraceae,Ocotea leucoxylon,(Sw.) Laness.,Guadeloupe
Lauraceae,Ocotea lherminieri,Mez,Guadeloupe
Lauraceae,Ocotea martinicensis,Mez,Guadeloupe
Lauraceae,Persea urbaniana,Mez,Guadeloupe
Magnoliaceae,Magnolia dodecapetala,(Lam.) Govaerts,Guadeloupe
Malpighiaceae,Bunchosia glandulosa,(Cav.) DC.,Guadeloupe
Malpighiaceae,Bunchosia polystachia,(Andrews) DC.,Guadeloupe
Malpighiaceae,Byrsonima lucida,(Mill.) DC.,Guadeloupe
Malpighiaceae,Byrsonima spicata,(Cav.) Rich. ex Kunth,Guadeloupe
Malpighiaceae,Byrsonima trinitensis,A.Juss.,Guadeloupe
Malvaceae,Ceiba pentandra,(L.) Gaertn.,Guadeloupe
Malvaceae,Guazuma ulmifolia,Lam.,Guadeloupe
Malvaceae,Hibiscus tiliaceus,L.,Guadeloupe
Malvaceae,Ochroma pyramidale,(Cav. ex Lam.) Urb.,Guadeloupe
Malvaceae,Pavonia spinifex,(L.) Cav.,Guadeloupe
Malvaceae,Quararibea turbinata,(Sw.) Poir.,Guadeloupe
Malvaceae,Sterculia caribaea,R.Br.,Guadeloupe
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Guadeloupe
Malvaceae,Triumfetta grandiflora,Vahl,Guadeloupe
Malvaceae,Triumfetta lappula,L.,Guadeloupe
Malvaceae,Triumfetta semitriloba,Jacq.,Guadeloupe
Malvaceae,Wercklea tulipiflora,(Hook.) Fryxell,Guadeloupe
Melastomataceae,Bellucia grossularioides,(L.) Triana,Guadeloupe
Melastomataceae,Bellucia pentamera,Naudin,Guadeloupe
Melastomataceae,Blakea pulverulenta,Vahl,Guadeloupe
Melastomataceae,Graffenrieda latifolia,(Naudin) Triana,Guadeloupe
Melastomataceae,Henriettea lateriflora,(Vahl) R.A.Howard & E.A.Kellogg,Guadeloupe
Melastomataceae,Miconia angustifolia,(Sw.) Griseb.,Guadeloupe
Melastomataceae,Miconia christophoriana,(Ham.) Judd & Majure,Guadeloupe
Melastomataceae,Miconia cooperi,(Cogn.) Michelang.,Guadeloupe
Melastomataceae,Miconia coriacea,(Sw.) DC.,Guadeloupe
Melastomataceae,Miconia furfuracea,(Vahl) Griseb.,Guadeloupe
Melastomataceae,Miconia impetiolaris,(Sw.) D. Don ex DC.,Guadeloupe
Melastomataceae,Miconia laevigata,(L.) D. Don,Guadeloupe
Melastomataceae,Miconia martinicensis,Cogn.,Guadeloupe
Melastomataceae,Miconia mirabilis,(Aubl.) L.O. Williams,Guadeloupe
Melastomataceae,Miconia prasina,(Sw.) DC.,Guadeloupe
Melastomataceae,Miconia sciaphila,Judd & Ionta,Guadeloupe
Melastomataceae,Miconia tetrandra,D.Don,Guadeloupe
Melastomataceae,Miconia trichotoma,(Desr.) DC.,Guadeloupe
Melastomataceae,Mouriri domingensis,(Tussac) Spach,Guadeloupe
Meliaceae,Carapa guianensis,Aubl.,Guadeloupe
Meliaceae,Cedrela odorata,L.,Guadeloupe
Meliaceae,Guarea glabra,Vahl,Guadeloupe
Meliaceae,Guarea macrophylla,Vahl,Guadeloupe
Meliaceae,Trichilia pallida,Sw.,Guadeloupe
Meliaceae,Trichilia septentrionalis,C.DC.,Guadeloupe
Moraceae,Ficus americana,Aubl.,Guadeloupe
Moraceae,Ficus citrifolia,Mill.,Guadeloupe
Moraceae,Ficus nymphaeifolia,Mill.,Guadeloupe
Moraceae,Ficus trigonata,L.,Guadeloupe
Myrtaceae,Blepharocalyx eggersii,(Kiaersk.) Landrum,Guadeloupe
Myrtaceae,Eugenia albicans,(O.Berg) Urb.,Guadeloupe
Myrtaceae,Eugenia axillaris,(Sw.) Willd.,Guadeloupe
Myrtaceae,Eugenia biflora,(L.) DC.,Guadeloupe
Myrtaceae,Eugenia chrysobalanoides,DC.,Guadeloupe
Myrtaceae,Eugenia coffeifolia,DC.,Guadeloupe
Myrtaceae,Eugenia confusa,DC.,Guadeloupe
Myrtaceae,Eugenia duchassaingiana,O.Berg,Guadeloupe
Myrtaceae,Eugenia hodgei,McVaugh,Guadeloupe
Myrtaceae,Eugenia lambertiana,DC.,Guadeloupe
Myrtaceae,Eugenia ligustrina,(Sw.) Willd.,Guadeloupe
Myrtaceae,Eugenia monticola,(Sw.) DC.,Guadeloupe
Myrtaceae,Eugenia octopleura,Krug & Urb.,Guadeloupe
Myrtaceae,Eugenia procera,(Sw.) Poir.,Guadeloupe
Myrtaceae,Eugenia pseudopsidium,Jacq.,Guadeloupe
Myrtaceae,Eugenia rhombea,(O.Berg) Krug & Urb.,Guadeloupe
Myrtaceae,Eugenia trinervia,Vahl,Guadeloupe
Myrtaceae,Myrcia antillana,McVaugh,Guadeloupe
Myrtaceae,Myrcia citrifolia,(Aubl.) Urb.,Guadeloupe
Myrtaceae,Myrcia deflexa,(Poir.) DC.,Guadeloupe
Myrtaceae,Myrcia fenzliana,O.Berg,Guadeloupe
Myrtaceae,Myrcia neoelegans,K.Campbell & K.Samra,Guadeloupe
Myrtaceae,Myrcia neoforsteri,A.R.Lourenço & E.Lucas,Guadeloupe
Myrtaceae,Myrcia platyclada,DC.,Guadeloupe
