family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Guam
Achariaceae,Pangium edule,Reinw.,Guam
Anacardiaceae,Mangifera odorata,Griff.,Guam
Anacardiaceae,Rhus taitensis,Guill.,Guam
Apocynaceae,Cerbera odollam,Gaertn.,Guam
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Guam
Arecaceae,Nypa fruticans,Wurmb,Guam
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,Guam
Cannabaceae,Trema orientale,(L.) Blume,Guam
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Guam
Combretaceae,Terminalia catappa,L.,Guam
Combretaceae,Terminalia samoensis,Rech.,Guam
Cycadaceae,Cycas micronesica,K.D.Hill,Guam
Elaeocarpaceae,Elaeocarpus joga,Merr.,Guam
Euphorbiaceae,Claoxylon marianum,Müll.Arg.,Guam
Euphorbiaceae,Macaranga thompsonii,Merr.,Guam
Euphorbiaceae,Melanolepis multiglandulosa,(Reinw. ex Blume) Rchb. & Zoll.,Guam
Fabaceae,Cynometra ramiflora,L.,Guam
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,Guam
Fabaceae,Intsia bijuga,(Colebr.) Kuntze,Guam
Fabaceae,Pterocarpus indicus,Willd.,Guam
Fabaceae,Schleinitzia fosbergii,Nevling & Niezgoda,Guam
Fabaceae,Serianthes nelsonii,Merr.        ,Guam
Hernandiaceae,Hernandia labyrinthica,Tuyama,Guam
Icacinaceae,Merrilliodendron megacarpum,(Hemsl.) Sleumer,Guam
Lamiaceae,Premna serratifolia,L.,Guam
Lamiaceae,Vitex glabrata,R.Br.,Guam
Lamiaceae,Vitex negundo,L.,Guam
Lamiaceae,Vitex trifolia,L.,Guam
Lecythidaceae,Barringtonia racemosa,(L.) Spreng.,Guam
Loganiaceae,Geniostoma rupestre,J.R.Forst. & G.Forst.,Guam
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Guam
Malvaceae,Grewia crenata,(J.R.Forst. & G.Forst.) Schinz & Guillaumin,Guam
Malvaceae,Heritiera littoralis,Aiton,Guam
Malvaceae,Heritiera longipetiolata,Kaneh.,Guam
Malvaceae,Hibiscus tiliaceus,L.,Guam
Malvaceae,Melochia villosissima,(C. Presl) Merr.,Guam
Meliaceae,Aglaia mariannensis,Merr.,Guam
Meliaceae,Xylocarpus granatum,J.Koenig,Guam
Moraceae,Artocarpus altilis,(Parkinson ex F.A.Zorn) Fosberg,Guam
Moraceae,Ficus microcarpa,L.f.,Guam
Moraceae,Ficus prolixa,G.Forst.,Guam
Myrtaceae,Eugenia reinwardtiana,(Blume) DC.,Guam
Myrtaceae,Myrtella bennigseniana,(Volkens) Diels,Guam
Myrtaceae,Syzygium thompsonii,(Merr.) N.Snow,Guam
Olacaceae,Ximenia americana,L.,Guam
Pandanaceae,Pandanus dubius,Spreng.,Guam
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Guam
Phyllanthaceae,Phyllanthus mariannensis,W.L.Wagner & Lorence,Guam
Primulaceae,Discocalyx ladronica,Mez,Guam
Primulaceae,Maesa walkeri,Fosberg & Sachet,Guam
Rhizophoraceae,Bruguiera gymnorhiza,(L.) Lam.,Guam
Rhizophoraceae,Rhizophora apiculata,Blume,Guam
Rhizophoraceae,Rhizophora stylosa,Griff.,Guam
Rubiaceae,Aidia racemosa,(Cav.) Tirveng.,Guam
Rubiaceae,Guettarda speciosa,L.,Guam
Rubiaceae,Gynochthodes umbellata,(L.) Razafim. & B.Bremer,Guam
Rubiaceae,Ixora triantha,Volkens,Guam
Rubiaceae,Psychotria hombroniana,(Baill.) Fosberg,Guam
Rubiaceae,Psychotria malaspinae,Merr.,Guam
Rubiaceae,Psydrax odorata,(G.Forst.) A.C.Sm. & S.P.Darwin,Guam
Sapindaceae,Allophylus holophyllus,Radlk.,Guam
Urticaceae,Dendrocnide latifolia,(Gaudich.) Chew,Guam
