family,taxon,author,native to
Acanthaceae,Aphelandra heydeana,Donn.Sm.,Guatemala
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,Guatemala
Acanthaceae,Aphelandra schiedeana,Schltdl. & Cham.,Guatemala
Acanthaceae,Aphelandra speciosa,Brandegee,Guatemala
Acanthaceae,Avicennia bicolor,Standl.,Guatemala
Acanthaceae,Avicennia germinans,(L.) L.,Guatemala
Acanthaceae,Bravaisia berlandieriana,(Nees) T.F.Daniel,Guatemala
Acanthaceae,Bravaisia grandiflora,Donn.Sm.,Guatemala
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,Guatemala
Acanthaceae,Justicia aurea,Schltdl.,Guatemala
Acanthaceae,Justicia eburnea,D.N.Gibson,Guatemala
Acanthaceae,Justicia kanal,T.F.Daniel,Guatemala
Acanthaceae,Justicia macrantha,Benth.,Guatemala
Acanthaceae,Justicia spicigera,Schltdl.,Guatemala
Acanthaceae,Louteridium donnell-smithii,S.Watson,Guatemala
Acanthaceae,Louteridium mexicanum,(Baill.) Standl.,Guatemala
Acanthaceae,Louteridium purpusii,Brandegee,Guatemala
Acanthaceae,Spathacanthus hahnianus,Baill.,Guatemala
Acanthaceae,Spathacanthus parviflorus,Leonard,Guatemala
Achariaceae,Carpotroche platyptera,Pittier,Guatemala
Achariaceae,Lindackeria laurina,C.Presl,Guatemala
Achatocarpaceae,Achatocarpus nigricans,Triana,Guatemala
Achatocarpaceae,Achatocarpus pubescens,C.H.Wright,Guatemala
Actinidiaceae,Saurauia angustifolia,Turcz.,Guatemala
Actinidiaceae,Saurauia aspera,Turcz.,Guatemala
Actinidiaceae,Saurauia conzattii,Buscal.,Guatemala
Actinidiaceae,Saurauia cuchumatanensis,Standl. & Steyerm.,Guatemala
Actinidiaceae,Saurauia kegeliana,Schltdl.,Guatemala
Actinidiaceae,Saurauia leucocarpa,Schltdl.,Guatemala
Actinidiaceae,Saurauia montana,Seem.,Guatemala
Actinidiaceae,Saurauia oreophila,Hemsl.,Guatemala
Actinidiaceae,Saurauia rubiformis,Vatke,Guatemala
Actinidiaceae,Saurauia scabrida,Hemsl.,Guatemala
