family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Guinea-Bissau
Achariaceae,Caloncoba gilgiana,(Sprague) Gilg,Guinea-Bissau
Achariaceae,Caloncoba glauca,(P.Beauv.) Gilg,Guinea-Bissau
Achariaceae,Scottellia leonensis,Oliv.,Guinea-Bissau
Anacardiaceae,Lannea acida,A.Rich.,Guinea-Bissau
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Guinea-Bissau
Anacardiaceae,Lannea velutina,A.Rich.,Guinea-Bissau
Anacardiaceae,Ozoroa insignis,Delile,Guinea-Bissau
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Guinea-Bissau
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Guinea-Bissau
Anisophylleaceae,Anisophyllea laurina,R.Br. ex Sabine,Guinea-Bissau
Annonaceae,Annona glabra,L.,Guinea-Bissau
Annonaceae,Annona senegalensis,Pers.,Guinea-Bissau
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Guinea-Bissau
Annonaceae,Hexalobus crispiflorus,A.Rich.,Guinea-Bissau
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Guinea-Bissau
Annonaceae,Mischogyne elliotiana,(Engl. & Diels) R.E.Fr. ex Le Thomas,Guinea-Bissau
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Guinea-Bissau
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Guinea-Bissau
Annonaceae,Monodora tenuifolia,Benth.,Guinea-Bissau
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Guinea-Bissau
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Guinea-Bissau
Annonaceae,Xylopia elliotii,Pierre ex Engl. & Diels,Guinea-Bissau
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Guinea-Bissau
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Guinea-Bissau
Apocynaceae,Alstonia boonei,De Wild.,Guinea-Bissau
Apocynaceae,Alstonia congensis,Engl.,Guinea-Bissau
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Guinea-Bissau
Apocynaceae,Carissa spinarum,L.,Guinea-Bissau
Apocynaceae,Funtumia africana,(Benth.) Stapf,Guinea-Bissau
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Guinea-Bissau
Apocynaceae,Hunteria umbellata,(K.Schum.) Hallier f.,Guinea-Bissau
Apocynaceae,Pleiocarpa pycnantha,(K.Schum.) Stapf,Guinea-Bissau
Apocynaceae,Rauvolfia vomitoria,Afzel.,Guinea-Bissau
Apocynaceae,Tabernaemontana africana,Hook.,Guinea-Bissau
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Guinea-Bissau
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Guinea-Bissau
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Guinea-Bissau
Arecaceae,Borassus aethiopum,Mart.,Guinea-Bissau
Arecaceae,Borassus akeassii,"Bayton, Ouédr. & Guinko",Guinea-Bissau
Arecaceae,Elaeis guineensis,Jacq.,Guinea-Bissau
Arecaceae,Hyphaene guineensis,Schumach. & Thonn.,Guinea-Bissau
Arecaceae,Hyphaene thebaica,(L.) Mart.,Guinea-Bissau
Arecaceae,Phoenix reclinata,Jacq.,Guinea-Bissau
Arecaceae,Raphia palma-pinus,(Gaertn.) Hutch.,Guinea-Bissau
Asparagaceae,Dracaena mannii,Baker,Guinea-Bissau
Asteraceae,Gymnanthemum coloratum,(Willd.) H.Rob. & B.Kahn,Guinea-Bissau
Bignoniaceae,Markhamia tomentosa,(Benth.) K.Schum. ex Engl.,Guinea-Bissau
Bignoniaceae,Newbouldia laevis,(P.Beauv.) Seem. ex Bureau,Guinea-Bissau
Bignoniaceae,Spathodea campanulata,P.Beauv.,Guinea-Bissau
Bignoniaceae,Stereospermum acuminatissimum,K.Schum.,Guinea-Bissau
Bignoniaceae,Stereospermum kunthianum,Cham.,Guinea-Bissau
Burseraceae,Canarium schweinfurthii,Engl.,Guinea-Bissau
Cannabaceae,Trema orientale,(L.) Blume,Guinea-Bissau
Capparaceae,Boscia angustifolia,A.Rich.,Guinea-Bissau
Capparaceae,Buchholzia coriacea,Engl.,Guinea-Bissau
Capparaceae,Crateva adansonii,DC.,Guinea-Bissau
Capparaceae,Maerua duchesnei,(De Wild.) F.White,Guinea-Bissau
Capparaceae,Ritchiea capparoides,(Andrews) Britten,Guinea-Bissau
Cardiopteridaceae,Leptaulus daphnoides,Benth.,Guinea-Bissau
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Guinea-Bissau
Chrysobalanaceae,Chrysobalanus icaco,L.,Guinea-Bissau
Chrysobalanaceae,Neocarya macrophylla,(Sabine) Prance ex F.White,Guinea-Bissau
Chrysobalanaceae,Parinari congensis,Didr.,Guinea-Bissau
Chrysobalanaceae,Parinari curatellifolia,Planch. ex Benth.,Guinea-Bissau
Chrysobalanaceae,Parinari excelsa,Sabine,Guinea-Bissau
Clusiaceae,Garcinia livingstonei,T.Anderson,Guinea-Bissau
Clusiaceae,Garcinia smeathmanii,(Planch. & Triana) Oliv.,Guinea-Bissau
Clusiaceae,Pentadesma butyracea,Sabine,Guinea-Bissau
Combretaceae,Combretum adenogonium,Steud. ex A.Rich.,Guinea-Bissau
Combretaceae,Combretum glutinosum,Perr. ex DC.,Guinea-Bissau
Combretaceae,Combretum micranthum,G.Don,Guinea-Bissau
Combretaceae,Combretum molle,R.Br. ex G.Don,Guinea-Bissau
Combretaceae,Combretum nigricans,Lepr. ex Guill. & Perr.,Guinea-Bissau
Combretaceae,Conocarpus erectus,L.,Guinea-Bissau
Combretaceae,Guiera senegalensis,J.F.Gmel.,Guinea-Bissau
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Guinea-Bissau
Combretaceae,Terminalia avicennioides,Guill. & Perr.,Guinea-Bissau
Combretaceae,Terminalia engleri,Gere & Boatwr.,Guinea-Bissau
Combretaceae,Terminalia laxiflora,Engl.,Guinea-Bissau
Combretaceae,Terminalia macroptera,Guill. & Perr.,Guinea-Bissau
Combretaceae,Terminalia scutifera,Planch. ex M.A.Lawson,Guinea-Bissau
Connaraceae,Rourea thomsonii,(Baker) Jongkind,Guinea-Bissau
Dichapetalaceae,Dichapetalum heudelotii,(Planch. ex Oliv.) Baill.,Guinea-Bissau
Dichapetalaceae,Dichapetalum madagascariense,Poir.,Guinea-Bissau
Ebenaceae,Diospyros elliotii,(Hiern) F.White,Guinea-Bissau
Ebenaceae,Diospyros ferrea,(Willd.) Bakh.,Guinea-Bissau
Ebenaceae,Diospyros heudelotii,Hiern,Guinea-Bissau
Euphorbiaceae,Alchornea cordifolia,(Schumach. & Thonn.) Müll.Arg.,Guinea-Bissau
Euphorbiaceae,Alchornea hirtella,Benth.,Guinea-Bissau
Euphorbiaceae,Anthostema senegalense,A.Juss.,Guinea-Bissau
Euphorbiaceae,Euphorbia drupifera,Thonn.,Guinea-Bissau
Euphorbiaceae,Euphorbia grandifolia,Haw.,Guinea-Bissau
Euphorbiaceae,Euphorbia kamerunica,Pax,Guinea-Bissau
Euphorbiaceae,Macaranga heterophylla,(Müll.Arg.) Müll.Arg.,Guinea-Bissau
