family,taxon,author,native to
Acanthaceae,Anisotes guineensis,Lindau,Guinea
Acanthaceae,Avicennia germinans,(L.) L.,Guinea
Achariaceae,Caloncoba brevipes,(Stapf) Gilg,Guinea
Achariaceae,Caloncoba echinata,(Oliv.) Gilg,Guinea
Achariaceae,Caloncoba gilgiana,(Sprague) Gilg,Guinea
Achariaceae,Dasylepis racemosa,Oliv.,Guinea
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Guinea
Achariaceae,Scottellia klaineana,Pierre,Guinea
Achariaceae,Scottellia leonensis,Oliv.,Guinea
Anacardiaceae,Antrocaryon micraster,A.Chev. & Guillaumin,Guinea
Anacardiaceae,Fegimanra afzelii,Engl.,Guinea
Anacardiaceae,Lannea acida,A.Rich.,Guinea
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Guinea
Anacardiaceae,Lannea microcarpa,Engl. & K.Krause,Guinea
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Guinea
Anacardiaceae,Lannea velutina,A.Rich.,Guinea
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Guinea
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Guinea
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Guinea
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Guinea
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Guinea
Anacardiaceae,Sorindeia grandifolia,Engl.,Guinea
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Guinea
Anacardiaceae,Trichoscypha arborea,(A.Chev.) A.Chev.,Guinea
Anacardiaceae,Trichoscypha baldwinii,Keay,Guinea
Anacardiaceae,Trichoscypha barbata,Breteler,Guinea
Anacardiaceae,Trichoscypha bijuga,Engl.,Guinea
Anacardiaceae,Trichoscypha longifolia,(Hook.f.) Engl.,Guinea
Anacardiaceae,Trichoscypha lucens,Oliv.,Guinea
Anacardiaceae,Trichoscypha smythei,Hutch. & Dalziel,Guinea
Anisophylleaceae,Anisophyllea laurina,R.Br. ex Sabine,Guinea
Anisophylleaceae,Anisophyllea meniaudii,Aubrév. & Pellegr.,Guinea
Annonaceae,Annickia polycarpa,(DC.) Setten & Maas ex I.M.Turner,Guinea
Annonaceae,Annona glabra,L.,Guinea
Annonaceae,Annona senegalensis,Pers.,Guinea
Annonaceae,Brieya fasciculata,De Wild.,Guinea
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Guinea
Annonaceae,Greenwayodendron oliveri,(Engl.) Verdc.,Guinea
Annonaceae,Hexalobus crispiflorus,A.Rich.,Guinea
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Guinea
Annonaceae,Mischogyne elliotiana,(Engl. & Diels) R.E.Fr. ex Le Thomas,Guinea
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Guinea
Annonaceae,Monodora crispata,Engl.,Guinea
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Guinea
Annonaceae,Monodora tenuifolia,Benth.,Guinea
Annonaceae,Monodora undulata,(P.Beauv.) Couvreur,Guinea
Annonaceae,Polyceratocarpus parviflorus,(Baker f.) Ghesq.,Guinea
Annonaceae,Uvaria afzelii,Scott Elliot,Guinea
Annonaceae,Uvaria sofa,Scott Elliot,Guinea
Annonaceae,Uvariastrum pierreanum,Engl.,Guinea
Annonaceae,Uvariopsis guineensis,Keay,Guinea
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Guinea
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Guinea
Annonaceae,Xylopia elliotii,Pierre ex Engl. & Diels,Guinea
Annonaceae,Xylopia letestui,Pellegr.,Guinea
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Guinea
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Guinea
Annonaceae,Xylopia rubescens,Oliv.,Guinea
Annonaceae,Xylopia staudtii,Engl. & Diels,Guinea
Annonaceae,Xylopia villosa,Chipp,Guinea
Apiaceae,Steganotaenia araliacea,Hochst.,Guinea
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Guinea
Apocynaceae,Alstonia boonei,De Wild.,Guinea
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Guinea
Apocynaceae,Carissa spinarum,L.,Guinea
Apocynaceae,Funtumia africana,(Benth.) Stapf,Guinea
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Guinea
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Guinea
Apocynaceae,Hunteria simii,(Stapf) H.Huber,Guinea
Apocynaceae,Hunteria umbellata,(K.Schum.) Hallier f.,Guinea
Apocynaceae,Malouetia heudelotii,A.DC.,Guinea
Apocynaceae,Pleioceras afzelii,(K.Schum.) Stapf,Guinea
Apocynaceae,Rauvolfia vomitoria,Afzel.,Guinea
Apocynaceae,Tabernaemontana africana,Hook.,Guinea
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Guinea
Apocynaceae,Voacanga bracteata,Stapf,Guinea
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Guinea
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Guinea
Araliaceae,Astropanax barteri,Seem.,Guinea
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Guinea
Araliaceae,Polyscias fulva,(Hiern) Harms,Guinea
Arecaceae,Borassus aethiopum,Mart.,Guinea
Arecaceae,Phoenix reclinata,Jacq.,Guinea
Arecaceae,Raphia farinifera,(Gaertn.) Hyl.,Guinea
Arecaceae,Raphia hookeri,G.Mann & H.Wendl.,Guinea
Arecaceae,Raphia longiflora,G.Mann & H.Wendl.,Guinea
Arecaceae,Raphia palma-pinus,(Gaertn.) Hutch.,Guinea
Arecaceae,Raphia sudanica,A.Chev.,Guinea
Asparagaceae,Dracaena arborea,(Willd.) Link,Guinea
Asparagaceae,Dracaena fragrans,(L.) Ker Gawl.,Guinea
Asparagaceae,Dracaena mannii,Baker,Guinea
Asteraceae,Brenandendron donianum,(DC.) H.Rob.,Guinea
Asteraceae,Brenandendron frondosum,(Oliv. & Hiern) H.Rob.,Guinea
Asteraceae,Brenandendron titanophyllum,(Brenan) H.Rob.,Guinea
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Guinea
Asteraceae,Gymnanthemum coloratum,(Willd.) H.Rob. & B.Kahn,Guinea
Asteraceae,Gymnanthemum myrianthum,(Hook.f.) H.Rob.,Guinea
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Guinea
Bignoniaceae,Markhamia tomentosa,(Benth.) K.Schum. ex Engl.,Guinea
Bignoniaceae,Newbouldia laevis,(P.Beauv.) Seem. ex Bureau,Guinea
Bignoniaceae,Spathodea campanulata,P.Beauv.,Guinea
Bignoniaceae,Stereospermum acuminatissimum,K.Schum.,Guinea
Bignoniaceae,Stereospermum kunthianum,Cham.,Guinea
Boraginaceae,Cordia africana,Lam.,Guinea
Boraginaceae,Cordia millenii,Baker,Guinea
Boraginaceae,Ehretia cymosa,Thonn.,Guinea
Burseraceae,Canarium schweinfurthii,Engl.,Guinea
Burseraceae,Dacryodes klaineana,(Pierre) H.J.Lam,Guinea
Burseraceae,Santiria trimera,(Oliv.) Aubrév.,Guinea
Calophyllaceae,Mammea africana,Sabine,Guinea
Cannabaceae,Celtis africana,Burm.f.,Guinea
Cannabaceae,Celtis mildbraedii,Engl.,Guinea
Cannabaceae,Celtis philippensis,Blanco,Guinea
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Guinea
Cannabaceae,Celtis zenkeri,Engl.,Guinea
Cannabaceae,Trema orientale,(L.) Blume,Guinea
Capparaceae,Boscia angustifolia,A.Rich.,Guinea
Capparaceae,Boscia senegalensis,Lam.,Guinea
Capparaceae,Buchholzia coriacea,Engl.,Guinea
Capparaceae,Crateva adansonii,DC.,Guinea
Capparaceae,Crateva eminens,(Hook.f.) Christenh. & Byng,Guinea
Capparaceae,Crateva monticola,(Gilg & Gilg-Ben.) Christenh. & Byng,Guinea
Cardiopteridaceae,Leptaulus daphnoides,Benth.,Guinea
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Guinea
Celastraceae,Maytenus undata,(Thunb.) Blakelock,Guinea
Celastraceae,Salacia lehmbachii,Loes.,Guinea
Celastraceae,Salacia pallescens,Oliv.,Guinea
Celastraceae,Salacia pyriformis,(Sabine) Steud.,Guinea
Chrysobalanaceae,Afrolicania elaeosperma,Mildbr.,Guinea
Chrysobalanaceae,Bafodeya benna,(Scott Elliot) Prance ex F.White,Guinea
Chrysobalanaceae,Chrysobalanus icaco,L.,Guinea
Chrysobalanaceae,Dactyladenia barteri,(Hook.f. ex Oliv.) Prance & F.White,Guinea
Chrysobalanaceae,Dactyladenia scabrifolia,(Hua) Prance & F.White,Guinea
Chrysobalanaceae,Dactyladenia smeathmannii,(Baill.) Prance & F.White,Guinea
Chrysobalanaceae,Dactyladenia whytei,(Stapf) Prance & F.White,Guinea
Chrysobalanaceae,Magnistipula zenkeri,Engl.,Guinea
Chrysobalanaceae,Maranthes glabra,(Oliv.) Prance,Guinea
Chrysobalanaceae,Neocarya macrophylla,(Sabine) Prance ex F.White,Guinea
Chrysobalanaceae,Parinari congensis,Didr.,Guinea
Chrysobalanaceae,Parinari curatellifolia,Planch. ex Benth.,Guinea
Chrysobalanaceae,Parinari excelsa,Sabine,Guinea
Clusiaceae,Allanblackia floribunda,Oliv.,Guinea
Clusiaceae,Allanblackia parviflora,A.Chev.,Guinea
Clusiaceae,Garcinia afzelii,Engl.,Guinea
Clusiaceae,Garcinia livingstonei,T.Anderson,Guinea
Clusiaceae,Garcinia ovalifolia,Oliv.,Guinea
Clusiaceae,Garcinia quadrifaria,(Oliv.) Baill. ex Pierre,Guinea
Clusiaceae,Garcinia smeathmanii,(Planch. & Triana) Oliv.,Guinea
Clusiaceae,Pentadesma butyracea,Sabine,Guinea
Combretaceae,Combretum adenogonium,Steud. ex A.Rich.,Guinea
