family,taxon,author,native to
Acanthaceae,Aphelandra pulcherrima,(Jacq.) Kunth,Guyana
Acanthaceae,Avicennia germinans,(L.) L.,Guyana
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Guyana
Acanthaceae,Trichanthera gigantea,(Bonpl.) Nees,Guyana
Achariaceae,Carpotroche longifolia,(Poepp.) Benth.,Guyana
Achariaceae,Carpotroche surinamensis,Uittien,Guyana
Achariaceae,Lindackeria paludosa,(Benth.) Gilg,Guyana
Achariaceae,Mayna odorata,Aubl.,Guyana
Anacardiaceae,Anacardium fruticosum,J.Mitch. & S.A.Mori,Guyana
Anacardiaceae,Anacardium giganteum,Hancock ex Engl.,Guyana
Anacardiaceae,Anacardium occidentale,L.,Guyana
Anacardiaceae,Anacardium spruceanum,Benth. ex Engl.,Guyana
Anacardiaceae,Astronium fraxinifolium,Schott,Guyana
Anacardiaceae,Astronium ulei,Mattick,Guyana
Anacardiaceae,Cyrtocarpa velutinifolia,(R.S.Cowan) J.D.Mitch. & Daly,Guyana
Anacardiaceae,Loxopterygium sagotii,Hook.f.,Guyana
Anacardiaceae,Spondias mombin,L.,Guyana
Anacardiaceae,Spondias purpurea,L.,Guyana
Anacardiaceae,Tapirira guianensis,Aubl.,Guyana
Anacardiaceae,Tapirira obtusa,(Benth.) J.D.Mitch.,Guyana
Anacardiaceae,Thyrsodium spruceanum,Benth.,Guyana
Anisophylleaceae,Anisophyllea guianensis,Sandwith,Guyana
Annonaceae,Anaxagorea acuminata,(Dunal) A.St.-Hil. ex A.DC.,Guyana
Annonaceae,Anaxagorea brevipes,Benth.,Guyana
Annonaceae,Anaxagorea dolichocarpa,Sprague & Sandwith,Guyana
Annonaceae,Anaxagorea petiolata,R.E.Fr.,Guyana
Annonaceae,Anaxagorea prinoides,(Dunal) A.St.-Hil.,Guyana
Annonaceae,Annona ambotay,Aubl.,Guyana
Annonaceae,Annona atabapensis,Kunth,Guyana
Annonaceae,Annona cuspidata,(Mart.) H.Rainer,Guyana
Annonaceae,Annona densicoma,Mart.,Guyana
Annonaceae,Annona echinata,Dunal,Guyana
Annonaceae,Annona exsucca,DC.,Guyana
Annonaceae,Annona glabra,L.,Guyana
Annonaceae,Annona hypoglauca,Mart.,Guyana
Annonaceae,Annona montana,Macfad.,Guyana
Annonaceae,Annona mucosa,Jacq.,Guyana
Annonaceae,Annona muricata,L.,Guyana
Annonaceae,Annona paludosa,Aubl.,Guyana
Annonaceae,Annona sericea,Dunal,Guyana
Annonaceae,Annona symphyocarpa,Sandwith,Guyana
Annonaceae,Bocageopsis multiflora,(Mart.) R.E.Fr.,Guyana
Annonaceae,Cardiopetalum surinamense,R.E.Fr.,Guyana
Annonaceae,Cymbopetalum brasiliense,(Vell.) Benth. ex Baill.,Guyana
Annonaceae,Duguetia cadaverica,Huber,Guyana
Annonaceae,Duguetia calycina,Benoist,Guyana
Annonaceae,Duguetia cauliflora,R.E.Fr.,Guyana
Annonaceae,Duguetia chrysea,Maas,Guyana
Annonaceae,Duguetia decurrens,R.E.Fr.,Guyana
Annonaceae,Duguetia granvilleana,Maas,Guyana
Annonaceae,Duguetia guianensis,R.E.Fr.,Guyana
Annonaceae,Duguetia inconspicua,Sagot,Guyana
Annonaceae,Duguetia lucida,Urb.,Guyana
Annonaceae,Duguetia macrocalyx,R.E.Fr.,Guyana
Annonaceae,Duguetia megalophylla,R.E.Fr.,Guyana
Annonaceae,Duguetia neglecta,Sandwith,Guyana
