family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Haiti
Acanthaceae,Samuelssonia verrucosa,Urb. & Ekman,Haiti
Anacardiaceae,Comocladia cuneata,Britton,Haiti
Anacardiaceae,Comocladia dentata,Jacq.,Haiti
Anacardiaceae,Comocladia dodonaea,(L.) Britton,Haiti
Anacardiaceae,Comocladia domingensis,Britton,Haiti
Anacardiaceae,Comocladia mollifolia,Ekman & Helwig,Haiti
Anacardiaceae,Comocladia pinnatifolia,L.,Haiti
Anacardiaceae,Comocladia pubescens,Engl.,Haiti
Anacardiaceae,Metopium brownei,(Jacq.) Urb.,Haiti
Anacardiaceae,Metopium toxiferum,(L.) Krug & Urb.,Haiti
Anacardiaceae,Spondias mombin,L.,Haiti
Annonaceae,Annona glabra,L.,Haiti
Annonaceae,Annona montana,Macfad.,Haiti
Annonaceae,Annona mucosa,Jacq.,Haiti
Annonaceae,Annona reticulata,L.,Haiti
Annonaceae,Annona rosei,Saff.,Haiti
Annonaceae,Annona salicifolia,Ekman & R.E.Fr.,Haiti
Annonaceae,Annona urbaniana,R.E.Fr.,Haiti
Annonaceae,Guatteria blainii,(Griseb.) Urb.,Haiti
Annonaceae,Oxandra lanceolata,(Sw.) Baill.,Haiti
Annonaceae,Oxandra laurifolia,(Sw.) A.Rich.,Haiti
Apocynaceae,Aspidosperma cuspa,(Kunth) S.F.Blake ex Pittier,Haiti
Apocynaceae,Cameraria latifolia,L.,Haiti
Apocynaceae,Cameraria linearifolia,Urb. & Ekman,Haiti
Apocynaceae,Plumeria obtusa,L.,Haiti
Apocynaceae,Plumeria subsessilis,A.DC.,Haiti
Apocynaceae,Plumeria trouinensis,Urb. & Ekman,Haiti
Apocynaceae,Plumeria tuberculata,G.Lodd.,Haiti
Apocynaceae,Rauvolfia biauriculata,Müll.Arg.,Haiti
Apocynaceae,Rauvolfia nitida,Jacq.,Haiti
Apocynaceae,Rauvolfia tetraphylla,L.,Haiti
Apocynaceae,Tabernaemontana amygdalifolia,Jacq.,Haiti
Apocynaceae,Tabernaemontana citrifolia,L.,Haiti
Apocynaceae,Vallesia montana,Urb.,Haiti
Aquifoliaceae,Ilex berteroi,Loes.,Haiti
Aquifoliaceae,Ilex blancheana,Judd,Haiti
Aquifoliaceae,Ilex fuertensiana,(Loes.) T.R.Dudley,Haiti
Aquifoliaceae,Ilex guianensis,(Aubl.) Kuntze,Haiti
Aquifoliaceae,Ilex krugiana,Loes.,Haiti
