family,taxon,author,native to
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,Honduras
Acanthaceae,Aphelandra schiedeana,Schltdl. & Cham.,Honduras
Acanthaceae,Avicennia bicolor,Standl.,Honduras
Acanthaceae,Avicennia germinans,(L.) L.,Honduras
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,Honduras
Acanthaceae,Justicia aurea,Schltdl.,Honduras
Acanthaceae,Justicia macrantha,Benth.,Honduras
Acanthaceae,Justicia spicigera,Schltdl.,Honduras
Acanthaceae,Louteridium donnell-smithii,S.Watson,Honduras
Acanthaceae,Spathacanthus hahnianus,Baill.,Honduras
Achariaceae,Carpotroche platyptera,Pittier,Honduras
Achariaceae,Lindackeria laurina,C.Presl,Honduras
Achariaceae,Mayna odorata,Aubl.,Honduras
Achatocarpaceae,Achatocarpus nigricans,Triana,Honduras
Achatocarpaceae,Achatocarpus pubescens,C.H.Wright,Honduras
Actinidiaceae,Saurauia angustifolia,Turcz.,Honduras
Actinidiaceae,Saurauia aspera,Turcz.,Honduras
Actinidiaceae,Saurauia conzattii,Buscal.,Honduras
Actinidiaceae,Saurauia kegeliana,Schltdl.,Honduras
Actinidiaceae,Saurauia leucocarpa,Schltdl.,Honduras
Actinidiaceae,Saurauia molinae,Soejarto,Honduras
Actinidiaceae,Saurauia montana,Seem.,Honduras
Actinidiaceae,Saurauia oreophila,Hemsl.,Honduras
Actinidiaceae,Saurauia rubiformis,Vatke,Honduras
Actinidiaceae,Saurauia scabrida,Hemsl.,Honduras
Actinidiaceae,Saurauia selerorum,Buscal.,Honduras
Actinidiaceae,Saurauia waldheimii,Buscal.,Honduras
Actinidiaceae,Saurauia yasicae,Loes.,Honduras
Actinidiaceae,Saurauia zahlbruckneri,Buscal.,Honduras
Altingiaceae,Liquidambar styraciflua,L.,Honduras
Anacardiaceae,Amphipterygium adstringens,(Schltdl.) Standl.,Honduras
Anacardiaceae,Anacardium excelsum,(Bertero ex Kunth) Skeels,Honduras
Anacardiaceae,Astronium graveolens,Jacq.,Honduras
Anacardiaceae,Campnosperma panamense,Standl.,Honduras
Anacardiaceae,Metopium brownei,(Jacq.) Urb.,Honduras
Anacardiaceae,Mosquitoxylum jamaicense,Krug & Urb.,Honduras
Anacardiaceae,Rhus terebinthifolia,Schltdl. & Cham.,Honduras
Anacardiaceae,Spondias mombin,L.,Honduras
Anacardiaceae,Spondias radlkoferi,Donn.Sm.,Honduras
Anacardiaceae,Tapirira guianensis,Aubl.,Honduras
Anacardiaceae,Tapirira mexicana,Marchand,Honduras
Anacardiaceae,Toxicodendron striatum,(Ruiz & Pav.) Kuntze,Honduras
Annonaceae,Anaxagorea crassipetala,Hemsl.,Honduras
Annonaceae,Anaxagorea guatemalensis,Standl.,Honduras
Annonaceae,Anaxagorea phaeocarpa,Mart.,Honduras
Annonaceae,Annona cherimola,Mill.,Honduras
Annonaceae,Annona glabra,L.,Honduras
Annonaceae,Annona holosericea,Saff.,Honduras
Annonaceae,Annona liebmanniana,Baill.,Honduras
Annonaceae,Annona montana,Macfad.,Honduras
Annonaceae,Annona mucosa,Jacq.,Honduras
Annonaceae,Annona papilionella,(Diels) H.Rainer,Honduras
