family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Hungary
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Hungary
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Hungary
Betulaceae,Alnus incana,(L.) Moench,Hungary
Betulaceae,Betula pendula,Roth,Hungary
Betulaceae,Betula pubescens,Ehrh.,Hungary
Betulaceae,Carpinus betulus,L.,Hungary
Betulaceae,Carpinus orientalis,Mill.,Hungary
Betulaceae,Corylus avellana,L.,Hungary
Celastraceae,Euonymus europaeus,L.,Hungary
Cornaceae,Cornus mas,L.,Hungary
Cupressaceae,Juniperus communis,L.,Hungary
Elaeagnaceae,Hippophae rhamnoides,L.,Hungary
Fabaceae,Laburnum anagyroides,Medik.,Hungary
Fagaceae,Fagus sylvatica,L.,Hungary
Fagaceae,Quercus cerris,L.,Hungary
Fagaceae,Quercus frainetto,Ten.,Hungary
Fagaceae,Quercus petraea,(Matt.) Liebl.,Hungary
Fagaceae,Quercus pubescens,Willd.,Hungary
Fagaceae,Quercus robur,L.,Hungary
Malvaceae,Tilia cordata,Mill.,Hungary
Malvaceae,Tilia platyphyllos,Scop.,Hungary
Malvaceae,Tilia tomentosa,Moench,Hungary
Oleaceae,Fraxinus angustifolia,Vahl,Hungary
Oleaceae,Fraxinus excelsior,L.,Hungary
Oleaceae,Fraxinus ornus,L.,Hungary
Pinaceae,Abies alba,Mill.,Hungary
Pinaceae,Picea abies,(L.) H.Karst.,Hungary
Pinaceae,Pinus sylvestris,L.,Hungary
Rhamnaceae,Frangula alnus,Mill.,Hungary
Rhamnaceae,Rhamnus cathartica,L.,Hungary
Rosaceae,Crataegus laevigata,(Poir.) DC.,Hungary
Rosaceae,Crataegus monogyna,Jacq.,Hungary
Rosaceae,Crataegus nigra,Waldst. & Kit.      ,Hungary
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Hungary
Rosaceae,Crataegus rhipidophylla,Gand.,Hungary
Rosaceae,Malus dasyphylla,Borkh.,Hungary
Rosaceae,Malus sylvestris,(L.) Mill.,Hungary
Rosaceae,Prunus avium,(L.) L.,Hungary
