family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,India
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,India
Acanthaceae,Avicennia officinalis,L.,India
Achariaceae,Gynocardia odorata,R.Br.,India
Achariaceae,Hydnocarpus alpinus,Wight,India
Achariaceae,Hydnocarpus castaneus,Hook.f. & Thomson,India
Achariaceae,Hydnocarpus kurzii,(King) Warb.,India
Achariaceae,Hydnocarpus macrocarpus,(Bedd.) Warb.,India
Achariaceae,Hydnocarpus pendulus,"Manilal, T.Sabu & Sivar.",India
Achariaceae,Hydnocarpus pentandrus,(Buch.-Ham.) Oken,India
Achariaceae,Pangium edule,Reinw.,India
Achariaceae,Ryparosa javanica,Koord. & Valeton,India
Actinidiaceae,Saurauia armata,Kurz,India
Actinidiaceae,Saurauia cerea,Griff. ex Dyer,India
Actinidiaceae,Saurauia griffithii,Dyer,India
Actinidiaceae,Saurauia macrotricha,Kurz,India
Actinidiaceae,Saurauia napaulensis,DC.,India
Actinidiaceae,Saurauia roxburghii,Wall.,India
Actinidiaceae,Saurauia subspinosa,J.Anthony,India
Actinidiaceae,Saurauia tristyla,DC.,India
Altingiaceae,Liquidambar excelsa,(Noronha) Oken,India
Anacardiaceae,Bouea macrophylla,Griff.,India
Anacardiaceae,Bouea oppositifolia,(Roxb.) Meisn.,India
Anacardiaceae,Buchanania arborescens,(Blume) Blume,India
Anacardiaceae,Buchanania axillaris,(Desr.) Ramamoorthy,India
Anacardiaceae,Buchanania barberi,Gamble,India
Anacardiaceae,Buchanania ferruginea,Engl.,India
Anacardiaceae,Buchanania glabra,Wall. ex Engl.,India
Anacardiaceae,Buchanania lanceolata,Wight,India
Anacardiaceae,Buchanania lancifolia,Roxb.,India
Anacardiaceae,Buchanania lanzan,Spreng.,India
Anacardiaceae,Buchanania sessifolia,Blume,India
Anacardiaceae,Buchanania splendens,Miq.,India
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,India
Anacardiaceae,Cotinus coggygria,Scop.,India
Anacardiaceae,Cotinus kanaka,(R.N.De) D.Chandra,India
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,India
Anacardiaceae,Drimycarpus racemosus,(Roxb.) Hook.f. ex Marchand.,India
Anacardiaceae,Gluta longipetiolata,Kurz,India
Anacardiaceae,Gluta tavoyana,Hook.f.,India
Anacardiaceae,Gluta travancorica,Bedd.,India
Anacardiaceae,Gluta usitata,(Wall.) Ding Hou,India
Anacardiaceae,Holigarna arnottiana,Hook.f.,India
Anacardiaceae,Holigarna beddomei,Hook.f.,India
Anacardiaceae,Holigarna caustica,(Dennst.) Oken,India
Anacardiaceae,Holigarna ferruginea,Marchand,India
Anacardiaceae,Holigarna grahamii,(Wight) Kurz,India
Anacardiaceae,Holigarna kurzii,King,India
Anacardiaceae,Holigarna nigra,Bourd.,India
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,India
Anacardiaceae,Mangifera acutigemma,Kosterm.,India
Anacardiaceae,Mangifera andamanica,King,India
Anacardiaceae,Mangifera applanata,Kosterm,India
Anacardiaceae,Mangifera austroindica,Kosterm.,India
Anacardiaceae,Mangifera camptosperma,Pierre,India
Anacardiaceae,Mangifera indica,L.,India
Anacardiaceae,Mangifera nicobarica,Kosterm.,India
Anacardiaceae,Mangifera sylvatica,Roxb.,India
Anacardiaceae,Nothopegia aureofulva,Bedd. ex Hook.f.,India
Anacardiaceae,Nothopegia beddomei,Gamble,India
Anacardiaceae,Nothopegia castaneifolia,(Roth) Ding Hou,India
Anacardiaceae,Nothopegia colebrookeana,(Wight) Blume,India
Anacardiaceae,Nothopegia heyneana,Gamble,India
Anacardiaceae,Nothopegia monadelpha,(Roxb.) Forman,India
Anacardiaceae,Nothopegia sivagiriana,Murugan & Manickam,India
Anacardiaceae,Nothopegia travancorica,Bedd. ex Hook.f.,India
Anacardiaceae,Nothopegia vajravelui,K.Ravik. & V.Lakshm.,India
Anacardiaceae,Parishia insignis,Hook.f.,India
Anacardiaceae,Pistacia khinjuk,Stocks,India
Anacardiaceae,Rhus chinensis,Mill.,India
Anacardiaceae,Rhus punjabensis,J.L.Stewart ex Brandis,India
Anacardiaceae,Searsia parviflora,(Roxb.) F.A.Barkley,India
Anacardiaceae,Semecarpus anacardium,L.f.,India
Anacardiaceae,Semecarpus auriculatus,Bedd.,India
Anacardiaceae,Semecarpus heterophyllus,Blume,India
Anacardiaceae,Semecarpus kathalekanensis,Dasappa & Swam.,India
Anacardiaceae,Semecarpus kurzii,Engl.,India
Anacardiaceae,Semecarpus prainii,King,India
Anacardiaceae,Semecarpus subpanduriformis,Wall.,India
Anacardiaceae,Semecarpus travancoricus,Bedd.,India
Anacardiaceae,Solenocarpus indicus,Wight & Arn.,India
Anacardiaceae,Swintonia floribunda,Griff.,India
Anacardiaceae,Toxicodendron acuminatum,(DC.) C.Y.Wu & T.L.Ming,India
Anacardiaceae,Toxicodendron griffithii,(Hook.f.) Kuntze,India
Anacardiaceae,Toxicodendron hookeri,(K.C. Sahni & Bahadur) C.Y. Wu & T.L. Ming,India
