family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Indonesia
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Indonesia
Acanthaceae,Avicennia officinalis,L.,Indonesia
Achariaceae,Eleutherandra pes-cervi,Slooten,Indonesia
Achariaceae,Erythrospermum candidum,(Becc.) Becc.,Indonesia
Achariaceae,Hydnocarpus anomalus,(Merr.) Sleumer,Indonesia
Achariaceae,Hydnocarpus borneensis,Sleumer,Indonesia
Achariaceae,Hydnocarpus castaneus,Hook.f. & Thomson,Indonesia
Achariaceae,Hydnocarpus glaucescens,Blume,Indonesia
Achariaceae,Hydnocarpus gracilis,(Slooten) Sleumer,Indonesia
Achariaceae,Hydnocarpus heterophyllus,Blume,Indonesia
Achariaceae,Hydnocarpus ilicifolius,King,Indonesia
Achariaceae,Hydnocarpus kunstleri,(King) Warb.,Indonesia
Achariaceae,Hydnocarpus polypetalus,(Slooten) Sleumer,Indonesia
Achariaceae,Hydnocarpus subfalcata,Merr.,Indonesia
Achariaceae,Hydnocarpus sumatranus,(Miq.) Koord.,Indonesia
Achariaceae,Hydnocarpus woodii,Merr.,Indonesia
Achariaceae,Pangium edule,Reinw.,Indonesia
Achariaceae,Ryparosa hirsuta,J.J.Sm.,Indonesia
Achariaceae,Ryparosa hullettii,King,Indonesia
Achariaceae,Ryparosa javanica,Koord. & Valeton,Indonesia
Achariaceae,Ryparosa kostermansii,Sleumer,Indonesia
Achariaceae,Ryparosa kunstleri,King,Indonesia
Achariaceae,Ryparosa wallichii,Ridl.,Indonesia
Achariaceae,Scaphocalyx spathacea,Ridl.,Indonesia
Achariaceae,Trichadenia philippinensis,Merr.,Indonesia
Actinidiaceae,Saurauia aculeata,Lauterb.,Indonesia
Actinidiaceae,Saurauia amoena,Stapf,Indonesia
Actinidiaceae,Saurauia bogoriensis,Hoogland,Indonesia
Actinidiaceae,Saurauia bracteosa,DC.,Indonesia
Actinidiaceae,Saurauia cauliflora,DC.,Indonesia
Actinidiaceae,Saurauia conferta,Warb.,Indonesia
Actinidiaceae,Saurauia glabra,Merr.,Indonesia
Actinidiaceae,Saurauia lanceolata,DC.,Indonesia
Actinidiaceae,Saurauia leprosa,Korth.,Indonesia
Actinidiaceae,Saurauia microphylla,de Vriese,Indonesia
Actinidiaceae,Saurauia nudiflora,DC.,Indonesia
Actinidiaceae,Saurauia pendula,Blume,Indonesia
Actinidiaceae,Saurauia reinwardtiana,Blume,Indonesia
Actinidiaceae,Saurauia ridleyi,Merr.,Indonesia
Actinidiaceae,Saurauia rufa,Burkill,Indonesia
Actinidiaceae,Saurauia schmutzii,Hoogland,Indonesia
Actinidiaceae,Saurauia spinosa,M.Briggs,Indonesia
Actinidiaceae,Saurauia subcordata,Korth.,Indonesia
Actinidiaceae,Saurauia tewensis,Korth.,Indonesia
Actinidiaceae,Saurauia verheijenii,Hoogland,Indonesia
Actinidiaceae,Saurauia vulcani,Korth.,Indonesia
Altingiaceae,Liquidambar excelsa,(Noronha) Oken,Indonesia
Anacardiaceae,Androtium astylum,Stapf,Indonesia
Anacardiaceae,Bouea macrophylla,Griff.,Indonesia
Anacardiaceae,Bouea oppositifolia,(Roxb.) Meisn.,Indonesia
Anacardiaceae,Buchanania amboinensis,Miq.,Indonesia
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Indonesia
Anacardiaceae,Buchanania insignis,Blume,Indonesia
Anacardiaceae,Buchanania macrocarpa,Lauterb.,Indonesia
Anacardiaceae,Buchanania nitida,Engl.,Indonesia
Anacardiaceae,Buchanania sessifolia,Blume,Indonesia
Anacardiaceae,Buchanania splendens,Miq.,Indonesia
Anacardiaceae,Campnosperma auriculatum,(Blume) Hook.f.,Indonesia
Anacardiaceae,Campnosperma brevipetiolatum,Volkens,Indonesia
Anacardiaceae,Campnosperma coriaceum,(Jack) Hallier f.,Indonesia
Anacardiaceae,Campnosperma montanum,Lauterb.,Indonesia
Anacardiaceae,Campnosperma squamatum,Ridl.,Indonesia
Anacardiaceae,Dracontomelon costatum,Blume,Indonesia
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Indonesia
Anacardiaceae,Drimycarpus luridus,(Hook.f.) Ding Hou,Indonesia
Anacardiaceae,Euroschinus papuanus,Merr. & L.M.Perry,Indonesia
Anacardiaceae,Gluta aptera,(King) Ding Hou,Indonesia
Anacardiaceae,Gluta beccarii,(Engl.) Ding Hou,Indonesia
Anacardiaceae,Gluta celebica,Kosterm.,Indonesia
Anacardiaceae,Gluta macrocarpa,(Engl.) Ding Hou,Indonesia
Anacardiaceae,Gluta malayana,(Corner) Ding Hou,Indonesia
Anacardiaceae,Gluta oba,(Merr.) Ding Hou,Indonesia
Anacardiaceae,Gluta pubescens,(Ridl.) Ding Hou,Indonesia
Anacardiaceae,Gluta renghas,L.,Indonesia
Anacardiaceae,Gluta rostrata,Ding Hou,Indonesia
Anacardiaceae,Gluta rugulosa,Ding Hou,Indonesia
Anacardiaceae,Gluta sabahana,Ding Hou,Indonesia
Anacardiaceae,Gluta speciosa,(Ridl.) Ding Hou,Indonesia
Anacardiaceae,Gluta tavoyana,Hook.f.,Indonesia
Anacardiaceae,Gluta torquata,(King) Tardieu,Indonesia
Anacardiaceae,Gluta velutina,Blume,Indonesia
Anacardiaceae,Gluta wallichii,(Hook.f.) Ding Hou,Indonesia
Anacardiaceae,Koordersiodendron pinnatum,Merr.,Indonesia
Anacardiaceae,Mangifera altissima,Blanco,Indonesia
Anacardiaceae,Mangifera blommesteinii,Kosterm.,Indonesia
Anacardiaceae,Mangifera bullata,Kosterm.,Indonesia
Anacardiaceae,Mangifera caesia,Jack,Indonesia
Anacardiaceae,Mangifera campnospermoides,Kosterm.,Indonesia
Anacardiaceae,Mangifera casturi,Kosterm.,Indonesia
Anacardiaceae,Mangifera decandra,Ding Hou,Indonesia
Anacardiaceae,Mangifera dewildei,Kosterm.,Indonesia
Anacardiaceae,Mangifera foetida,Lour.,Indonesia
Anacardiaceae,Mangifera gedebi,Miq.,Indonesia
Anacardiaceae,Mangifera gracilipes,Hook.f.,Indonesia
Anacardiaceae,Mangifera griffithii,Hook.f.,Indonesia
Anacardiaceae,Mangifera lagenifera,Griff.,Indonesia
Anacardiaceae,Mangifera lalijiwa,Kosterm.,Indonesia
Anacardiaceae,Mangifera laurina,Blume,Indonesia
Anacardiaceae,Mangifera macrocarpa,Blume,Indonesia
Anacardiaceae,Mangifera magnifica,Kochummen,Indonesia
Anacardiaceae,Mangifera minor,Blume,Indonesia
Anacardiaceae,Mangifera orophila,Kosterm.,Indonesia
Anacardiaceae,Mangifera pajang,Kosterm.,Indonesia
Anacardiaceae,Mangifera paludosa,Kosterm. ex S.K.Ganesan,Indonesia
Anacardiaceae,Mangifera parvifolia,Boerl. & Koord.,Indonesia
Anacardiaceae,Mangifera pedicellata,Kosterm.,Indonesia
Anacardiaceae,Mangifera quadrifida,Jack,Indonesia
Anacardiaceae,Mangifera rigida,Blume,Indonesia
Anacardiaceae,Mangifera rubropetala,Kosterm.,Indonesia
Anacardiaceae,Mangifera rufocostata,Kosterm.,Indonesia
Anacardiaceae,Mangifera similis,Blume,Indonesia
Anacardiaceae,Mangifera subsessilifolia,Kosterm.,Indonesia
