family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Iran (Islamic Republic of)
Amaranthaceae,Haloxylon persicum,Bunge,Iran (Islamic Republic of)
Amaranthaceae,Xylosalsola richteri,(Moq.) Akhani & Roalson,Iran (Islamic Republic of)
Anacardiaceae,Cotinus coggygria,Scop.,Iran (Islamic Republic of)
Anacardiaceae,Pistacia atlantica,Desf.,Iran (Islamic Republic of)
Anacardiaceae,Pistacia eurycarpa,Yaltirik,Iran (Islamic Republic of)
Anacardiaceae,Pistacia khinjuk,Stocks,Iran (Islamic Republic of)
Anacardiaceae,Pistacia vera,L.,Iran (Islamic Republic of)
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Iran (Islamic Republic of)
Apocynaceae,Periploca aphylla,Decne.,Iran (Islamic Republic of)
Aquifoliaceae,Ilex aquifolium,L.,Iran (Islamic Republic of)
Aquifoliaceae,Ilex spinigera,(Loes.) Loes.,Iran (Islamic Republic of)
Arecaceae,Nannorrhops ritchieana,(Griff.) Aitch.,Iran (Islamic Republic of)
Betulaceae,Alnus djavanshirii,H.Zare,Iran (Islamic Republic of)
Betulaceae,Alnus dolichocarpa,"H.Zare, Amini & Assadi",Iran (Islamic Republic of)
Betulaceae,Alnus orientalis,Decne.,Iran (Islamic Republic of)
Betulaceae,Alnus subcordata,C.A.Mey.,Iran (Islamic Republic of)
Betulaceae,Betula medwediewii,Regel,Iran (Islamic Republic of)
Betulaceae,Betula pendula,Roth,Iran (Islamic Republic of)
Betulaceae,Carpinus betulus,L.,Iran (Islamic Republic of)
Betulaceae,Carpinus orientalis,Mill.,Iran (Islamic Republic of)
Betulaceae,Corylus avellana,L.,Iran (Islamic Republic of)
Betulaceae,Corylus colurna,L.,Iran (Islamic Republic of)
Bignoniaceae,Tecomella undulata,(Sm.) Seem.,Iran (Islamic Republic of)
Boraginaceae,Cordia crenata,Delile,Iran (Islamic Republic of)
Boraginaceae,Cordia myxa,L.,Iran (Islamic Republic of)
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,Iran (Islamic Republic of)
Buxaceae,Buxus sempervirens,L.,Iran (Islamic Republic of)
Cannabaceae,Celtis australis,L.,Iran (Islamic Republic of)
Cannabaceae,Celtis caucasica,Willd.,Iran (Islamic Republic of)
Cannabaceae,Celtis planchoniana,K.I.Chr.,Iran (Islamic Republic of)
Cannabaceae,Celtis tournefortii,Lam.,Iran (Islamic Republic of)
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Iran (Islamic Republic of)
Capparaceae,Maerua crassifolia,Forssk.,Iran (Islamic Republic of)
Caprifoliaceae,Lonicera nummulariifolia,Jaub. & Spach,Iran (Islamic Republic of)
Celastraceae,Euonymus europaeus,L.,Iran (Islamic Republic of)
Celastraceae,Euonymus latifolius,(L.) Mill.,Iran (Islamic Republic of)
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Iran (Islamic Republic of)
Cornaceae,Cornus mas,L.,Iran (Islamic Republic of)
Cupressaceae,Cupressus sempervirens,L.,Iran (Islamic Republic of)
Cupressaceae,Juniperus communis,L.,Iran (Islamic Republic of)
Cupressaceae,Juniperus deltoides,R.P.Adams,Iran (Islamic Republic of)
Cupressaceae,Juniperus excelsa,M.Bieb.,Iran (Islamic Republic of)
Cupressaceae,Juniperus foetidissima,Willd.,Iran (Islamic Republic of)
Cupressaceae,Juniperus oxycedrus,L.,Iran (Islamic Republic of)
Cupressaceae,Juniperus seravschanica,Kom.,Iran (Islamic Republic of)
Ebenaceae,Diospyros lotus,L.,Iran (Islamic Republic of)
Elaeagnaceae,Elaeagnus angustifolia,L.,Iran (Islamic Republic of)
Elaeagnaceae,Hippophae rhamnoides,L.,Iran (Islamic Republic of)
Euphorbiaceae,Euphorbia neriifolia,L.,Iran (Islamic Republic of)
Fabaceae,Albizia julibrissin,Durazz.,Iran (Islamic Republic of)
Fabaceae,Ammodendron conollyi,Bunge ex Boiss.,Iran (Islamic Republic of)
Fabaceae,Anagyris foetida,L.,Iran (Islamic Republic of)
Fabaceae,Ceratonia siliqua,L.,Iran (Islamic Republic of)
Fabaceae,Cercis griffithii,Boiss.,Iran (Islamic Republic of)
Fabaceae,Dalbergia sissoo,Roxb. ex DC.,Iran (Islamic Republic of)
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Iran (Islamic Republic of)
Fabaceae,Gleditsia caspica,Desf.,Iran (Islamic Republic of)
Fabaceae,Prosopis cineraria,(L.) Druce,Iran (Islamic Republic of)
