family,taxon,author,native to
Amaranthaceae,Haloxylon ammodendron,(C.A.Mey.) Bunge ex Fenzl,Iraq
Amaranthaceae,Haloxylon persicum,Bunge,Iraq
Anacardiaceae,Pistacia atlantica,Desf.,Iraq
Anacardiaceae,Pistacia eurycarpa,Yaltirik,Iraq
Anacardiaceae,Pistacia khinjuk,Stocks,Iraq
Apocynaceae,Periploca aphylla,Decne.,Iraq
Betulaceae,Betula pendula,Roth,Iraq
Cannabaceae,Celtis planchoniana,K.I.Chr.,Iraq
Capparaceae,Capparis cartilaginea,Decne.,Iraq
Caprifoliaceae,Lonicera nummulariifolia,Jaub. & Spach,Iraq
Cupressaceae,Juniperus communis,L.,Iraq
Cupressaceae,Juniperus deltoides,R.P.Adams,Iraq
Cupressaceae,Juniperus oxycedrus,L.,Iraq
Ericaceae,Arbutus andrachne,L.,Iraq
Fabaceae,Anagyris foetida,L.,Iraq
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Iraq
Fabaceae,Vachellia gerrardii,(Benth.) P.J.H.Hurter,Iraq
Fagaceae,Quercus brantii,Lindl.,Iraq
Fagaceae,Quercus infectoria,G.Olivier,Iraq
Fagaceae,Quercus libani,G.Olivier,Iraq
Fagaceae,Quercus macranthera,Fisch. & C.A.Mey. ex Hohen.,Iraq
Fagaceae,Quercus persica,Jaub. & Spach,Iraq
Lamiaceae,Vitex agnus-castus,L.,Iraq
Moraceae,Ficus carica,L.,Iraq
Myrtaceae,Myrtus communis,L.,Iraq
Oleaceae,Fraxinus angustifolia,Vahl,Iraq
Platanaceae,Platanus orientalis,L.,Iraq
Rhamnaceae,Ziziphus nummularia,(Burm.f.) Wight & Arn.,Iraq
Rosaceae,Crataegus monogyna,Jacq.,Iraq
Rosaceae,Crataegus pentagyna,Waldst. & Kit. ex Willd.,Iraq
Rosaceae,Crataegus pontica,K.Koch,Iraq
Rosaceae,Crataegus sakranensis,HadaÄ & Chrtek,Iraq
Rosaceae,Cydonia oblonga,Mill.,Iraq
Rosaceae,Prunus cerasifera,Ehrh.,Iraq
Rosaceae,Prunus mahaleb,L.,Iraq
Rosaceae,Prunus microcarpa,C.A.Mey.,Iraq
Salicaceae,Populus alba,L.,Iraq
Salicaceae,Populus euphratica,Olivier,Iraq
Salicaceae,Populus nigra,L.,Iraq
Salicaceae,Salix acmophylla,Boiss.,Iraq
Salicaceae,Salix alba,L.,Iraq
Salicaceae,Salix excelsa,S.G.Gmel.,Iraq
Salicaceae,Salix triandra,L.,Iraq
Sapindaceae,Acer tataricum,L.,Iraq
Tamaricaceae,Tamarix aphylla,(L.) H.Karst.,Iraq
Tamaricaceae,Tamarix aralensis,Bunge,Iraq
Tamaricaceae,Tamarix arceuthoides,Bunge,Iraq
Tamaricaceae,Tamarix brachystachys,Bunge,Iraq
Tamaricaceae,Tamarix pycnocarpa,DC.,Iraq
Tamaricaceae,Tamarix ramosissima,Ledeb.,Iraq
Tamaricaceae,Tamarix tetragyna,Ehrenb.,Iraq
