family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,Ireland
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Ireland
Betulaceae,Betula pendula,Roth,Ireland
Betulaceae,Betula pubescens,Ehrh.,Ireland
Betulaceae,Corylus avellana,L.,Ireland
Celastraceae,Euonymus europaeus,L.,Ireland
Cupressaceae,Juniperus communis,L.,Ireland
Elaeagnaceae,Hippophae rhamnoides,L.,Ireland
Ericaceae,Arbutus unedo,L.,Ireland
Fagaceae,Quercus petraea,(Matt.) Liebl.,Ireland
Fagaceae,Quercus robur,L.,Ireland
Oleaceae,Fraxinus excelsior,L.,Ireland
Pinaceae,Pinus sylvestris,L.,Ireland
Rhamnaceae,Frangula alnus,Mill.,Ireland
Rhamnaceae,Rhamnus cathartica,L.,Ireland
Rosaceae,Crataegus monogyna,Jacq.,Ireland
Rosaceae,Malus sylvestris,(L.) Mill.,Ireland
Rosaceae,Prunus avium,(L.) L.,Ireland
Rosaceae,Prunus padus,L.,Ireland
Rosaceae,Prunus spinosa,L.,Ireland
Rosaceae,Sorbus anglica,Hedl.,Ireland
Rosaceae,Sorbus aucuparia,L.,Ireland
Rosaceae,Sorbus devoniensis,E.F.Warb.,Ireland
Rosaceae,Sorbus hibernica,E.F.Warb.,Ireland
Rosaceae,Sorbus rupicola,(Syme) Hedl.,Ireland
Rosaceae,Sorbus scannelliana,T.C.G.Rich,Ireland
Salicaceae,Populus nigra,L.,Ireland
Salicaceae,Populus tremula,L.,Ireland
Salicaceae,Salix alba,L.,Ireland
Salicaceae,Salix atrocinerea,Brot.,Ireland
Salicaceae,Salix caprea,L.,Ireland
Salicaceae,Salix cinerea,L.,Ireland
Salicaceae,Salix pentandra,L.,Ireland
Salicaceae,Salix phylicifolia,L.,Ireland
Salicaceae,Salix purpurea,L.,Ireland
Salicaceae,Salix triandra,L.,Ireland
Taxaceae,Taxus baccata,L.,Ireland
Ulmaceae,Ulmus glabra,Huds.,Ireland
Viburnaceae,Sambucus nigra,L.,Ireland
