family,taxon,author,native to
Anacardiaceae,Pistacia atlantica,Desf.,Israel
Anacardiaceae,Pistacia lentiscus,L.,Israel
Anacardiaceae,Rhus coriaria,L.,Israel
Anacardiaceae,Searsia pentaphylla,(Jacq.) F.A.Barkley,Israel
Apocynaceae,Periploca aphylla,Decne.,Israel
Betulaceae,Alnus orientalis,Decne.,Israel
Boraginaceae,Cordia sinensis,Lam.,Israel
Cannabaceae,Celtis australis,L.,Israel
Capparaceae,Maerua crassifolia,Forssk.,Israel
Cupressaceae,Cupressus sempervirens,L.,Israel
Cupressaceae,Juniperus deltoides,R.P.Adams,Israel
Cupressaceae,Juniperus drupacea,Labill.,Israel
Cupressaceae,Juniperus oxycedrus,L.,Israel
Cupressaceae,Juniperus turbinata,Guss.,Israel
Elaeagnaceae,Elaeagnus angustifolia,L.,Israel
Ericaceae,Arbutus andrachne,L.,Israel
Fabaceae,Anagyris foetida,L.,Israel
Fabaceae,Ceratonia siliqua,L.,Israel
Fabaceae,Cercis siliquastrum,L.,Israel
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Israel
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,Israel
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Israel
Fagaceae,Quercus coccifera,L.,Israel
Fagaceae,Quercus ithaburensis,Decne.,Israel
Lamiaceae,Vitex agnus-castus,L.,Israel
Malvaceae,Grewia villosa,Willd.,Israel
Moraceae,Ficus carica,L.,Israel
Moraceae,Ficus sycomorus,L.,Israel
Moringaceae,Moringa peregrina,(Forssk.) Fiori,Israel
Myrtaceae,Myrtus communis,L.,Israel
Oleaceae,Fraxinus angustifolia,Vahl,Israel
Oleaceae,Olea europaea,L.,Israel
Oleaceae,Phillyrea latifolia,L.,Israel
Platanaceae,Platanus orientalis,L.,Israel
Rhamnaceae,Rhamnus alaternus,L.,Israel
Rhamnaceae,Ziziphus nummularia,(Burm.f.) Wight & Arn.,Israel
Rhamnaceae,Ziziphus spina-christi,(L.) Desf.,Israel
Rosaceae,Crataegus azarolus,L.,Israel
Rosaceae,Crataegus monogyna,Jacq.,Israel
Rosaceae,Malus trilobata,(Labill. ex Poir.) C.K.Schneid.,Israel
Rosaceae,Prunus microcarpa,C.A.Mey.,Israel
Rosaceae,Prunus ramonensis,(Danin) Eisenman,Israel
Rosaceae,Pyrus syriaca,Boiss.,Israel
Salicaceae,Populus alba,L.,Israel
Salicaceae,Populus euphratica,Olivier,Israel
Salicaceae,Salix acmophylla,Boiss.,Israel
Salicaceae,Salix alba,L.,Israel
Salicaceae,Salix triandra,L.,Israel
Sapindaceae,Acer obtusifolium,Sm.,Israel
Styracaceae,Styrax officinalis,L.,Israel
Tamaricaceae,Tamarix amplexicaulis,Ehrenb.,Israel
Tamaricaceae,Tamarix aravensis,Zohary,Israel
Tamaricaceae,Tamarix hampeana,Boiss. & Heldr.,Israel
Tamaricaceae,Tamarix jordanis,Boiss.,Israel
Tamaricaceae,Tamarix negevensis,Zohary,Israel
Tamaricaceae,Tamarix nilotica,(Ehrenb.) Bunge,Israel
Tamaricaceae,Tamarix palaestina,Bertol.,Israel
Tamaricaceae,Tamarix stricta,Boiss.,Israel
Tamaricaceae,Tamarix tetragyna,Ehrenb.,Israel
Viburnaceae,Viburnum tinus,L.,Israel
Zygophyllaceae,Balanites aegyptiaca,(L.) Delile,Israel
