family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Italy
Anacardiaceae,Pistacia lentiscus,L.,Italy
Anacardiaceae,Pistacia terebinthus,L.,Italy
Anacardiaceae,Rhus coriaria,L.,Italy
Anacardiaceae,Searsia pentaphylla,(Jacq.) F.A.Barkley,Italy
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Italy
Aquifoliaceae,Ilex aquifolium,L.,Italy
Aquifoliaceae,Ilex colchica,Pojark.,Italy
Arecaceae,Chamaerops humilis,L.,Italy
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Italy
Betulaceae,Alnus cordata,(Loisel.) Duby,Italy
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Italy
Betulaceae,Alnus incana,(L.) Moench,Italy
Betulaceae,Betula pendula,Roth,Italy
Betulaceae,Betula pubescens,Ehrh.,Italy
Betulaceae,Carpinus betulus,L.,Italy
Betulaceae,Carpinus orientalis,Mill.,Italy
Betulaceae,Corylus avellana,L.,Italy
Betulaceae,Ostrya carpinifolia,Scop.,Italy
Buxaceae,Buxus sempervirens,L.,Italy
Cannabaceae,Celtis australis,L.,Italy
Cannabaceae,Celtis tournefortii,Lam.,Italy
Celastraceae,Euonymus europaeus,L.,Italy
Celastraceae,Euonymus latifolius,(L.) Mill.,Italy
Cornaceae,Cornus mas,L.,Italy
Cupressaceae,Juniperus communis,L.,Italy
Cupressaceae,Juniperus deltoides,R.P.Adams,Italy
Cupressaceae,Juniperus oxycedrus,L.,Italy
Cupressaceae,Juniperus phoenicea,L.,Italy
Cupressaceae,Juniperus turbinata,Guss.,Italy
Elaeagnaceae,Hippophae rhamnoides,L.,Italy
Ericaceae,Arbutus unedo,L.,Italy
Ericaceae,Erica arborea,L.,Italy
Euphorbiaceae,Euphorbia dendroides,L.,Italy
Fabaceae,Anagyris foetida,L.,Italy
Fabaceae,Ceratonia siliqua,L.,Italy
Fabaceae,Cercis siliquastrum,L.,Italy
Fabaceae,Cytisus aeolicus,Guss.,Italy
Fabaceae,Genista aetnensis,(Biv.) DC.,Italy
Fabaceae,Genista tyrrhena,Vals.,Italy
Fabaceae,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Italy
Fabaceae,Laburnum anagyroides,Medik.,Italy
Fagaceae,Fagus sylvatica,L.,Italy
Fagaceae,Quercus cerris,L.,Italy
Fagaceae,Quercus coccifera,L.,Italy
Fagaceae,Quercus congesta,C.Presl,Italy
Fagaceae,Quercus dalechampii,Ten.,Italy
Fagaceae,Quercus frainetto,Ten.,Italy
Fagaceae,Quercus ichnusae,"Mossa, Bacch. & Brullo",Italy
Fagaceae,Quercus ilex,L.,Italy
Fagaceae,Quercus ithaburensis,Decne.,Italy
Fagaceae,Quercus petraea,(Matt.) Liebl.,Italy
Fagaceae,Quercus pseudococcifera,Desf.,Italy
Fagaceae,Quercus pubescens,Willd.,Italy
Fagaceae,Quercus robur,L.,Italy
Fagaceae,Quercus suber,L.,Italy
Fagaceae,Quercus trojana,Webb,Italy
Lamiaceae,Vitex agnus-castus,L.,Italy
Lauraceae,Laurus nobilis,L.,Italy
Malvaceae,Tilia cordata,Mill.,Italy
Malvaceae,Tilia platyphyllos,Scop.,Italy
Moraceae,Ficus carica,L.,Italy
Myrtaceae,Myrtus communis,L.,Italy
Oleaceae,Fraxinus angustifolia,Vahl,Italy
Oleaceae,Fraxinus excelsior,L.,Italy
Oleaceae,Fraxinus ornus,L.,Italy
Oleaceae,Olea europaea,L.,Italy
Oleaceae,Phillyrea latifolia,L.,Italy
Pinaceae,Abies alba,Mill.,Italy
Pinaceae,Abies nebrodensis,(Lojac.) Mattei,Italy
Pinaceae,Larix decidua,Mill.,Italy
Pinaceae,Picea abies,(L.) H.Karst.,Italy
Pinaceae,Pinus cembra,L.,Italy
Pinaceae,Pinus halepensis,Mill.,Italy
Pinaceae,Pinus heldreichii,Christ,Italy
Pinaceae,Pinus mugo,Turra,Italy
Pinaceae,Pinus nigra,J.F.Arnold,Italy
