family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Jamaica
Anacardiaceae,Comocladia cordata,Britton,Jamaica
Anacardiaceae,Comocladia grandidentata,Britton,Jamaica
Anacardiaceae,Comocladia parvifoliola,Britton,Jamaica
Anacardiaceae,Comocladia pinnatifolia,L.,Jamaica
Anacardiaceae,Comocladia velutina,Britton,Jamaica
Anacardiaceae,Metopium brownei,(Jacq.) Urb.,Jamaica
Anacardiaceae,Mosquitoxylum jamaicense,Krug & Urb.,Jamaica
Anacardiaceae,Spondias mombin,L.,Jamaica
Annonaceae,Annona glabra,L.,Jamaica
Annonaceae,Annona jamaicensis,Sprague,Jamaica
Annonaceae,Annona montana,Macfad.,Jamaica
Annonaceae,Annona mucosa,Jacq.,Jamaica
Annonaceae,Annona praetermissa,Rendle,Jamaica
Annonaceae,Oxandra lanceolata,(Sw.) Baill.,Jamaica
Annonaceae,Oxandra laurifolia,(Sw.) A.Rich.,Jamaica
Annonaceae,Xylopia hastarum,M.L.Green,Jamaica
Annonaceae,Xylopia muricata,L.,Jamaica
Apocynaceae,Cameraria latifolia,L.,Jamaica
Apocynaceae,Plumeria obtusa,L.,Jamaica
Apocynaceae,Rauvolfia nitida,Jacq.,Jamaica
Apocynaceae,Rauvolfia tetraphylla,L.,Jamaica
Apocynaceae,Strempeliopsis arborea,Urb.,Jamaica
Apocynaceae,Tabernaemontana laurifolia,L.,Jamaica
Apocynaceae,Tabernaemontana ochroleuca,Urb.,Jamaica
Apocynaceae,Tabernaemontana ovalifolia,Urb.,Jamaica
Apocynaceae,Tabernaemontana wullschlaegelii,Griseb.,Jamaica
Apocynaceae,Vallesia antillana,Woodson,Jamaica
Aquifoliaceae,Ilex dioica,(Vahl) Griseb.,Jamaica
Aquifoliaceae,Ilex florifera,Fawc. & Rendle,Jamaica
Aquifoliaceae,Ilex harrisii,Loes.,Jamaica
Aquifoliaceae,Ilex jamaicana,Proctor,Jamaica
Aquifoliaceae,Ilex macfadyenii,(Walp.) Rehder,Jamaica
Aquifoliaceae,Ilex nitida,(Vahl) Maxim.,Jamaica
Aquifoliaceae,Ilex obcordata,Sw.,Jamaica
Aquifoliaceae,Ilex subtriflora,Griseb.        ,Jamaica
Araliaceae,Dendropanax arboreus,(L.) Decne. & Planch.,Jamaica
Araliaceae,Dendropanax blakeanus,Britton,Jamaica
Araliaceae,Dendropanax cordifolius,Britton,Jamaica
Araliaceae,Dendropanax filipes,Britton,Jamaica
Araliaceae,Dendropanax grandiflorus,Britton,Jamaica
Araliaceae,Dendropanax grandis,Britton,Jamaica
Araliaceae,Dendropanax nutans,(Sw.) Decne. & Planch.,Jamaica
Araliaceae,Dendropanax oblanceatus,Proctor,Jamaica
Araliaceae,Dendropanax pendulus,(Sw.) Decne. & Planch.,Jamaica
Araliaceae,Dendropanax swartzii,(Fawc. & Rendle) A.C.Sm.,Jamaica
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Jamaica
