family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Japan
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,Japan
Anacardiaceae,Rhus chinensis,Mill.,Japan
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,Japan
Anacardiaceae,Toxicodendron sylvestre,(Siebold & Zucc.) Kuntze,Japan
Anacardiaceae,Toxicodendron trichocarpum,(Miq.) Kuntze,Japan
Anacardiaceae,Toxicodendron vernicifluum,(Stokes) F.A.Barkley,Japan
Apocynaceae,Cerbera manghas,L.,Japan
Apocynaceae,Ochrosia hexandra,Koidz.,Japan
Apocynaceae,Ochrosia iwasakiana,(Koidz.) Koidz. ex Masam.,Japan
Apocynaceae,Ochrosia nakaiana,(Koidz.) Koidz. ex H.Hara,Japan
Aquifoliaceae,Ilex buergeri,Miq.,Japan
Aquifoliaceae,Ilex chinensis,Sims,Japan
Aquifoliaceae,Ilex crenata,Thunb.,Japan
Aquifoliaceae,Ilex ficoidea,Hemsl.,Japan
Aquifoliaceae,Ilex goshiensis,Hayata,Japan
Aquifoliaceae,Ilex hayatana,Loes.,Japan
Aquifoliaceae,Ilex integra,Thunb.,Japan
Aquifoliaceae,Ilex kusanoi,Hayata,Japan
Aquifoliaceae,Ilex latifolia,Thunb.,Japan
Aquifoliaceae,Ilex liukiuensis,Loes.,Japan
Aquifoliaceae,Ilex macropoda,Miq.,Japan
Aquifoliaceae,Ilex matanoana,Makino,Japan
Aquifoliaceae,Ilex maximowicziana,Loes.,Japan
Aquifoliaceae,Ilex mertensii,Maxim.,Japan
Aquifoliaceae,Ilex micrococca,Maxim.,Japan
Aquifoliaceae,Ilex pedunculosa,Miq.,Japan
Aquifoliaceae,Ilex rotunda,Thunb.,Japan
Aquifoliaceae,Ilex sugerokii,Maxim.,Japan
Araliaceae,Aralia elata,(Miq.) Seem.,Japan
Araliaceae,Chengiopanax sciadophylloides,(Franch. & Sav.) C.B.Shang & J.Y.Huang,Japan
Araliaceae,Dendropanax trifidus,(Thunb.) Makino ex H.Hara,Japan
Araliaceae,Fatsia oligocarpella,Koidz.,Japan
Araliaceae,Gamblea innovans,"(Siebold & Zucc.) C.B.Shang, Lowry & Frodin",Japan
Araliaceae,Heptapleurum heptaphyllum,(L.) Y.F.Deng,Japan
Araliaceae,Kalopanax septemlobus,(Thunb.) Koidz.,Japan
Arecaceae,Clinostigma savoryanum,(Rehder & E.H.Wilson) H.E.Moore & Fosberg,Japan
Arecaceae,Livistona boninensis,(Becc.) Nakai,Japan
Arecaceae,Livistona chinensis,(Jacq.) R.Br. ex Mart.,Japan
Arecaceae,Nypa fruticans,Wurmb,Japan
Arecaceae,Satakentia liukiuensis,(Hatus.) H.E.Moore,Japan
Asteraceae,Senecio scandens,Buch.-Ham. ex D.Don,Japan
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Japan
Betulaceae,Alnus fauriei,H.Lév. & Vaniot,Japan
Betulaceae,Alnus firma,Siebold & Zucc.,Japan
Betulaceae,Alnus hakkodensis,Hayashi,Japan
Betulaceae,Alnus hirsuta,(Spach) Rupr.,Japan
Betulaceae,Alnus japonica,(Thunb.) Steud.,Japan
Betulaceae,Alnus matsumurae,Callier,Japan
Betulaceae,Alnus maximowiczii,Callier,Japan
Betulaceae,Alnus pendula,Matsum.,Japan
Betulaceae,Alnus serrulatoides,Callier,Japan
Betulaceae,Alnus sieboldiana,Matsum.,Japan
Betulaceae,Alnus trabeculosa,Hand.-Mazz.,Japan
Betulaceae,Betula chichibuensis,H.Hara,Japan
Betulaceae,Betula corylifolia,Regel & Maxim.,Japan
Betulaceae,Betula dahurica,Pall.,Japan
