family,taxon,author,native to
Amaranthaceae,Haloxylon persicum,Bunge,Jordan
Anacardiaceae,Pistacia khinjuk,Stocks,Jordan
Anacardiaceae,Pistacia lentiscus,L.,Jordan
Apocynaceae,Periploca aphylla,Decne.,Jordan
Betulaceae,Alnus orientalis,Decne.,Jordan
Cannabaceae,Celtis australis,L.,Jordan
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Jordan
Cupressaceae,Cupressus sempervirens,L.,Jordan
Cupressaceae,Juniperus deltoides,R.P.Adams,Jordan
Cupressaceae,Juniperus oxycedrus,L.,Jordan
Cupressaceae,Juniperus turbinata,Guss.,Jordan
Ericaceae,Arbutus andrachne,L.,Jordan
Fabaceae,Anagyris foetida,L.,Jordan
Fabaceae,Ceratonia siliqua,L.,Jordan
Fagaceae,Quercus coccifera,L.,Jordan
Lamiaceae,Vitex agnus-castus,L.,Jordan
Moraceae,Ficus carica,L.,Jordan
Moringaceae,Moringa peregrina,(Forssk.) Fiori,Jordan
Myrtaceae,Myrtus communis,L.,Jordan
Oleaceae,Olea europaea,L.,Jordan
Oleaceae,Phillyrea latifolia,L.,Jordan
Platanaceae,Platanus orientalis,L.,Jordan
Rhamnaceae,Ziziphus spina-christi,(L.) Desf.,Jordan
Rosaceae,Crataegus azarolus,L.,Jordan
Rosaceae,Prunus microcarpa,C.A.Mey.,Jordan
Rosaceae,Pyrus syriaca,Boiss.,Jordan
Salicaceae,Populus euphratica,Olivier,Jordan
Salicaceae,Salix alba,L.,Jordan
Styracaceae,Styrax officinalis,L.,Jordan
Tamaricaceae,Tamarix amplexicaulis,Ehrenb.,Jordan
Tamaricaceae,Tamarix aravensis,Zohary,Jordan
Tamaricaceae,Tamarix jordanis,Boiss.,Jordan
Tamaricaceae,Tamarix palaestina,Bertol.,Jordan
Tamaricaceae,Tamarix stricta,Boiss.,Jordan
Tamaricaceae,Tamarix tetragyna,Ehrenb.,Jordan
Viburnaceae,Viburnum tinus,L.,Jordan
Zygophyllaceae,Balanites aegyptiaca,(L.) Delile,Jordan
