family,taxon,author,native to
Amaranthaceae,Halostachys belangeriana,(Moq.) Botsch.,Kazakhstan
Amaranthaceae,Haloxylon persicum,Bunge,Kazakhstan
Amaranthaceae,Xylosalsola richteri,(Moq.) Akhani & Roalson,Kazakhstan
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Kazakhstan
Betulaceae,Betula karagandensis,V.N.Vassil.,Kazakhstan
Betulaceae,Betula microphylla,Bunge,Kazakhstan
Betulaceae,Betula pendula,Roth,Kazakhstan
Betulaceae,Betula psammophila,V.N.Vassil.,Kazakhstan
Betulaceae,Betula saviczii,V.N.Vassil.,Kazakhstan
Betulaceae,Betula tianschanica,Rupr.,Kazakhstan
Betulaceae,Betula utilis,D.Don,Kazakhstan
Betulaceae,Corylus avellana,L.,Kazakhstan
Cannabaceae,Celtis caucasica,Willd.,Kazakhstan
Caprifoliaceae,Zabelia corymbosa,(Regel & Schmalh.) Makino,Kazakhstan
Cupressaceae,Juniperus communis,L.,Kazakhstan
Cupressaceae,Juniperus excelsa,M.Bieb.,Kazakhstan
Cupressaceae,Juniperus pseudosabina,Fisch. & C.A.Mey.,Kazakhstan
Cupressaceae,Juniperus semiglobosa,Regel,Kazakhstan
Cupressaceae,Juniperus seravschanica,Kom.,Kazakhstan
Elaeagnaceae,Elaeagnus angustifolia,L.,Kazakhstan
Elaeagnaceae,Hippophae rhamnoides,L.,Kazakhstan
Fabaceae,Ammodendron conollyi,Bunge ex Boiss.,Kazakhstan
Fabaceae,Caragana arborescens,Lam.,Kazakhstan
Fabaceae,Cercis griffithii,Boiss.,Kazakhstan
Fabaceae,Eremosparton flaccidum,Litv.,Kazakhstan
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Kazakhstan
Fagaceae,Quercus robur,L.,Kazakhstan
Juglandaceae,Juglans regia,L.,Kazakhstan
Oleaceae,Fraxinus sogdiana,Bunge,Kazakhstan
Pinaceae,Picea schrenkiana,Fisch. & C.A.Mey.,Kazakhstan
Pinaceae,Pinus sibirica,Du Tour,Kazakhstan
Pinaceae,Pinus sylvestris,L.,Kazakhstan
Polygonaceae,Atraphaxis teretifolia,(Popov) Kom.,Kazakhstan
Polygonaceae,Calligonum arborescens,Litv.,Kazakhstan
Polygonaceae,Calligonum eriopodum,Bunge,Kazakhstan
Rhamnaceae,Rhamnus cathartica,L.,Kazakhstan
Rosaceae,Crataegus ambigua,C.A.Mey. ex A.K.Becker,Kazakhstan
Rosaceae,Crataegus azarolus,L.,Kazakhstan
Rosaceae,Crataegus chlorocarpa,Lenné & K.Koch,Kazakhstan
Rosaceae,Crataegus pontica,K.Koch,Kazakhstan
Rosaceae,Crataegus songarica,K. Koch,Kazakhstan
Rosaceae,Crataegus turkestanica,Pojark.,Kazakhstan
Rosaceae,Malus domestica,(Suckow) Borkh.,Kazakhstan
Rosaceae,Malus niedzwetzkyana,Dieck        ,Kazakhstan
Rosaceae,Malus sieversii,(Ledeb.) M.Roem.,Kazakhstan
Rosaceae,Prunus ledebouriana,(Schltdl.) Y.Y.Yao,Kazakhstan
Rosaceae,Prunus padus,L.,Kazakhstan
Rosaceae,Prunus ulmifolia,Franch.,Kazakhstan
Rosaceae,Pyrus regelii,Rehder,Kazakhstan
Rosaceae,Sorbus persica,Hedl.,Kazakhstan
Rosaceae,Sorbus tianschanica,Rupr.,Kazakhstan
Salicaceae,Populus alba,L.,Kazakhstan
Salicaceae,Populus euphratica,Olivier,Kazakhstan
Salicaceae,Populus laurifolia,Ledeb.,Kazakhstan
Salicaceae,Populus macrocarpa,(Schrenk) Pavlov & Lipsch.,Kazakhstan
Salicaceae,Populus nigra,L.,Kazakhstan
Salicaceae,Populus pruinosa,Schrenk,Kazakhstan
Salicaceae,Populus talassica,Kom.,Kazakhstan
Salicaceae,Populus tremula,L.,Kazakhstan
Salicaceae,Salix acutifolia,Willd.,Kazakhstan
Salicaceae,Salix alba,L.,Kazakhstan
Salicaceae,Salix bebbiana,Sarg.,Kazakhstan
Salicaceae,Salix caprea,L.,Kazakhstan
Salicaceae,Salix cinerea,L.,Kazakhstan
Salicaceae,Salix excelsa,S.G.Gmel.,Kazakhstan
Salicaceae,Salix michelsonii,Goerz ex Nasarow,Kazakhstan
Salicaceae,Salix niedzwieckii,Goerz,Kazakhstan
Salicaceae,Salix pyrolifolia,Ledeb.,Kazakhstan
Salicaceae,Salix rorida,Laksch.,Kazakhstan
Salicaceae,Salix songarica,Andersson,Kazakhstan
Salicaceae,Salix triandra,L.,Kazakhstan
Salicaceae,Salix turanica,Nasarow,Kazakhstan
Salicaceae,Salix viminalis,L.,Kazakhstan
Salicaceae,Salix wilhelmsiana,M.Bieb.,Kazakhstan
Sapindaceae,Acer turkestanicum,Pax,Kazakhstan
Tamaricaceae,Tamarix androssowii,Litv.,Kazakhstan
Tamaricaceae,Tamarix arceuthoides,Bunge,Kazakhstan
Tamaricaceae,Tamarix elongata,Ledeb.,Kazakhstan
Tamaricaceae,Tamarix hispida,Willd.,Kazakhstan
Tamaricaceae,Tamarix hohenackeri,Bunge,Kazakhstan
Tamaricaceae,Tamarix komarovii,Gorschk.,Kazakhstan
Tamaricaceae,Tamarix ramosissima,Ledeb.,Kazakhstan
Viburnaceae,Sambucus racemosa,L.,Kazakhstan
