family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,Kenya
Acanthaceae,Anisotes ukambensis,Lindau,Kenya
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Kenya
Acanthaceae,Mimulopsis arborescens,C.B.Clarke,Kenya
Achariaceae,Dasylepis integra,Warb.,Kenya
Achariaceae,Grandidiera boivinii,Jaub.,Kenya
Achariaceae,Kiggelaria africana,L.,Kenya
Achariaceae,Lindackeria bukobensis,Gilg,Kenya
Achariaceae,Rawsonia lucida,Harv. & Sond.,Kenya
Achariaceae,Xylotheca tettensis,(Klotzsch) Gilg,Kenya
Amaryllidaceae,Cryptostephanus haemanthoides,Pax,Kenya
Anacardiaceae,Lannea alata,(Engl.) Engl.,Kenya
Anacardiaceae,Lannea cotoneaster,(Chiov.) Sacleux,Kenya
Anacardiaceae,Lannea fulva,(Engl.) Engl.,Kenya
Anacardiaceae,Lannea malifolia,Sacleux,Kenya
Anacardiaceae,Lannea rivae,(Chiov.) Sacleux,Kenya
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Kenya
Anacardiaceae,Lannea schweinfurthii,Engl.,Kenya
Anacardiaceae,Lannea triphylla,(Hochst. ex A.Rich.) Engl.,Kenya
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Kenya
Anacardiaceae,Ozoroa insignis,Delile,Kenya
Anacardiaceae,Ozoroa obovata,(Oliv.) R.Fern. & A.Fern.,Kenya
Anacardiaceae,Pistacia aethiopica,Kokwaro,Kenya
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Kenya
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Kenya
Anacardiaceae,Sclerocarya gillettii,Kokwaro,Kenya
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Kenya
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Kenya
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Kenya
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Kenya
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,Kenya
Anacardiaceae,Searsia ruspolii,(Engl.) Moffett,Kenya
Anacardiaceae,Searsia tenuinervis,(Engl.) Moffett,Kenya
Anacardiaceae,Sorindeia calantha,Mildbr.,Kenya
Anacardiaceae,Sorindeia madagascariensis,Thouars ex DC.,Kenya
Annonaceae,Annona senegalensis,Pers.,Kenya
Annonaceae,Artabotrys monteiroae,Oliv.,Kenya
Annonaceae,Asteranthe asterias,(S.Moore) Engl. & Diels,Kenya
Annonaceae,Isolona cauliflora,Verdc.,Kenya
Annonaceae,Lettowianthus stellatus,Diels,Kenya
Annonaceae,Lukea quentinii,Cheek & Gosline,Kenya
Annonaceae,Mkilua fragrans,Verdc.,Kenya
Annonaceae,Monanthotaxis buchananii,(Engl.) Verdc.,Kenya
Annonaceae,Monanthotaxis fornicata,(Baill.) Verdc.,Kenya
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Kenya
Annonaceae,Monodora grandidieri,Baill.,Kenya
Annonaceae,Monodora junodii,Engl. & Diels,Kenya
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Kenya
Annonaceae,Ophrypetalum odoratum,Diels,Kenya
Annonaceae,Sphaerocoryne gracilis,(Engl. & Diels) Verdc.,Kenya
Annonaceae,Toussaintia orientalis,Verdc.,Kenya
Annonaceae,Uvaria acuminata,Oliv.,Kenya
Annonaceae,Uvaria faulknerae,Verdc.,Kenya
Annonaceae,Uvaria leptocladon,Oliv.,Kenya
Annonaceae,Uvaria welwitschii,(Hiern) Engl. & Diels,Kenya
Annonaceae,Uvariodendron anisatum,Verdc.,Kenya
Annonaceae,Uvariodendron dzomboense,"Dagallier, Q.Luke & Couvreur",Kenya
Annonaceae,Uvariodendron gorgonis,Verdc.,Kenya
Annonaceae,Uvariodendron kirkii,Verdc.,Kenya
Annonaceae,Uvariodendron schmidtii,"Q.Luke, Dagallier & Couvreur",Kenya
Annonaceae,Uvariopsis congensis,Robyns & Ghesq.,Kenya
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Kenya
Annonaceae,Xylopia arenaria,Engl.,Kenya
Annonaceae,Xylopia holtzii,Engl.,Kenya
Annonaceae,Xylopia keniensis,D.M.Johnson,Kenya
Aphloiaceae,Aphloia theiformis,(Vahl) Benn.,Kenya
Apiaceae,Heteromorpha arborescens,(Spreng.) Cham. & Schltdl.,Kenya
Apiaceae,Steganotaenia araliacea,Hochst.,Kenya
Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,Kenya
Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,Kenya
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Kenya
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Kenya
Apocynaceae,Carissa bispinosa,(L.) Desf. ex Brenan,Kenya
Apocynaceae,Carissa macrocarpa,(Eckl.) A.DC.,Kenya
Apocynaceae,Carissa spinarum,L.,Kenya
Apocynaceae,Carvalhoa campanulata,K.Schum.,Kenya
Apocynaceae,Funtumia africana,(Benth.) Stapf,Kenya
Apocynaceae,Holarrhena pubescens,Wall. ex G.Don,Kenya
Apocynaceae,Hunteria congolana,Pichon,Kenya
Apocynaceae,Hunteria zeylanica,(Retz.) Gardner ex Thwaites,Kenya
Apocynaceae,Mascarenhasia arborescens,A.DC.,Kenya
Apocynaceae,Pleiocarpa bicarpellata,Stapf,Kenya
Apocynaceae,Pleiocarpa pycnantha,(K.Schum.) Stapf,Kenya
Apocynaceae,Pleioceras orientale,Vollesen,Kenya
Apocynaceae,Rauvolfia caffra,Sond.,Kenya
Apocynaceae,Rauvolfia mannii,Stapf,Kenya
Apocynaceae,Rauvolfia mombasiana,Stapf,Kenya
Apocynaceae,Schizozygia coffaeoides,Baill.,Kenya
Apocynaceae,Tabernaemontana elegans,Stapf,Kenya
Apocynaceae,Tabernaemontana pachysiphon,Stapf,Kenya
Apocynaceae,Tabernaemontana stapfiana,Britten,Kenya
Apocynaceae,Tabernaemontana ventricosa,Hochst. ex A.DC.,Kenya
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Kenya
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Kenya
Apocynaceae,Wrightia demartiniana,Chiov.,Kenya
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Kenya
Araliaceae,Astropanax abyssinicus,(Hochst. ex A.Rich.) Seem.,Kenya
Araliaceae,Astropanax polysciadius,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Kenya
Araliaceae,Astropanax volkensii,"(Harms) Lowry, G.M.Plunkett, Gostel & Frodin",Kenya
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Kenya
Araliaceae,Cussonia holstii,Harms ex Engl.,Kenya
Araliaceae,Cussonia spicata,Thunb.,Kenya
Araliaceae,Cussonia zimmermannii,Harms,Kenya
Araliaceae,Polyscias fulva,(Hiern) Harms,Kenya
Araliaceae,Polyscias kikuyuensis,Summerh.,Kenya
Arecaceae,Borassus aethiopum,Mart.,Kenya
Arecaceae,Elaeis guineensis,Jacq.,Kenya
Arecaceae,Hyphaene compressa,H.Wendl.,Kenya
Arecaceae,Hyphaene coriacea,Gaertn.,Kenya
Arecaceae,Hyphaene reptans,Becc.,Kenya
Arecaceae,Hyphaene thebaica,(L.) Mart.,Kenya
Arecaceae,Phoenix reclinata,Jacq.,Kenya
Arecaceae,Raphia farinifera,(Gaertn.) Hyl.,Kenya
Asparagaceae,Dracaena afromontana,Mildbr.,Kenya
Asparagaceae,Dracaena aletriformis,(Haw.) Bos,Kenya
Asparagaceae,Dracaena ellenbeckiana,Engl.,Kenya
Asparagaceae,Dracaena fragrans,(L.) Ker Gawl.,Kenya
Asparagaceae,Dracaena mannii,Baker,Kenya
Asparagaceae,Dracaena steudneri,Engl.,Kenya
Asphodelaceae,Aloe ballyi,Reynolds,Kenya
