family,taxon,author,native to
Apocynaceae,Cerbera manghas,L.,Kiribati
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Kiribati
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,Kiribati
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Kiribati
Calophyllaceae,Calophyllum inophyllum,L.,Kiribati
Capparaceae,Crateva religiosa,G.Forst.,Kiribati
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Kiribati
Combretaceae,Terminalia catappa,L.,Kiribati
Combretaceae,Terminalia samoensis,Rech.,Kiribati
Euphorbiaceae,Acalypha grandis,Benth.,Kiribati
Euphorbiaceae,Macaranga carolinensis,Volkens,Kiribati
Euphorbiaceae,Mallotus tiliifolius,(Blume) Müll.Arg.,Kiribati
Fabaceae,Sophora tomentosa,L.,Kiribati
Gentianaceae,Fagraea berteroana,A.Gray ex Benth.,Kiribati
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Kiribati
Lamiaceae,Premna serratifolia,L.,Kiribati
Lamiaceae,Vitex negundo,L.,Kiribati
Lamiaceae,Vitex trifolia,L.,Kiribati
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Kiribati
Lythraceae,Sonneratia alba,Sm.,Kiribati
Malvaceae,Hibiscus tiliaceus,L.,Kiribati
Moraceae,Artocarpus altilis,(Parkinson ex F.A.Zorn) Fosberg,Kiribati
Moraceae,Ficus prolixa,G.Forst.,Kiribati
Moraceae,Ficus tinctoria,G.Forst.,Kiribati
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Kiribati
Rhizophoraceae,Bruguiera gymnorhiza,(L.) Lam.,Kiribati
Rhizophoraceae,Rhizophora apiculata,Blume,Kiribati
Rhizophoraceae,Rhizophora stylosa,Griff.,Kiribati
Rubiaceae,Aidia racemosa,(Cav.) Tirveng.,Kiribati
Rubiaceae,Guettarda speciosa,L.,Kiribati
Sapindaceae,Dodonaea viscosa,(L.) Jacq.,Kiribati
Surianaceae,Suriana maritima,L.,Kiribati
Urticaceae,Pipturus argenteus,(G.Forst.) Wedd.,Kiribati
