family,taxon,author,native to
Betulaceae,Betula microphylla,Bunge,Kyrgyzstan
Betulaceae,Betula tianschanica,Rupr.,Kyrgyzstan
Betulaceae,Betula utilis,D.Don,Kyrgyzstan
Betulaceae,Betula zinserlingii,V.N.Vassil.,Kyrgyzstan
Cannabaceae,Celtis caucasica,Willd.,Kyrgyzstan
Caprifoliaceae,Zabelia corymbosa,(Regel & Schmalh.) Makino,Kyrgyzstan
Cupressaceae,Juniperus communis,L.,Kyrgyzstan
Cupressaceae,Juniperus excelsa,M.Bieb.,Kyrgyzstan
Cupressaceae,Juniperus pseudosabina,Fisch. & C.A.Mey.,Kyrgyzstan
Cupressaceae,Juniperus semiglobosa,Regel,Kyrgyzstan
Cupressaceae,Juniperus seravschanica,Kom.,Kyrgyzstan
Elaeagnaceae,Hippophae rhamnoides,L.,Kyrgyzstan
Fabaceae,Ammopiptanthus nanus,(Popov) S.H.Cheng,Kyrgyzstan
Fabaceae,Cercis griffithii,Boiss.,Kyrgyzstan
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Kyrgyzstan
Juglandaceae,Juglans regia,L.,Kyrgyzstan
Lythraceae,Punica granatum,L.,Kyrgyzstan
Moraceae,Ficus carica,L.,Kyrgyzstan
Moraceae,Morus nigra,L.,Kyrgyzstan
Oleaceae,Fraxinus sogdiana,Bunge,Kyrgyzstan
Pinaceae,Abies sibirica,Ledeb.,Kyrgyzstan
Pinaceae,Picea schrenkiana,Fisch. & C.A.Mey.,Kyrgyzstan
Rhamnaceae,Rhamnus cathartica,L.,Kyrgyzstan
Rosaceae,Crataegus azarolus,L.,Kyrgyzstan
Rosaceae,Crataegus chlorocarpa,Lenné & K.Koch,Kyrgyzstan
Rosaceae,Crataegus knorringiana,Pojark.        ,Kyrgyzstan
Rosaceae,Crataegus necopinata,Pojark.,Kyrgyzstan
Rosaceae,Crataegus pontica,K.Koch,Kyrgyzstan
Rosaceae,Crataegus songarica,K. Koch,Kyrgyzstan
Rosaceae,Crataegus turkestanica,Pojark.,Kyrgyzstan
Rosaceae,Malus domestica,(Suckow) Borkh.,Kyrgyzstan
Rosaceae,Malus niedzwetzkyana,Dieck        ,Kyrgyzstan
Rosaceae,Malus sieversii,(Ledeb.) M.Roem.,Kyrgyzstan
Rosaceae,Prunus armeniaca,L.,Kyrgyzstan
Rosaceae,Prunus bucharica,(Korsh) Hand.-Mazz.,Kyrgyzstan
Rosaceae,Prunus cerasifera,Ehrh.,Kyrgyzstan
Rosaceae,Prunus mahaleb,L.,Kyrgyzstan
Rosaceae,Prunus susakensis,(Vassilcz.) Eisenman,Kyrgyzstan
Rosaceae,Prunus ulmifolia,Franch.,Kyrgyzstan
Rosaceae,Pyrus asiae-mediae,Popov,Kyrgyzstan
Rosaceae,Pyrus communis,L.,Kyrgyzstan
Rosaceae,Pyrus korshinskyi,Litv.        ,Kyrgyzstan
Rosaceae,Pyrus regelii,Rehder,Kyrgyzstan
Rosaceae,Pyrus turcomanica,Maleev,Kyrgyzstan
Rosaceae,Sorbus persica,Hedl.,Kyrgyzstan
Rosaceae,Sorbus tianschanica,Rupr.,Kyrgyzstan
Rosaceae,Sorbus turkestanica,(Franch.) Hedl.,Kyrgyzstan
Salicaceae,Populus macrocarpa,(Schrenk) Pavlov & Lipsch.,Kyrgyzstan
Salicaceae,Populus nigra,L.,Kyrgyzstan
Salicaceae,Populus pruinosa,Schrenk,Kyrgyzstan
Salicaceae,Populus talassica,Kom.,Kyrgyzstan
Salicaceae,Salix acutifolia,Willd.,Kyrgyzstan
Salicaceae,Salix alba,L.,Kyrgyzstan
Salicaceae,Salix caprea,L.,Kyrgyzstan
Salicaceae,Salix niedzwieckii,Goerz,Kyrgyzstan
Salicaceae,Salix pycnostachya,Andersson,Kyrgyzstan
Salicaceae,Salix triandra,L.,Kyrgyzstan
Salicaceae,Salix turanica,Nasarow,Kyrgyzstan
Salicaceae,Salix viminalis,L.,Kyrgyzstan
Salicaceae,Salix wilhelmsiana,M.Bieb.,Kyrgyzstan
Sapindaceae,Acer tataricum,L.,Kyrgyzstan
Sapindaceae,Acer turkestanicum,Pax,Kyrgyzstan
Tamaricaceae,Tamarix arceuthoides,Bunge,Kyrgyzstan
Tamaricaceae,Tamarix hohenackeri,Bunge,Kyrgyzstan
Tamaricaceae,Tamarix ramosissima,Ledeb.,Kyrgyzstan
Thymelaeaceae,Restella alberti,(Regel) Pobed.,Kyrgyzstan
Ulmaceae,Ulmus pumila,L.,Kyrgyzstan
