family,taxon,author,native to
Achariaceae,Hydnocarpus annamensis,(Gagnep.) Lescot & Sleumer,Lao People's Democratic Republic
Achariaceae,Hydnocarpus ilicifolius,King,Lao People's Democratic Republic
Actinidiaceae,Saurauia napaulensis,DC.,Lao People's Democratic Republic
Actinidiaceae,Saurauia roxburghii,Wall.,Lao People's Democratic Republic
Altingiaceae,Liquidambar formosana,Hance,Lao People's Democratic Republic
Altingiaceae,Liquidambar siamensis,(Craib) Ickert-Bond & J.Wen,Lao People's Democratic Republic
Anacardiaceae,Allospondias lakonensis,(Pierre) Stapf,Lao People's Democratic Republic
Anacardiaceae,Bouea oppositifolia,(Roxb.) Meisn.,Lao People's Democratic Republic
Anacardiaceae,Buchanania arborescens,(Blume) Blume,Lao People's Democratic Republic
Anacardiaceae,Buchanania glabra,Wall. ex Engl.,Lao People's Democratic Republic
Anacardiaceae,Buchanania lanzan,Spreng.,Lao People's Democratic Republic
Anacardiaceae,Buchanania reticulata,Hance,Lao People's Democratic Republic
Anacardiaceae,Buchanania sessifolia,Blume,Lao People's Democratic Republic
Anacardiaceae,Buchanania siamensis,Miq.,Lao People's Democratic Republic
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,Lao People's Democratic Republic
Anacardiaceae,Dracontomelon dao,(Blanco) Merr. & Rolfe,Lao People's Democratic Republic
Anacardiaceae,Dracontomelon laoticum,C.M.Evrard & Tardieu,Lao People's Democratic Republic
Anacardiaceae,Gluta cambodiana,Pierre,Lao People's Democratic Republic
Anacardiaceae,Gluta laccifera,(Pierre) Ding Hou,Lao People's Democratic Republic
Anacardiaceae,Gluta usitata,(Wall.) Ding Hou,Lao People's Democratic Republic
Anacardiaceae,Lannea coromandelica,(Houtt.) Merr.,Lao People's Democratic Republic
Anacardiaceae,Mangifera caloneura,Kurz,Lao People's Democratic Republic
Anacardiaceae,Mangifera camptosperma,Pierre,Lao People's Democratic Republic
Anacardiaceae,Mangifera cochinchinensis,Engl.,Lao People's Democratic Republic
Anacardiaceae,Mangifera pentandra,Hook.f.,Lao People's Democratic Republic
Anacardiaceae,Rhus chinensis,Mill.,Lao People's Democratic Republic
Anacardiaceae,Semecarpus cochinchinensis,Engl.,Lao People's Democratic Republic
Anacardiaceae,Semecarpus densiflorus,(Merr.) Steenis,Lao People's Democratic Republic
Anacardiaceae,Semecarpus reticulatus,Lecomte,Lao People's Democratic Republic
Anacardiaceae,Toxicodendron rhetsoides,(W. G. Craib) Tardieu,Lao People's Democratic Republic
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,Lao People's Democratic Republic
Annonaceae,Anaxagorea luzonensis,A.Gray,Lao People's Democratic Republic
Annonaceae,Cananga brandisiana,(Pierre) Saff.,Lao People's Democratic Republic
Annonaceae,Dasymaschalon glaucum,Merr. & Chun,Lao People's Democratic Republic
Annonaceae,Dasymaschalon lomentaceum,Finet & Gagnep.,Lao People's Democratic Republic
Annonaceae,Dasymaschalon macrocalyx,Finet & Gagnep.,Lao People's Democratic Republic
Annonaceae,Disepalum petelotii,(Merr.) D.M.Johnson,Lao People's Democratic Republic
Annonaceae,Goniothalamus gabriacianus,(Baill.) Ast,Lao People's Democratic Republic
Annonaceae,Goniothalamus laoticus,(Finet & Gagnep.) Bân,Lao People's Democratic Republic
Annonaceae,Goniothalamus repevensis,Pierre ex Finet & Gagnep.,Lao People's Democratic Republic
Annonaceae,Goniothalamus tamirensis,Pierre ex Finet & Gagnep.,Lao People's Democratic Republic
Annonaceae,Huberantha cerasoides,(Roxb.) Chaowasku,Lao People's Democratic Republic
Annonaceae,Huberantha luensis,(Pierre) Chaowasku,Lao People's Democratic Republic
Annonaceae,Marsypopetalum modestum,(Pierre) B.Xue & R.M.K.Saunders,Lao People's Democratic Republic
Annonaceae,Miliusa horsfieldii,(Bennett) Baill. ex Pierre,Lao People's Democratic Republic
