family,taxon,author,native to
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Latvia
Betulaceae,Alnus incana,(L.) Moench,Latvia
Betulaceae,Betula pendula,Roth,Latvia
Betulaceae,Betula pubescens,Ehrh.,Latvia
Betulaceae,Carpinus betulus,L.,Latvia
Betulaceae,Corylus avellana,L.,Latvia
Celastraceae,Euonymus europaeus,L.,Latvia
Cupressaceae,Juniperus communis,L.,Latvia
Fagaceae,Fagus sylvatica,L.,Latvia
Fagaceae,Quercus robur,L.,Latvia
Malvaceae,Tilia cordata,Mill.,Latvia
Oleaceae,Fraxinus excelsior,L.,Latvia
Pinaceae,Picea abies,(L.) H.Karst.,Latvia
Pinaceae,Pinus sylvestris,L.,Latvia
Rhamnaceae,Frangula alnus,Mill.,Latvia
Rhamnaceae,Rhamnus cathartica,L.,Latvia
Rosaceae,Crataegus laevigata,(Poir.) DC.,Latvia
Rosaceae,Crataegus rhipidophylla,Gand.,Latvia
Rosaceae,Malus sylvestris,(L.) Mill.,Latvia
Rosaceae,Prunus padus,L.,Latvia
Rosaceae,Prunus spinosa,L.,Latvia
Rosaceae,Pyrus communis,L.,Latvia
Rosaceae,Sorbus aucuparia,L.,Latvia
Rosaceae,Sorbus intermedia,(Ehrh.) Pers.,Latvia
Rosaceae,Sorbus rupicola,(Syme) Hedl.,Latvia
Salicaceae,Populus alba,L.,Latvia
Salicaceae,Populus tremula,L.,Latvia
Salicaceae,Salix alba,L.,Latvia
Salicaceae,Salix caprea,L.,Latvia
Salicaceae,Salix cinerea,L.,Latvia
Salicaceae,Salix daphnoides,Vill.,Latvia
Salicaceae,Salix myrsinifolia,Salisb.,Latvia
Salicaceae,Salix pentandra,L.,Latvia
Salicaceae,Salix purpurea,L.,Latvia
Salicaceae,Salix triandra,L.,Latvia
Salicaceae,Salix viminalis,L.,Latvia
Sapindaceae,Acer platanoides,L.,Latvia
Taxaceae,Taxus baccata,L.,Latvia
Ulmaceae,Ulmus glabra,Huds.,Latvia
Ulmaceae,Ulmus laevis,Pall.,Latvia
Viburnaceae,Sambucus nigra,L.,Latvia
