family,taxon,author,native to
Anacardiaceae,Cotinus coggygria,Scop.,Lebanon
Anacardiaceae,Pistacia lentiscus,L.,Lebanon
Anacardiaceae,Rhus coriaria,L.,Lebanon
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Lebanon
Aquifoliaceae,Ilex aquifolium,L.,Lebanon
Betulaceae,Alnus orientalis,Decne.,Lebanon
Betulaceae,Carpinus orientalis,Mill.,Lebanon
Betulaceae,Ostrya carpinifolia,Scop.,Lebanon
Cannabaceae,Celtis planchoniana,K.I.Chr.,Lebanon
Caprifoliaceae,Lonicera nummulariifolia,Jaub. & Spach,Lebanon
Cupressaceae,Cupressus sempervirens,L.,Lebanon
Cupressaceae,Juniperus communis,L.,Lebanon
Cupressaceae,Juniperus deltoides,R.P.Adams,Lebanon
Cupressaceae,Juniperus drupacea,Labill.,Lebanon
Cupressaceae,Juniperus excelsa,M.Bieb.,Lebanon
Cupressaceae,Juniperus foetidissima,Willd.,Lebanon
Cupressaceae,Juniperus oxycedrus,L.,Lebanon
Cupressaceae,Juniperus phoenicea,L.,Lebanon
Ericaceae,Arbutus unedo,L.,Lebanon
Euphorbiaceae,Euphorbia dendroides,L.,Lebanon
Fabaceae,Anagyris foetida,L.,Lebanon
Fabaceae,Ceratonia siliqua,L.,Lebanon
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Lebanon
Fabaceae,Prosopis farcta,(Sol.) J.F.Macbr.,Lebanon
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Lebanon
Fagaceae,Castanea sativa,Mill.,Lebanon
Fagaceae,Quercus cerris,L.,Lebanon
Fagaceae,Quercus coccifera,L.,Lebanon
Fagaceae,Quercus ithaburensis,Decne.,Lebanon
Fagaceae,Quercus kotschyana,O.Schwarz,Lebanon
Fagaceae,Quercus look,Kotschy,Lebanon
Fagaceae,Quercus macranthera,Fisch. & C.A.Mey. ex Hohen.,Lebanon
Moraceae,Ficus carica,L.,Lebanon
Moraceae,Ficus sycomorus,L.,Lebanon
Myrtaceae,Myrtus communis,L.,Lebanon
Oleaceae,Fraxinus angustifolia,Vahl,Lebanon
Oleaceae,Fraxinus ornus,L.,Lebanon
Pinaceae,Abies cilicica,(Antoine & Kotschy) Carrière,Lebanon
Pinaceae,Cedrus libani,A.Rich.,Lebanon
Pinaceae,Pinus brutia,Ten.,Lebanon
Pinaceae,Pinus halepensis,Mill.,Lebanon
Platanaceae,Platanus orientalis,L.,Lebanon
Rhamnaceae,Rhamnus alaternus,L.,Lebanon
Rhamnaceae,Rhamnus alpina,L.,Lebanon
Rhamnaceae,Ziziphus jujuba,Mill.,Lebanon
Rhamnaceae,Ziziphus spina-christi,(L.) Desf.,Lebanon
Rosaceae,Cotoneaster morulus,Pojark.,Lebanon
Rosaceae,Crataegus azarolus,L.,Lebanon
Rosaceae,Crataegus longipes,Pojark.,Lebanon
Rosaceae,Crataegus monogyna,Jacq.,Lebanon
Rosaceae,Malus trilobata,(Labill. ex Poir.) C.K.Schneid.,Lebanon
Rosaceae,Prunus cerasia,Blanche ex Post,Lebanon
Rosaceae,Prunus discolor,(Spach) C. K. Schneid.,Lebanon
Rosaceae,Prunus korshinskyi,Hand.-Mazz.,Lebanon
Rosaceae,Prunus microcarpa,C.A.Mey.,Lebanon
Rosaceae,Pyrus syriaca,Boiss.,Lebanon
Rosaceae,Sorbus graeca,(Lodd. ex Spach) Kotschy,Lebanon
Rosaceae,Sorbus kusnetzovii,Zinserl.,Lebanon
Rosaceae,Sorbus torminalis,Garsault,Lebanon
Rosaceae,Sorbus umbellata,(Desf.) Fritsch,Lebanon
Salicaceae,Populus nigra,L.,Lebanon
Salicaceae,Salix alba,L.,Lebanon
Salicaceae,Salix excelsa,S.G.Gmel.,Lebanon
Salicaceae,Salix mucronata,Thunb.,Lebanon
Sapindaceae,Acer hyrcanum,Fisch. & C.A.Mey.,Lebanon
Sapindaceae,Acer monspessulanum,L.,Lebanon
Sapindaceae,Acer obtusifolium,Sm.,Lebanon
Sapindaceae,Acer sempervirens,L.,Lebanon
Styracaceae,Styrax officinalis,L.,Lebanon
Tamaricaceae,Tamarix jordanis,Boiss.,Lebanon
Tamaricaceae,Tamarix nilotica,(Ehrenb.) Bunge,Lebanon
Tamaricaceae,Tamarix tetragyna,Ehrenb.,Lebanon
Ulmaceae,Ulmus minor,Mill.,Lebanon
Viburnaceae,Viburnum tinus,L.,Lebanon
