family,taxon,author,native to
Achariaceae,Kiggelaria africana,L.,Lesotho
Anacardiaceae,Searsia burchellii,(Sond. ex Engl.) Moffett,Lesotho
Anacardiaceae,Searsia dentata,(Thunb.) F.A.Barkley,Lesotho
Anacardiaceae,Searsia divaricata,(Eckl. & Zeyh.) Moffett,Lesotho
Anacardiaceae,Searsia krebsiana,(C.Presl ex Engl.) Moffett,Lesotho
Anacardiaceae,Searsia lucida,(L.) F.A.Barkley,Lesotho
Anacardiaceae,Searsia montana,(Diels) Moffett,Lesotho
Anacardiaceae,Smodingium argutum,E. Mey. ex Sond.,Lesotho
Apiaceae,Polemannia montana,Schltr. & H.Wolff,Lesotho
Apocynaceae,Carissa bispinosa,(L.) Desf. ex Brenan,Lesotho
Aquifoliaceae,Ilex mitis,(L.) Radlk.,Lesotho
Araliaceae,Cussonia paniculata,Eckl. & Zeyh.,Lesotho
Asphodelaceae,Aloe ferox,Mill.,Lesotho
Asteraceae,Chrysanthemoides monilifera,(L.) Norl.,Lesotho
Asteraceae,Tarchonanthus minor,Less.,Lesotho
Cannabaceae,Celtis africana,Burm.f.,Lesotho
Celastraceae,Gymnosporia buxifolia,(L.) Szyszyl.,Lesotho
Celastraceae,Maytenus acuminata,(L.f.) Loes.,Lesotho
Celastraceae,Maytenus albata,(N.E.Br.) E.Schmidt & Jordaan,Lesotho
Celastraceae,Maytenus undata,(Thunb.) Blakelock,Lesotho
Celastraceae,Pterocelastrus echinatus,N.E.Br.,Lesotho
Celastraceae,Pterocelastrus rostratus,Walp.,Lesotho
Ebenaceae,Diospyros lycioides,Desf.,Lesotho
Ebenaceae,Euclea coriacea,A.DC.,Lesotho
Ebenaceae,Euclea crispa,(Thunb.) Gürke,Lesotho
Ericaceae,Erica caffra,L.,Lesotho
Fabaceae,Calpurnia reflexa,A.J.Beaumont,Lesotho
Fabaceae,Erythrina humeana,Spreng.,Lesotho
Fabaceae,Vachellia karroo,(Hayne) Banfi & Galasso,Lesotho
Icacinaceae,Cassinopsis ilicifolia,(Hochst.) Sleumer,Lesotho
Iteaceae,Itea rhamnoides,(Harv.) Kubitzki,Lesotho
Malvaceae,Grewia occidentalis,L.,Lesotho
Myricaceae,Morella pilulifera,(Rendle) Killick,Lesotho
Ochnaceae,Ochna serrulata,(Hochst.) Walp.,Lesotho
Oleaceae,Olea europaea,L.,Lesotho
Penaeaceae,Olinia emarginata,Burtt Davy,Lesotho
Pittosporaceae,Pittosporum viridiflorum,Sims,Lesotho
Primulaceae,Myrsine pillansii,Adamson,Lesotho
Proteaceae,Protea caffra,Meisn.,Lesotho
Proteaceae,Protea roupelliae,Meisn.,Lesotho
Proteaceae,Protea subvestita,N.E.Br.,Lesotho
Proteaceae,Protea welwitschii,Engl.,Lesotho
Rhamnaceae,Phylica paniculata,Willd.,Lesotho
Rhamnaceae,Rhamnus prinoides,L'Hér.,Lesotho
Rosaceae,Leucosidea sericea,Eckl. & Zeyh.,Lesotho
Rosaceae,Prunus africana,(Hook.f.) Kalkman,Lesotho
Rubiaceae,Burchellia bubalina,(L.f.) Sims,Lesotho
Rubiaceae,Cephalanthus natalensis,Oliv.,Lesotho
Rubiaceae,Pavetta cooperi,Harv. & Sond.,Lesotho
Salicaceae,Salix mucronata,Thunb.,Lesotho
Salicaceae,Scolopia flanaganii,(Bolus) Sim,Lesotho
Salicaceae,Scolopia mundii,(Nees) Warb.,Lesotho
Salicaceae,Scolopia zeyheri,(Nees) Szyszyl.,Lesotho
Santalaceae,Osyris lanceolata,Hochst. & Steud.,Lesotho
Scrophulariaceae,Buddleja salviifolia,(L.) Lam.,Lesotho
Stilbaceae,Bowkeria verticillata,(Eckl. & Zeyh.) Druce,Lesotho
Stilbaceae,Halleria lucida,L.,Lesotho
Thymelaeaceae,Dais cotinifolia,L.,Lesotho
Vitaceae,Rhoicissus revoilii,Planch.,Lesotho
Vitaceae,Rhoicissus tridentata,(L.f.) Wild & R.B.Drumm.,Lesotho
