family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Liberia
Achariaceae,Caloncoba brevipes,(Stapf) Gilg,Liberia
Achariaceae,Caloncoba echinata,(Oliv.) Gilg,Liberia
Achariaceae,Caloncoba gilgiana,(Sprague) Gilg,Liberia
Achariaceae,Dasylepis racemosa,Oliv.,Liberia
Achariaceae,Lindackeria dentata,(Oliv.) Gilg,Liberia
Achariaceae,Scottellia klaineana,Pierre,Liberia
Achariaceae,Scottellia leonensis,Oliv.,Liberia
Anacardiaceae,Antrocaryon micraster,A.Chev. & Guillaumin,Liberia
Anacardiaceae,Fegimanra acuminatissima,Keay,Liberia
Anacardiaceae,Fegimanra afzelii,Engl.,Liberia
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Liberia
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,Liberia
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Liberia
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Liberia
Anacardiaceae,Trichoscypha arborea,(A.Chev.) A.Chev.,Liberia
Anacardiaceae,Trichoscypha baldwinii,Keay,Liberia
Anacardiaceae,Trichoscypha barbata,Breteler,Liberia
Anacardiaceae,Trichoscypha bijuga,Engl.,Liberia
Anacardiaceae,Trichoscypha blydeniae,Breteler,Liberia
Anacardiaceae,Trichoscypha cavalliensis,Aubrév. & Pellegr.,Liberia
Anacardiaceae,Trichoscypha laxissima,Breteler,Liberia
Anacardiaceae,Trichoscypha liberica,Engl.,Liberia
Anacardiaceae,Trichoscypha linderi,Breteler,Liberia
Anacardiaceae,Trichoscypha longifolia,(Hook.f.) Engl.,Liberia
Anacardiaceae,Trichoscypha lucens,Oliv.,Liberia
Anacardiaceae,Trichoscypha mannii,Hook.f.,Liberia
Anacardiaceae,Trichoscypha olodiana,Breteler,Liberia
Anacardiaceae,Trichoscypha smythei,Hutch. & Dalziel,Liberia
Anisophylleaceae,Anisophyllea meniaudii,Aubrév. & Pellegr.,Liberia
Annonaceae,Annickia chlorantha,(Oliv.) Setten & Maas,Liberia
Annonaceae,Annickia polycarpa,(DC.) Setten & Maas ex I.M.Turner,Liberia
Annonaceae,Annona glabra,L.,Liberia
Annonaceae,Annona senegalensis,Pers.,Liberia
Annonaceae,Brieya fasciculata,De Wild.,Liberia
Annonaceae,Cleistopholis patens,(Benth.) Engl. & Diels,Liberia
Annonaceae,Duguetia staudtii,(Engl. & Diels) Chatrou,Liberia
Annonaceae,Greenwayodendron oliveri,(Engl.) Verdc.,Liberia
Annonaceae,Hexalobus crispiflorus,A.Rich.,Liberia
Annonaceae,Isolona campanulata,Engl. & Diels,Liberia
Annonaceae,Isolona cooperi,Hutch. & Dalziel ex G.P.Cooper & Record,Liberia
Annonaceae,Mischogyne elliotiana,(Engl. & Diels) R.E.Fr. ex Le Thomas,Liberia
Annonaceae,Monocyclanthus vignei,Keay,Liberia
Annonaceae,Monodora crispata,Engl.,Liberia
Annonaceae,Monodora myristica,(Gaertn.) Dunal,Liberia
Annonaceae,Monodora tenuifolia,Benth.,Liberia
Annonaceae,Monodora undulata,(P.Beauv.) Couvreur,Liberia
Annonaceae,Neostenanthera gabonensis,(Engl. & Diels) Exell,Liberia
Annonaceae,Neostenanthera hamata,(Benth.) Exell,Liberia
Annonaceae,Piptostigma fugax,A.Chev. ex Hutch. & Dalziel,Liberia
Annonaceae,Polyceratocarpus parviflorus,(Baker f.) Ghesq.,Liberia
Annonaceae,Uvaria afzelii,Scott Elliot,Liberia
Annonaceae,Uvariastrum insculptum,(Engl. & Diels) Sprague & Hutch.,Liberia
Annonaceae,Uvariastrum pierreanum,Engl.,Liberia
Annonaceae,Uvariodendron occidentale,Le Thomas,Liberia
Annonaceae,Uvariopsis guineensis,Keay,Liberia
Annonaceae,Xylopia acutiflora,(Dunal) A.Rich.,Liberia
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Liberia
Annonaceae,Xylopia letestui,Pellegr.,Liberia
Annonaceae,Xylopia longipetala,De Wild. & T.Durand,Liberia
Annonaceae,Xylopia quintasii,Pierre ex Engl. & Diels,Liberia
Annonaceae,Xylopia rubescens,Oliv.,Liberia
Annonaceae,Xylopia staudtii,Engl. & Diels,Liberia
Annonaceae,Xylopia villosa,Chipp,Liberia
Apocynaceae,Alstonia boonei,De Wild.,Liberia
Apocynaceae,Alstonia congensis,Engl.,Liberia
Apocynaceae,Funtumia africana,(Benth.) Stapf,Liberia
Apocynaceae,Funtumia elastica,(Preuss) Stapf,Liberia
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Liberia
Apocynaceae,Hunteria simii,(Stapf) H.Huber,Liberia
Apocynaceae,Hunteria umbellata,(K.Schum.) Hallier f.,Liberia
Apocynaceae,Malouetia heudelotii,A.DC.,Liberia
Apocynaceae,Pleiocarpa mutica,Benth.,Liberia
Apocynaceae,Pleioceras afzelii,(K.Schum.) Stapf,Liberia
