family,taxon,author,native to
Anacardiaceae,Pistacia atlantica,Desf.,Libya
Anacardiaceae,Pistacia lentiscus,L.,Libya
Anacardiaceae,Pistacia terebinthus,L.,Libya
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Libya
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Libya
Arecaceae,Chamaerops humilis,L.,Libya
Arecaceae,Hyphaene thebaica,(L.) Mart.,Libya
Buxaceae,Buxus sempervirens,L.,Libya
Capparaceae,Capparis cartilaginea,Decne.,Libya
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Libya
Capparaceae,Maerua crassifolia,Forssk.,Libya
Cupressaceae,Cupressus sempervirens,L.,Libya
Cupressaceae,Juniperus oxycedrus,L.,Libya
Cupressaceae,Juniperus phoenicea,L.,Libya
Cupressaceae,Juniperus turbinata,Guss.,Libya
Ericaceae,Arbutus pavarii,Pamp.,Libya
Euphorbiaceae,Euphorbia dendroides,L.,Libya
Fabaceae,Anagyris foetida,L.,Libya
Fabaceae,Ceratonia siliqua,L.,Libya
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Libya
Fabaceae,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.,Libya
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Libya
Fagaceae,Quercus coccifera,L.,Libya
Fagaceae,Quercus ilex,L.,Libya
Fagaceae,Quercus rotundifolia,Lam.,Libya
Lamiaceae,Vitex agnus-castus,L.,Libya
Lauraceae,Laurus nobilis,L.,Libya
Myrtaceae,Myrtus communis,L.,Libya
Oleaceae,Olea europaea,L.,Libya
Oleaceae,Phillyrea latifolia,L.,Libya
Pinaceae,Pinus halepensis,Mill.,Libya
Rhamnaceae,Rhamnus alaternus,L.,Libya
Rosaceae,Crataegus azarolus,L.,Libya
Salicaceae,Populus alba,L.,Libya
Salicaceae,Salix cinerea,L.,Libya
Salicaceae,Salix mucronata,Thunb.,Libya
Salvadoraceae,Salvadora persica,L.,Libya
Sapindaceae,Dodonaea viscosa,(L.) Jacq.,Libya
Tamaricaceae,Tamarix amplexicaulis,Ehrenb.,Libya
Tamaricaceae,Tamarix aphylla,(L.) H.Karst.,Libya
Tamaricaceae,Tamarix boveana,Bunge,Libya
Tamaricaceae,Tamarix gallica,L.,Libya
Tamaricaceae,Tamarix nilotica,(Ehrenb.) Bunge,Libya
Tamaricaceae,Tamarix tetragyna,Ehrenb.,Libya
Viburnaceae,Viburnum tinus,L.,Libya
