family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,Liechtenstein
Betulaceae,Alnus alnobetula,(Ehrh.) K.Koch,Liechtenstein
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Liechtenstein
Betulaceae,Alnus incana,(L.) Moench,Liechtenstein
Betulaceae,Betula pendula,Roth,Liechtenstein
Betulaceae,Betula pubescens,Ehrh.,Liechtenstein
Betulaceae,Carpinus betulus,L.,Liechtenstein
Betulaceae,Corylus avellana,L.,Liechtenstein
Buxaceae,Buxus sempervirens,L.,Liechtenstein
Malvaceae,Tilia platyphyllos,Scop.,Liechtenstein
Pinaceae,Larix decidua,Mill.,Liechtenstein
Rosaceae,Crataegus rhipidophylla,Gand.,Liechtenstein
Rosaceae,Malus dasyphylla,Borkh.,Liechtenstein
Rosaceae,Malus sylvestris,(L.) Mill.,Liechtenstein
Rosaceae,Prunus avium,(L.) L.,Liechtenstein
Rosaceae,Prunus mahaleb,L.,Liechtenstein
Rosaceae,Prunus padus,L.,Liechtenstein
Rosaceae,Prunus spinosa,L.,Liechtenstein
Rosaceae,Pyrus nivalis,Jacq.,Liechtenstein
Rosaceae,Sorbus aucuparia,L.,Liechtenstein
Salicaceae,Populus alba,L.,Liechtenstein
Salicaceae,Populus nigra,L.,Liechtenstein
Salicaceae,Populus tremula,L.,Liechtenstein
Salicaceae,Salix alba,L.,Liechtenstein
Salicaceae,Salix caprea,L.,Liechtenstein
Salicaceae,Salix cinerea,L.,Liechtenstein
Salicaceae,Salix daphnoides,Vill.,Liechtenstein
Salicaceae,Salix purpurea,L.,Liechtenstein
Salicaceae,Salix triandra,L.,Liechtenstein
Sapindaceae,Acer campestre,L.,Liechtenstein
Sapindaceae,Acer pseudoplatanus,L.,Liechtenstein
Taxaceae,Taxus baccata,L.,Liechtenstein
Viburnaceae,Sambucus racemosa,L.,Liechtenstein
