family,taxon,author,native to
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Lithuania
Betulaceae,Alnus incana,(L.) Moench,Lithuania
Betulaceae,Betula pendula,Roth,Lithuania
Betulaceae,Betula pubescens,Ehrh.,Lithuania
Betulaceae,Carpinus betulus,L.,Lithuania
Betulaceae,Corylus avellana,L.,Lithuania
Celastraceae,Euonymus europaeus,L.,Lithuania
Fagaceae,Fagus sylvatica,L.,Lithuania
Fagaceae,Quercus petraea,(Matt.) Liebl.,Lithuania
Fagaceae,Quercus robur,L.,Lithuania
Malvaceae,Tilia cordata,Mill.,Lithuania
Oleaceae,Fraxinus excelsior,L.,Lithuania
Pinaceae,Picea abies,(L.) H.Karst.,Lithuania
Pinaceae,Pinus sylvestris,L.,Lithuania
Rhamnaceae,Frangula alnus,Mill.,Lithuania
Rosaceae,Crataegus laevigata,(Poir.) DC.,Lithuania
Rosaceae,Crataegus rhipidophylla,Gand.,Lithuania
Rosaceae,Malus sylvestris,(L.) Mill.,Lithuania
Rosaceae,Prunus padus,L.,Lithuania
Rosaceae,Prunus spinosa,L.,Lithuania
Rosaceae,Pyrus communis,L.,Lithuania
Rosaceae,Sorbus aucuparia,L.,Lithuania
Salicaceae,Populus alba,L.,Lithuania
Salicaceae,Populus nigra,L.,Lithuania
Salicaceae,Populus tremula,L.,Lithuania
Salicaceae,Salix acutifolia,Willd.,Lithuania
Salicaceae,Salix alba,L.,Lithuania
Salicaceae,Salix cinerea,L.,Lithuania
Salicaceae,Salix daphnoides,Vill.,Lithuania
Salicaceae,Salix myrsinifolia,Salisb.,Lithuania
Salicaceae,Salix pentandra,L.,Lithuania
Salicaceae,Salix purpurea,L.,Lithuania
Salicaceae,Salix triandra,L.,Lithuania
Salicaceae,Salix viminalis,L.,Lithuania
Sapindaceae,Acer platanoides,L.,Lithuania
Ulmaceae,Ulmus glabra,Huds.,Lithuania
Ulmaceae,Ulmus laevis,Pall.,Lithuania
Ulmaceae,Ulmus minor,Mill.,Lithuania
