family,taxon,author,native to
Aquifoliaceae,Ilex aquifolium,L.,Luxembourg
Betulaceae,Alnus glutinosa,(L.) Gaertn.,Luxembourg
Betulaceae,Betula pendula,Roth,Luxembourg
Betulaceae,Betula pubescens,Ehrh.,Luxembourg
Betulaceae,Carpinus betulus,L.,Luxembourg
Betulaceae,Corylus avellana,L.,Luxembourg
Buxaceae,Buxus sempervirens,L.,Luxembourg
Elaeagnaceae,Hippophae rhamnoides,L.,Luxembourg
Fagaceae,Quercus robur,L.,Luxembourg
Malvaceae,Tilia cordata,Mill.,Luxembourg
Malvaceae,Tilia platyphyllos,Scop.,Luxembourg
Oleaceae,Fraxinus excelsior,L.,Luxembourg
Rhamnaceae,Rhamnus cathartica,L.,Luxembourg
Rosaceae,Crataegus laevigata,(Poir.) DC.,Luxembourg
Rosaceae,Crataegus monogyna,Jacq.,Luxembourg
Rosaceae,Crataegus rhipidophylla,Gand.,Luxembourg
Rosaceae,Malus sylvestris,(L.) Mill.,Luxembourg
Rosaceae,Prunus avium,(L.) L.,Luxembourg
Rosaceae,Prunus mahaleb,L.,Luxembourg
Rosaceae,Prunus padus,L.,Luxembourg
Rosaceae,Prunus spinosa,L.,Luxembourg
Rosaceae,Pyrus communis,L.,Luxembourg
Rosaceae,Pyrus nivalis,Jacq.,Luxembourg
Rosaceae,Sorbus aucuparia,L.,Luxembourg
Salicaceae,Populus nigra,L.,Luxembourg
Salicaceae,Populus tremula,L.,Luxembourg
Salicaceae,Salix alba,L.,Luxembourg
Salicaceae,Salix caprea,L.,Luxembourg
Salicaceae,Salix cinerea,L.,Luxembourg
Salicaceae,Salix daphnoides,Vill.,Luxembourg
Salicaceae,Salix pentandra,L.,Luxembourg
Salicaceae,Salix purpurea,L.,Luxembourg
Sapindaceae,Acer campestre,L.,Luxembourg
Sapindaceae,Acer pseudoplatanus,L.,Luxembourg
Staphyleaceae,Staphylea pinnata,L.,Luxembourg
Taxaceae,Taxus baccata,L.,Luxembourg
Viburnaceae,Sambucus nigra,L.,Luxembourg
Viburnaceae,Sambucus racemosa,L.,Luxembourg
