family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Madagascar
Achariaceae,Prockiopsis grandis,G.E. Schatz & Lowry ,Madagascar
Achariaceae,Prockiopsis hildebrandtii,Baill.,Madagascar
Achariaceae,Prockiopsis orientalis,Capuron ex G.E. Schatz & Lowry ,Madagascar
Achariaceae,Prockiopsis razakamalalae,"G.E. Schatz, Lowry & Rakotovao",Madagascar
Amaranthaceae,Henonia scoparia,Moq.    ,Madagascar
Anacardiaceae,Abrahamia antongilensis,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia betamponensis,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia capuronii,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia darainensis,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia deflexa,(H.Perrier) Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia delphinensis,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia ditimena,(H.Perrier) Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia ellipticarpa,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia elongata,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia grandidieri,(Engl.) Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia humbertii,(H. Perrier) Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia itremoensis,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia latifolia,(Engl.) Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia lecomtei,(H.Perrier) Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia lenticellata,Randrian. & Lowry ,Madagascar
Anacardiaceae,Abrahamia littoralis,Randrian. & Lowry ,Madagascar
Anacardiaceae,Abrahamia lokobensis,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia longipetiolata,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia louvelii,(H.Perrier) Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia minutifolia,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia nitida,(Engl.) Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia oblongifolia,(Engl.) Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia patrickii,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia pauciflora,(Engl. ex H.Perrier) Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia phillipsonii,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia revoluta,Randrian. & Lowry,Madagascar
Anacardiaceae,Abrahamia sambiranensis,Randrian. & Lowry,Madagascar
