family,taxon,author,native to
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,Malawi
Acanthaceae,Sclerochiton obtusisepalus,C.B.Clarke,Malawi
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,Malawi
Achariaceae,Kiggelaria africana,L.,Malawi
Achariaceae,Lindackeria bukobensis,Gilg,Malawi
Achariaceae,Rawsonia burtt-davyi,(Edlin) F. White,Malawi
Achariaceae,Rawsonia lucida,Harv. & Sond.,Malawi
Achariaceae,Xylotheca tettensis,(Klotzsch) Gilg,Malawi
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Malawi
Anacardiaceae,Lannea schweinfurthii,Engl.,Malawi
Anacardiaceae,Ozoroa insignis,Delile,Malawi
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Malawi
Anacardiaceae,Searsia acuminatissima,(R.Fern. & A.Fern.) Moffett,Malawi
Anacardiaceae,Searsia anchietae,(Ficalho & Hiern) Moffett,Malawi
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,Malawi
Anacardiaceae,Searsia leptodictya,"(Diels) T.S.Yi, A.J.Mill. & J.Wen",Malawi
Anacardiaceae,Searsia longipes,(Engl.) Moffett,Malawi
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,Malawi
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,Malawi
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,Malawi
Anacardiaceae,Searsia tenuinervis,(Engl.) Moffett,Malawi
Anacardiaceae,Sorindeia madagascariensis,Thouars ex DC.,Malawi
Anacardiaceae,Trichoscypha lucens,Oliv.,Malawi
Anacardiaceae,Trichoscypha ulugurensis,Mildbr.,Malawi
Anisophylleaceae,Anisophyllea pomifera,Engl. & Brehmer,Malawi
Annonaceae,Annona senegalensis,Pers.,Malawi
Annonaceae,Artabotrys brachypetalus,Benth.,Malawi
Annonaceae,Artabotrys monteiroae,Oliv.,Malawi
Annonaceae,Cleistochlamys kirkii,(Benth.) Oliv.,Malawi
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Malawi
Annonaceae,Monanthotaxis buchananii,(Engl.) Verdc.,Malawi
Annonaceae,Monanthotaxis obovata,(Benth.) P.H.Hoekstra,Malawi
Annonaceae,Monodora grandidieri,Baill.,Malawi
Annonaceae,Monodora junodii,Engl. & Diels,Malawi
Annonaceae,Monodora stenopetala,Oliv.,Malawi
Annonaceae,Xylopia aethiopica,(Dunal) A.Rich.,Malawi
