family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Malaysia
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Malaysia
Acanthaceae,Avicennia officinalis,L.,Malaysia
Achariaceae,Eleutherandra pes-cervi,Slooten,Malaysia
Achariaceae,Erythrospermum candidum,(Becc.) Becc.,Malaysia
Achariaceae,Hydnocarpus anomalus,(Merr.) Sleumer,Malaysia
Achariaceae,Hydnocarpus beccarianus,Sleumer,Malaysia
Achariaceae,Hydnocarpus borneensis,Sleumer,Malaysia
Achariaceae,Hydnocarpus calophyllus,(Ridl.) Sleumer,Malaysia
Achariaceae,Hydnocarpus castaneus,Hook.f. & Thomson,Malaysia
Achariaceae,Hydnocarpus cucurbitina,King,Malaysia
Achariaceae,Hydnocarpus curtisii,King,Malaysia
Achariaceae,Hydnocarpus filipes,Symington & Sleumer,Malaysia
Achariaceae,Hydnocarpus gracilis,(Slooten) Sleumer,Malaysia
Achariaceae,Hydnocarpus humei,Ridl.,Malaysia
Achariaceae,Hydnocarpus ilicifolius,King,Malaysia
Achariaceae,Hydnocarpus kunstleri,(King) Warb.,Malaysia
Achariaceae,Hydnocarpus nana,King,Malaysia
Achariaceae,Hydnocarpus pinguis,Sleumer,Malaysia
Achariaceae,Hydnocarpus polypetalus,(Slooten) Sleumer,Malaysia
Achariaceae,Hydnocarpus scortechinii,King,Malaysia
Achariaceae,Hydnocarpus subfalcata,Merr.,Malaysia
Achariaceae,Hydnocarpus sumatranus,(Miq.) Koord.,Malaysia
Achariaceae,Hydnocarpus tenuipetalus,Sleumer,Malaysia
Achariaceae,Hydnocarpus woodii,Merr.,Malaysia
Achariaceae,Hydnocarpus wrayi,King,Malaysia
Achariaceae,Pangium edule,Reinw.,Malaysia
Achariaceae,Ryparosa acuminata,Merr.,Malaysia
Achariaceae,Ryparosa baccaureoides,Sleumer,Malaysia
Achariaceae,Ryparosa fasciculata,King,Malaysia
Achariaceae,Ryparosa hirsuta,J.J.Sm.,Malaysia
Achariaceae,Ryparosa hullettii,King,Malaysia
Achariaceae,Ryparosa javanica,Koord. & Valeton,Malaysia
Achariaceae,Ryparosa kostermansii,Sleumer,Malaysia
Achariaceae,Ryparosa kunstleri,King,Malaysia
Achariaceae,Ryparosa scortechinii,King,Malaysia
Achariaceae,Ryparosa wallichii,Ridl.,Malaysia
Achariaceae,Scaphocalyx spathacea,Ridl.,Malaysia
Achariaceae,Trichadenia philippinensis,Merr.,Malaysia
Actinidiaceae,Saurauia agamae,Merr.,Malaysia
Actinidiaceae,Saurauia amoena,Stapf,Malaysia
Actinidiaceae,Saurauia barbata,Kamariah ex K.M.Wong,Malaysia
Actinidiaceae,Saurauia beluranensis,K.M.Wong,Malaysia
Actinidiaceae,Saurauia borneensis,Merr.,Malaysia
Actinidiaceae,Saurauia bosuangii,Kamariah ex K.M.Wong,Malaysia
Actinidiaceae,Saurauia brevicymula,K.M.Wong,Malaysia
Actinidiaceae,Saurauia calcicola,K.M.Wong,Malaysia
Actinidiaceae,Saurauia capitellata,Kamariah ex K.M.Wong,Malaysia
Actinidiaceae,Saurauia chaiana,K.M.Wong,Malaysia
Actinidiaceae,Saurauia chewlunii,K.M.Wong,Malaysia
Actinidiaceae,Saurauia conniechaniae,K.M.Wong,Malaysia
Actinidiaceae,Saurauia corneri,Kamariah ex K.M.Wong,Malaysia
Actinidiaceae,Saurauia crockerensis,K.M.Wong,Malaysia
Actinidiaceae,Saurauia dewildeorum,K.M.Wong,Malaysia
Actinidiaceae,Saurauia diwolii,K.M.Wong,Malaysia
Actinidiaceae,Saurauia fragrans,Hoogland,Malaysia
Actinidiaceae,Saurauia glabra,Merr.,Malaysia
