family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Maldives
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Maldives
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Maldives
Calophyllaceae,Calophyllum inophyllum,L.,Maldives
Combretaceae,Lumnitzera racemosa,Willd.,Maldives
Euphorbiaceae,Excoecaria agallocha,L.,Maldives
Fabaceae,Adenanthera pavonina,L.,Maldives
Fabaceae,Albizia lebbeck,(L.) Benth.,Maldives
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,Maldives
Fabaceae,Erythrina variegata,L.,Maldives
Fabaceae,Guilandina bonduc,L.,Maldives
Fabaceae,Senna auriculata,(L.) Roxb.,Maldives
Fabaceae,Senna surattensis,(Burm.f.) H.S.Irwin & Barneby,Maldives
Fabaceae,Sophora tomentosa,L.,Maldives
Hernandiaceae,Gyrocarpus americanus,Jacq.,Maldives
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Maldives
Lamiaceae,Premna serratifolia,L.,Maldives
Lamiaceae,Vitex negundo,L.,Maldives
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Maldives
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Maldives
Lythraceae,Sonneratia caseolaris,(L.) Engl.,Maldives
Malvaceae,Hibiscus tiliaceus,L.,Maldives
Moraceae,Ficus amplissima,Sm.,Maldives
Moraceae,Ficus benghalensis,L.,Maldives
Moraceae,Ficus lacor,Buch.-Ham.,Maldives
Nyctaginaceae,Pisonia grandis,R.Br.,Maldives
Pandanaceae,Pandanus odorifer,(Forssk.) Kuntze,Maldives
Phyllanthaceae,Phyllanthus littoralis,(Blume) Müll.Arg.,Maldives
Rhizophoraceae,Bruguiera cylindrica,(L.) Blume,Maldives
Rhizophoraceae,Bruguiera gymnorhiza,(L.) Lam.,Maldives
Rhizophoraceae,Ceriops tagal,(Perr.) C.B.Rob.,Maldives
Rhizophoraceae,Rhizophora apiculata,Blume,Maldives
Rhizophoraceae,Rhizophora mucronata,Poir.,Maldives
Rubiaceae,Guettarda speciosa,L.,Maldives
Rubiaceae,Morinda citrifolia,L.,Maldives
Sapindaceae,Allophylus cobbe,(L.) Raeusch.,Maldives
Sapindaceae,Dodonaea viscosa,(L.) Jacq.,Maldives
