family,taxon,author,native to
Anacardiaceae,Lannea acida,A.Rich.,Mali
Anacardiaceae,Lannea barteri,(Oliv.) Engl.,Mali
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Mali
Anacardiaceae,Lannea microcarpa,Engl. & K.Krause,Mali
Anacardiaceae,Lannea nigritana,(Scott Elliot) Keay,Mali
Anacardiaceae,Lannea velutina,A.Rich.,Mali
Anacardiaceae,Ozoroa insignis,Delile,Mali
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,Mali
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Mali
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,Mali
Annonaceae,Annona senegalensis,Pers.,Mali
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,Mali
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,Mali
Annonaceae,Xylopia elliotii,Pierre ex Engl. & Diels,Mali
Annonaceae,Xylopia pynaertii,De Wild.,Mali
Apiaceae,Steganotaenia araliacea,Hochst.,Mali
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Mali
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Mali
Apocynaceae,Carissa spinarum,L.,Mali
Apocynaceae,Holarrhena floribunda,(G.Don) T.Durand & Schinz,Mali
Apocynaceae,Rauvolfia vomitoria,Afzel.,Mali
Apocynaceae,Voacanga africana,Stapf ex Scott Elliot,Mali
Apocynaceae,Voacanga thouarsii,Roem. & Schult.,Mali
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Mali
Arecaceae,Borassus aethiopum,Mart.,Mali
Arecaceae,Borassus akeassii,"Bayton, Ouédr. & Guinko",Mali
Arecaceae,Hyphaene thebaica,(L.) Mart.,Mali
Arecaceae,Raphia palma-pinus,(Gaertn.) Hutch.,Mali
Arecaceae,Raphia sudanica,A.Chev.,Mali
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Mali
Asteraceae,Gymnanthemum coloratum,(Willd.) H.Rob. & B.Kahn,Mali
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Mali
Bignoniaceae,Stereospermum kunthianum,Cham.,Mali
Boraginaceae,Cordia sinensis,Lam.,Mali
Burseraceae,Boswellia dalzielii,Hutch.,Mali
Burseraceae,Commiphora africana,(A.Rich.) Engl.,Mali
Burseraceae,Commiphora pedunculata,(Kotschy & Peyr.) Engl.,Mali
Calophyllaceae,Calophyllum africanum,Cheek & Q.Luke,Mali
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Mali
Cannabaceae,Trema orientale,(L.) Blume,Mali
Capparaceae,Boscia angustifolia,A.Rich.,Mali
Capparaceae,Boscia salicifolia,Oliv.,Mali
Capparaceae,Boscia senegalensis,Lam.,Mali
Capparaceae,Cadaba farinosa,Forssk.,Mali
Capparaceae,Cadaba glandulosa,Forssk.,Mali
Capparaceae,Crateva adansonii,DC.,Mali
Capparaceae,Maerua angolensis,DC.,Mali
Capparaceae,Maerua crassifolia,Forssk.,Mali
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Mali
Chrysobalanaceae,Chrysobalanus icaco,L.,Mali
Chrysobalanaceae,Dactyladenia scabrifolia,(Hua) Prance & F.White,Mali
Chrysobalanaceae,Maranthes polyandra,(Benth.) Prance,Mali
Chrysobalanaceae,Neocarya macrophylla,(Sabine) Prance ex F.White,Mali
Chrysobalanaceae,Parinari congensis,Didr.,Mali
Chrysobalanaceae,Parinari curatellifolia,Planch. ex Benth.,Mali
Clusiaceae,Garcinia afzelii,Engl.,Mali
Clusiaceae,Garcinia livingstonei,T.Anderson,Mali
Clusiaceae,Garcinia ovalifolia,Oliv.,Mali
Clusiaceae,Pentadesma butyracea,Sabine,Mali
Combretaceae,Combretum aculeatum,Vent.,Mali
Combretaceae,Combretum adenogonium,Steud. ex A.Rich.,Mali
Combretaceae,Combretum glutinosum,Perr. ex DC.,Mali
Combretaceae,Combretum micranthum,G.Don,Mali
Combretaceae,Combretum molle,R.Br. ex G.Don,Mali
Combretaceae,Guiera senegalensis,J.F.Gmel.,Mali
Combretaceae,Terminalia avicennioides,Guill. & Perr.,Mali
