family,taxon,author,native to
Anacardiaceae,Rhus coriaria,L.,Malta
Aquifoliaceae,Ilex aquifolium,L.,Malta
Cupressaceae,Juniperus communis,L.,Malta
Cupressaceae,Juniperus oxycedrus,L.,Malta
Cupressaceae,Tetraclinis articulata,(Vahl) Mast.,Malta
Ericaceae,Arbutus unedo,L.,Malta
Fabaceae,Anagyris foetida,L.,Malta
Fabaceae,Ceratonia siliqua,L.,Malta
Fagaceae,Quercus ilex,L.,Malta
Lamiaceae,Vitex agnus-castus,L.,Malta
Lauraceae,Laurus nobilis,L.,Malta
Moraceae,Ficus carica,L.,Malta
Myrtaceae,Myrtus communis,L.,Malta
Oleaceae,Fraxinus angustifolia,Vahl,Malta
Pinaceae,Pinus halepensis,Mill.,Malta
Rosaceae,Crataegus azarolus,L.,Malta
Rosaceae,Crataegus monogyna,Jacq.,Malta
Rosaceae,Malus sylvestris,(L.) Mill.,Malta
Rosaceae,Prunus cocomilia,Ten.,Malta
Rosaceae,Prunus mahaleb,L.,Malta
Rosaceae,Prunus spinosa,L.,Malta
Rosaceae,Pyrus spinosa,Forssk.,Malta
Salicaceae,Populus alba,L.,Malta
Salicaceae,Salix alba,L.,Malta
Salicaceae,Salix purpurea,L.,Malta
Tamaricaceae,Tamarix africana,Poir.,Malta
Taxaceae,Taxus baccata,L.,Malta
Ulmaceae,Ulmus minor,Mill.,Malta
