family,taxon,author,native to
Apocynaceae,Cerbera manghas,L.,Marshall Islands
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Marshall Islands
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,Marshall Islands
Calophyllaceae,Calophyllum inophyllum,L.,Marshall Islands
Casuarinaceae,Casuarina equisetifolia,L.,Marshall Islands
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Marshall Islands
Combretaceae,Terminalia catappa,L.,Marshall Islands
Combretaceae,Terminalia samoensis,Rech.,Marshall Islands
Fabaceae,Intsia bijuga,(Colebr.) Kuntze,Marshall Islands
Lamiaceae,Premna serratifolia,L.,Marshall Islands
Lamiaceae,Vitex trifolia,L.,Marshall Islands
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Marshall Islands
Lythraceae,Pemphis acidula,J.R.Forst. & G.Forst.,Marshall Islands
Malvaceae,Hibiscus tiliaceus,L.,Marshall Islands
Meliaceae,Xylocarpus granatum,J.Koenig,Marshall Islands
Moraceae,Artocarpus altilis,(Parkinson ex F.A.Zorn) Fosberg,Marshall Islands
Moraceae,Ficus microcarpa,L.f.,Marshall Islands
Moraceae,Ficus tinctoria,G.Forst.,Marshall Islands
Olacaceae,Ximenia americana,L.,Marshall Islands
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Marshall Islands
Rhizophoraceae,Bruguiera gymnorhiza,(L.) Lam.,Marshall Islands
Rhizophoraceae,Rhizophora stylosa,Griff.,Marshall Islands
Rubiaceae,Aidia racemosa,(Cav.) Tirveng.,Marshall Islands
Rubiaceae,Guettarda speciosa,L.,Marshall Islands
Surianaceae,Suriana maritima,L.,Marshall Islands
Urticaceae,Pipturus argenteus,(G.Forst.) Wedd.,Marshall Islands
