family,taxon,author,native to
Acanthaceae,Avicennia schaueriana,Stapf & Leechm. ex Moldenke,Martinique
Anacardiaceae,Comocladia undulata,Urb.,Martinique
Anacardiaceae,Spondias mombin,L.,Martinique
Annonaceae,Annona glabra,L.,Martinique
Annonaceae,Annona montana,Macfad.,Martinique
Annonaceae,Annona mucosa,Jacq.,Martinique
Annonaceae,Guatteria caribaea,Urb.,Martinique
Annonaceae,Oxandra laurifolia,(Sw.) A.Rich.,Martinique
Apocynaceae,Plumeria alba,L.,Martinique
Apocynaceae,Rauvolfia nitida,Jacq.,Martinique
Apocynaceae,Rauvolfia tetraphylla,L.,Martinique
Apocynaceae,Rauvolfia viridis,Roem. & Schult.,Martinique
Apocynaceae,Tabernaemontana citrifolia,L.,Martinique
Aquifoliaceae,Ilex dioica,(Vahl) Griseb.,Martinique
Aquifoliaceae,Ilex macfadyenii,(Walp.) Rehder,Martinique
Aquifoliaceae,Ilex nitida,(Vahl) Maxim.,Martinique
Aquifoliaceae,Ilex sideroxyloides,(Sw.) Griseb.,Martinique
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,Martinique
Araliaceae,Oreopanax dussii,Krug & Urb. ex Duss,Martinique
Araliaceae,Oreopanax ramosissimus,A.C.Sm.,Martinique
Araliaceae,Sciodaphyllum attenuatum,"(Sw.) Lowry, G.M.Plunkett & M.M.Mora",Martinique
Araliaceae,Sciodaphyllum urbanianum,"(Marchal ex Urb.) Lowry, G.M.Plunkett & M.M.Mora",Martinique
Arecaceae,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,Martinique
Arecaceae,Coccothrinax barbadensis,(Lodd. ex Mart.) Becc.,Martinique
Arecaceae,Desmoncus polyacanthos,Mart.,Martinique
Arecaceae,Geonoma pinnatifrons,Willd.,Martinique
Arecaceae,Geonoma undata,Klotzsch,Martinique
Arecaceae,Prestoea acuminata,(Willd.) H.E.Moore,Martinique
Arecaceae,Roystonea oleracea,(Jacq.) O.F.Cook,Martinique
Arecaceae,Syagrus amara,(Jacq.) Mart.,Martinique
Asteraceae,Clibadium surinamense,L.,Martinique
Asteraceae,Koanophyllon celtidifolium,(Lam.) R.M.King & H.Rob.,Martinique
Bignoniaceae,Amphitecna latifolia,(Mill.) A.H.Gentry,Martinique
Bignoniaceae,Crescentia cujete,L.,Martinique
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Martinique
Bignoniaceae,Tabebuia pallida,(Lindl.) Miers,Martinique
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Martinique
Boraginaceae,Bourreria succulenta,Jacq.,Martinique
Boraginaceae,Cordia elliptica,Sw.,Martinique
Boraginaceae,Cordia laevigata,Lam.,Martinique
Boraginaceae,Cordia sulcata,A.DC.,Martinique
Boraginaceae,Heliotropium filiflorum,(Griseb.) Feuillet,Martinique
Boraginaceae,Rochefortia spinosa,(Jacq.) Urb.,Martinique
Boraginaceae,Varronia martinicensis,Jacq.,Martinique
Burseraceae,Bursera simaruba,(L.) Sarg.,Martinique
Burseraceae,Dacryodes excelsa,Vahl,Martinique
Burseraceae,Protium attenuatum,(Rose) Urb.,Martinique
Buxaceae,Buxus subcolumnaris,Müll.Arg.,Martinique
Cactaceae,Consolea rubescens,(Salm-Dyck ex DC.) Lem.,Martinique
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,Martinique
Calophyllaceae,Mammea americana,L.,Martinique
Calophyllaceae,Marila racemosa,Sw.,Martinique
Canellaceae,Canella winterana,(L.) Gaertn.,Martinique
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Martinique
Cannabaceae,Trema domingense,Urb.,Martinique
Cannabaceae,Trema lamarckianum,(Schult.) Blume,Martinique
Cannabaceae,Trema micranthum,(L.) Blume,Martinique
Capparaceae,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Martinique
Capparaceae,Crateva tapia,L.,Martinique
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Martinique
Capparaceae,Cynophalla hastata,(Jacq.) J.Presl,Martinique
Capparaceae,Morisonia americana,L.,Martinique
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Martinique
Capparaceae,Quadrella indica,(L.) Iltis & Cornejo,Martinique
Caryocaraceae,Caryocar microcarpum,Ducke,Martinique
Celastraceae,Crossopetalum rhacoma,Crantz,Martinique
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Martinique
Celastraceae,Maytenus guyanensis,Klotzsch ex Reissek,Martinique
Celastraceae,Monteverdia laevigata,(Vahl) Biral,Martinique
Celastraceae,Schaefferia frutescens,Jacq.,Martinique
Chloranthaceae,Hedyosmum arborescens,Sw.,Martinique
Chrysobalanaceae,Chrysobalanus cuspidatus,Griseb. ex Duss,Martinique
Chrysobalanaceae,Chrysobalanus icaco,L.,Martinique
Chrysobalanaceae,Hirtella pendula,Sol. ex Lam.,Martinique
Chrysobalanaceae,Hirtella triandra,Sw.,Martinique
Chrysobalanaceae,Licania ternatensis,Hook.f. ex Duss,Martinique
Chrysobalanaceae,Moquilea pyrifolia,(Griseb.) R.O.Williams,Martinique
Clusiaceae,Clusia major,L.,Martinique
Clusiaceae,Clusia mangle,Rich. ex Planch. & Triana,Martinique
Clusiaceae,Clusia plukenetii,Urb.,Martinique
Clusiaceae,Garcinia humilis,(Vahl) C.D.Adams,Martinique
Clusiaceae,Tovomita plumieri,Griseb.,Martinique
Combretaceae,Conocarpus erectus,L.,Martinique
Combretaceae,Terminalia buceras,(L.) C.Wright,Martinique
Combretaceae,Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Martinique
Cunoniaceae,Weinmannia pinnata,L.,Martinique
Dichapetalaceae,Tapura latifolia,Benth.,Martinique
Elaeocarpaceae,Sloanea berteroana,Choisy ex DC.,Martinique
Elaeocarpaceae,Sloanea caribaea,Krug & Urb. ex Duss,Martinique
Elaeocarpaceae,Sloanea dentata,L.,Martinique
Elaeocarpaceae,Sloanea dussii,Urb.,Martinique
Erythroxylaceae,Erythroxylum havanense,Jacq.,Martinique
Erythroxylaceae,Erythroxylum lineolatum,DC.,Martinique
Erythroxylaceae,Erythroxylum squamatum,Sw.,Martinique
Euphorbiaceae,Actinostemon caribaeus,Griseb.,Martinique
Euphorbiaceae,Alchornea latifolia,Sw.,Martinique
Euphorbiaceae,Argythamnia candicans,Sw.,Martinique
Euphorbiaceae,Croton astroites,Aiton,Martinique
Euphorbiaceae,Croton betulinus,Vahl,Martinique
Euphorbiaceae,Croton flavens,L.,Martinique
Euphorbiaceae,Croton hircinus,Vent.,Martinique
Euphorbiaceae,Croton micans,Sw.,Martinique
Euphorbiaceae,Euphorbia petiolaris,Sims,Martinique
Euphorbiaceae,Hippomane mancinella,L.,Martinique
Euphorbiaceae,Hura crepitans,L.,Martinique
Euphorbiaceae,Jatropha multifida,L.,Martinique
Euphorbiaceae,Sapium glandulosum,(L.) Morong,Martinique
Fabaceae,Acaciella glauca,(L.) L.Rico,Martinique
Fabaceae,Anadenanthera peregrina,(L.) Speg.,Martinique
Fabaceae,Andira inermis,(W.Wright) DC.,Martinique
Fabaceae,Bauhinia multinervia,(Kunth) DC.,Martinique
Fabaceae,Calliandra purpurea,(L.) Benth.,Martinique
Fabaceae,Calliandra tergemina,(L.) Benth.,Martinique
Fabaceae,Chloroleucon mangense,(Jacq.) Britton & Rose,Martinique
Fabaceae,Copaifera gynohirsuta,Dwyer,Martinique
Fabaceae,Crudia glaberrima,(Steud.) J.F.Macbr.,Martinique
Fabaceae,Dussia martinicensis,Krug & Urb.,Martinique
Fabaceae,Erythrina corallodendron,L.,Martinique
Fabaceae,Hymenaea courbaril,L.,Martinique
Fabaceae,Inga ingoides,(Rich.) Willd.,Martinique
Fabaceae,Inga laurina,(Sw.) Willd.,Martinique
Fabaceae,Inga martinicensis,C.Presl,Martinique
Fabaceae,Libidibia coriaria,(Jacq.) Schltdl.,Martinique
Fabaceae,Lonchocarpus heptaphyllus,(Poir.) DC.,Martinique
Fabaceae,Lonchocarpus sericeus,(Poir.) Kunth ex DC.,Martinique
Fabaceae,Lonchocarpus violaceus,(Jacq.) Kunth ex DC.,Martinique
Fabaceae,Machaerium lunatum,(L.f.) Ducke,Martinique
Fabaceae,Ormosia monosperma,(Sw.) Urb.,Martinique
Fabaceae,Parasenegalia muricata,(L.) Seigler & Ebinger,Martinique
Fabaceae,Parkinsonia aculeata,L.,Martinique
Fabaceae,Piscidia carthagenensis,Jacq.,Martinique
Fabaceae,Pithecellobium unguis-cati,(L.) Mart.,Martinique
Fabaceae,Pterocarpus officinalis,Jacq.,Martinique
Fabaceae,Senegalia angustifolia,(Lam.) Britton & Rose,Martinique
Fabaceae,Senegalia tamarindifolia,(L.) Britton & Rose,Martinique
Fabaceae,Senegalia tenuifolia,(L.) Britton & Rose,Martinique
Fabaceae,Senna atomaria,(L.) H.S.Irwin & Barneby,Martinique
Fabaceae,Senna hayesiana,(Britton & Rose) H.S.Irwin & Barneby,Martinique
Fabaceae,Sophora tomentosa,L.,Martinique
Fabaceae,Vachellia farnesiana,(L.) Wight & Arn.,Martinique
Fabaceae,Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Martinique
Fabaceae,Vachellia tortuosa,(L.) Seigler & Ebinger,Martinique
Fabaceae,Zygia latifolia,(L.) Fawc. & Rendle,Martinique
Heliotropiaceae,Tournefortia bicolor,Sw.,Martinique
Hernandiaceae,Hernandia sonora,L.,Martinique
Lamiaceae,Aegiphila elata,Sw.,Martinique
Lamiaceae,Aegiphila martinicensis,Jacq.,Martinique
Lamiaceae,Cornutia pyramidata,L.,Martinique
Lamiaceae,Vitex divaricata,Sw.,Martinique
Lauraceae,Aiouea montana,(Sw.) R.Rohde,Martinique
Lauraceae,Aniba bracteata,(Nees) Mez,Martinique
Lauraceae,Aniba ramageana,Mez,Martinique
Lauraceae,Beilschmiedia pendula,(Sw.) Hemsl.,Martinique
Lauraceae,Cinnamomum martiniquense,Lukman.,Martinique
Lauraceae,Damburneya coriacea,(Sw.) Trofimov & Rohwer,Martinique
Lauraceae,Damburneya patens,(Sw.) Trofimov,Martinique
Lauraceae,Endlicheria sericea,Nees,Martinique
Lauraceae,Licaria parvifolia,(Lam.) Kosterm.,Martinique
Lauraceae,Licaria sericea,(Griseb.) Kosterm.,Martinique
Lauraceae,Licaria triandra,(Sw.) Kosterm.,Martinique
Lauraceae,Nectandra krugii,Mez,Martinique
Lauraceae,Nectandra membranacea,(Sw.) Griseb.,Martinique
Lauraceae,Ocotea aciphylla,(Nees & Mart.) Mez,Martinique
Lauraceae,Ocotea alpina,R.A.Howard,Martinique
Lauraceae,Ocotea dominicana,(Meisn.) R.A.Howard,Martinique
Lauraceae,Ocotea eggersiana,Mez,Martinique
Lauraceae,Ocotea imrayana,Mez,Martinique
Lauraceae,Ocotea jacquinii,(Meisn.) Mez,Martinique
Lauraceae,Ocotea leptobotra,(Ruiz & Pav.) Mez,Martinique
Lauraceae,Ocotea leucoxylon,(Sw.) Laness.,Martinique
Lauraceae,Ocotea martinicensis,Mez,Martinique
Lauraceae,Persea urbaniana,Mez,Martinique
Magnoliaceae,Magnolia dodecapetala,(Lam.) Govaerts,Martinique
Malpighiaceae,Bunchosia glandulosa,(Cav.) DC.,Martinique
Malpighiaceae,Bunchosia polystachia,(Andrews) DC.,Martinique
Malpighiaceae,Byrsonima spicata,(Cav.) Rich. ex Kunth,Martinique
Malpighiaceae,Byrsonima trinitensis,A.Juss.,Martinique
Malvaceae,Apeiba tibourbou,Aubl.,Martinique
Malvaceae,Ceiba pentandra,(L.) Gaertn.,Martinique
Malvaceae,Guazuma ulmifolia,Lam.,Martinique
Malvaceae,Helicteres baruensis,Jacq.,Martinique
Malvaceae,Hibiscus tiliaceus,L.,Martinique
Malvaceae,Ochroma pyramidale,(Cav. ex Lam.) Urb.,Martinique
Malvaceae,Pavonia spinifex,(L.) Cav.,Martinique
Malvaceae,Quararibea turbinata,(Sw.) Poir.,Martinique
Malvaceae,Sterculia caribaea,R.Br.,Martinique
Malvaceae,Thespesia populnea,(L.) Sol. ex Corrêa,Martinique
Malvaceae,Triumfetta grandiflora,Vahl,Martinique
