family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Mauritania
Anacardiaceae,Lannea acida,A.Rich.,Mauritania
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,Mauritania
Anacardiaceae,Searsia tripartita,(Ucria) Moffett,Mauritania
Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,Mauritania
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Mauritania
Arecaceae,Hyphaene thebaica,(L.) Mart.,Mauritania
Bignoniaceae,Newbouldia laevis,(P.Beauv.) Seem. ex Bureau,Mauritania
Bignoniaceae,Stereospermum kunthianum,Cham.,Mauritania
Boraginaceae,Cordia sinensis,Lam.,Mauritania
Burseraceae,Commiphora africana,(A.Rich.) Engl.,Mauritania
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Mauritania
Capparaceae,Boscia angustifolia,A.Rich.,Mauritania
Capparaceae,Boscia salicifolia,Oliv.,Mauritania
Capparaceae,Boscia senegalensis,Lam.,Mauritania
Capparaceae,Cadaba farinosa,Forssk.,Mauritania
Capparaceae,Cadaba glandulosa,Forssk.,Mauritania
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Mauritania
Capparaceae,Crateva adansonii,DC.,Mauritania
Capparaceae,Maerua angolensis,DC.,Mauritania
Capparaceae,Maerua crassifolia,Forssk.,Mauritania
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Mauritania
Combretaceae,Combretum aculeatum,Vent.,Mauritania
Combretaceae,Combretum glutinosum,Perr. ex DC.,Mauritania
Combretaceae,Combretum micranthum,G.Don,Mauritania
Combretaceae,Combretum nigricans,Lepr. ex Guill. & Perr.,Mauritania
Combretaceae,Conocarpus erectus,L.,Mauritania
Combretaceae,Guiera senegalensis,J.F.Gmel.,Mauritania
Combretaceae,Terminalia avicennioides,Guill. & Perr.,Mauritania
Combretaceae,Terminalia leiocarpa,(DC.) Baill.,Mauritania
Ebenaceae,Diospyros mespiliformis,Hochst. ex A.DC.,Mauritania
Euphorbiaceae,Euphorbia sudanica,A.Chev.,Mauritania
Fabaceae,Anonychium africanum,(Guill. & Perr.) C.E.Hughes & G.P.Lewis,Mauritania
Fabaceae,Bauhinia rufescens,Lam.,Mauritania
Fabaceae,Cassia sieberiana,DC.,Mauritania
Fabaceae,Dalbergia melanoxylon,Guill. & Perr.,Mauritania
Fabaceae,Entada africana,Guill. & Perr.,Mauritania
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Mauritania
Fabaceae,Senegalia ataxacantha,(DC.) Kyal. & Boatwr.,Mauritania
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,Mauritania
Fabaceae,Senegalia macrostachya,(Rchb. ex DC.) Kyal. & Boatwr.,Mauritania
Fabaceae,Senegalia senegal,(L.) Britton,Mauritania
Fabaceae,Senna alexandrina,Mill.,Mauritania
Fabaceae,Sesbania sesban,(L.) Merr.,Mauritania
Fabaceae,Vachellia flava,(Forssk.) Kyal. & Boatwr.,Mauritania
Fabaceae,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.,Mauritania
Fabaceae,Vachellia seyal,(Delile) P.J.H.Hurter,Mauritania
Fabaceae,Vachellia sieberiana,(DC.) Kyal. & Boatwr.,Mauritania
Fabaceae,Vachellia tortilis,(Forssk.) Galasso & Banfi,Mauritania
Lamiaceae,Vitex doniana,Sweet,Mauritania
Malvaceae,Adansonia digitata,L.,Mauritania
Malvaceae,Bombax costatum,Pellegr. & Vuillet,Mauritania
Malvaceae,Grewia bicolor,Juss.,Mauritania
Malvaceae,Grewia flavescens,Juss.,Mauritania
Malvaceae,Grewia tenax,(Forssk.) Fiori,Mauritania
Malvaceae,Grewia villosa,Willd.,Mauritania
Malvaceae,Sterculia setigera,Delile,Mauritania
Moraceae,Ficus abutilifolia,(Miq.) Miq.,Mauritania
Moraceae,Ficus lecardii,Warb.,Mauritania
Moraceae,Ficus sycomorus,L.,Mauritania
Phyllanthaceae,Bridelia scleroneura,Müll.Arg.,Mauritania
Phyllanthaceae,Flueggea virosa,(Roxb. ex Willd.) Royle,Mauritania
Phyllanthaceae,Hymenocardia acida,Tul.,Mauritania
Rhamnaceae,Ziziphus mauritiana,Lam.,Mauritania
Rhamnaceae,Ziziphus mucronata,Willd.,Mauritania
Rhamnaceae,Ziziphus spina-christi,(L.) Desf.,Mauritania
Rhizophoraceae,Rhizophora racemosa,G.Mey.,Mauritania
Rubiaceae,Feretia apodanthera,Delile,Mauritania
Rubiaceae,Mitragyna inermis,(Willd.) Kuntze,Mauritania
Rubiaceae,Nauclea latifolia,Sm.,Mauritania
Salvadoraceae,Salvadora persica,L.,Mauritania
Sapotaceae,Sideroxylon spinosum,L.,Mauritania
Sapotaceae,Vitellaria paradoxa,C.F.Gaertn.,Mauritania
Tamaricaceae,Tamarix amplexicaulis,Ehrenb.,Mauritania
Tamaricaceae,Tamarix aphylla,(L.) H.Karst.,Mauritania
Tamaricaceae,Tamarix senegalensis,DC.,Mauritania
Zygophyllaceae,Balanites aegyptiaca,(L.) Delile,Mauritania
