family,taxon,author,native to
Achariaceae,Erythrospermum monticolum,Thouars,Mauritius
Anacardiaceae,Poupartia borbonica,J.F.Gmel.,Mauritius
Anacardiaceae,Poupartia castanea,Engl.,Mauritius
Anacardiaceae,Poupartia pubescens,(Hook. ex Bouton) Marchand ex Engl.,Mauritius
Anacardiaceae,Sorindeia madagascariensis,Thouars ex DC.,Mauritius
Annonaceae,Xylopia amplexicaulis,(Lam.) Baill.,Mauritius
Annonaceae,Xylopia lamarckii,Baill.,Mauritius
Annonaceae,Xylopia richardii,Boivin ex Baill.,Mauritius
Aphloiaceae,Aphloia theiformis,(Vahl) Benn.,Mauritius
Apocynaceae,Carissa spinarum,L.,Mauritius
Apocynaceae,Cerbera manghas,L.,Mauritius
Apocynaceae,Ochrosia borbonica,J.F.Gmel.,Mauritius
Apocynaceae,Tabernaemontana persicariifolia,Jacq.,Mauritius
Araliaceae,Polyscias dichrostachya,Baker,Mauritius
Araliaceae,Polyscias gracilis,Marais,Mauritius
Araliaceae,Polyscias maraisiana,Lowry & G.M.Plunkett,Mauritius
Araliaceae,Polyscias mauritiana,Marais,Mauritius
Araliaceae,Polyscias neraudiana,(Drake) Harms ex R.Vig.,Mauritius
Araliaceae,Polyscias paniculata,(DC.) Baker,Mauritius
Araliaceae,Polyscias repanda,(DC.) Baker,Mauritius
Araliaceae,Polyscias rodriguesiana,(Marais) Lowry & G.M.Plunkett,Mauritius
Arecaceae,Acanthophoenix rubra,(Bory) H.Wendl.,Mauritius
Arecaceae,Dictyosperma album,(Bory) Scheff.,Mauritius
Arecaceae,Hyophorbe amaricaulis,Mart.,Mauritius
Arecaceae,Hyophorbe lagenicaulis,(L.H.Bailey) H.E.Moore,Mauritius
Arecaceae,Hyophorbe vaughanii,L.H.Bailey,Mauritius
Arecaceae,Hyophorbe verschaffeltii,H.Wendl.,Mauritius
Arecaceae,Latania loddigesii,Mart.,Mauritius
Arecaceae,Latania verschaffeltii,Lem.,Mauritius
Arecaceae,Tectiphiala ferox,H.E.Moore,Mauritius
Asparagaceae,Dracaena concinna,Kunth,Mauritius
Asparagaceae,Dracaena floribunda,Baker,Mauritius
Asparagaceae,Dracaena reflexa,Lam.,Mauritius
Asteraceae,Monarrhenus salicifolius,Cass.,Mauritius
Bignoniaceae,Colea colei,(Bojer ex Hook.) M.L.Green     ,Mauritius
Boraginaceae,Bourreria petiolaris,(Lam.) Thulin,Mauritius
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Mauritius
Burseraceae,Canarium paniculatum,(Lam.) Benth. ex Engl.,Mauritius
Burseraceae,Protium obtusifolium,Marchand,Mauritius
