family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Mayotte
Achariaceae,Erythrospermum sifarii,"Hul, Labat & O.Pascal",Mayotte
Anacardiaceae,Operculicarya gummifera,(Sprague) Capuron,Mayotte
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Mayotte
Anacardiaceae,Sorindeia madagascariensis,Thouars ex DC.,Mayotte
Annonaceae,Annona senegalensis,Pers.,Mayotte
Annonaceae,Huberantha sambiranensis,(Capuron ex Le Thomas & G.E. Schatz) Chaowasku    ,Mayotte
Aphloiaceae,Aphloia theiformis,(Vahl) Benn.,Mayotte
Apocynaceae,Carissa spinarum,L.,Mayotte
Apocynaceae,Petchia erythrocarpa,(Vatke) Leeuwenb.,Mayotte
Apocynaceae,Rauvolfia media,Pichon,Mayotte
Apocynaceae,Schizozygia coffaeoides,Baill.,Mayotte
Apocynaceae,Tabernaemontana coffeoides,Bojer ex A.DC.,Mayotte
Araliaceae,Polyscias duplicata,(Thouars ex Baill.) Lowry & G.M.Plunkett,Mayotte
Araliaceae,Polyscias mayottensis,"Lowry, O.Pascal & Labat",Mayotte
Arecaceae,Borassus aethiopum,Mart.,Mayotte
Bignoniaceae,Colea comorensis,"(H. Perrier) Callm., Phillipson & Buerki",Mayotte
Bignoniaceae,Phyllarthron comorense,DC.,Mayotte
Boraginaceae,Cordia subcordata,Lam.,Mayotte
Boraginaceae,Ehretia cymosa,Thonn.,Mayotte
Buxaceae,Buxus madagascarica,Baill.,Mayotte
Buxaceae,Buxus moratii,G.E.Schatz & Lowry,Mayotte
Cannabaceae,Celtis mildbraedii,Engl.,Mayotte
Cannabaceae,Sparrea gomphophylla,(Baker) X.G.Fu & T.S.Yi,Mayotte
Capparaceae,Crateva excelsa,Bojer,Mayotte
Celastraceae,Brexia madagascariensis,(Lam.) Thouars ex Ker Gawl.,Mayotte
Clusiaceae,Garcinia anjouanensis,(H.Perrier) P.W.Sweeney & Z.S.Rogers,Mayotte
Clusiaceae,Garcinia livingstonei,T.Anderson,Mayotte
Combretaceae,Lumnitzera racemosa,Willd.,Mayotte
Combretaceae,Terminalia boivinii,Tul.,Mayotte
Combretaceae,Terminalia ulexoides,H.Perrier,Mayotte
Cycadaceae,Cycas thouarsii,R.Br. ex Gaudich.,Mayotte
Dichapetalaceae,Dichapetalum madagascariense,Poir.,Mayotte
