family,taxon,author,native to
Acanthaceae,Aphelandra heydeana,Donn.Sm.,Mexico
Acanthaceae,Aphelandra lineariloba,Leonard,Mexico
Acanthaceae,Aphelandra scabra,(Vahl) Sm.,Mexico
Acanthaceae,Aphelandra schiedeana,Schltdl. & Cham.,Mexico
Acanthaceae,Aphelandra speciosa,Brandegee,Mexico
Acanthaceae,Avicennia bicolor,Standl.,Mexico
Acanthaceae,Avicennia germinans,(L.) L.,Mexico
Acanthaceae,Bravaisia berlandieriana,(Nees) T.F.Daniel,Mexico
Acanthaceae,Bravaisia grandiflora,Donn.Sm.,Mexico
Acanthaceae,Bravaisia integerrima,(Spreng.) Standl.,Mexico
Acanthaceae,Justicia aurea,Schltdl.,Mexico
Acanthaceae,Justicia eburnea,D.N.Gibson,Mexico
Acanthaceae,Justicia kanal,T.F.Daniel,Mexico
Acanthaceae,Justicia macrantha,Benth.,Mexico
Acanthaceae,Justicia spicigera,Schltdl.,Mexico
Acanthaceae,Louteridium brevicalyx,A.T.Richardson,Mexico
Acanthaceae,Louteridium dendropilosum,T.F.Daniel,Mexico
Acanthaceae,Louteridium donnell-smithii,S.Watson,Mexico
Acanthaceae,Louteridium koelzii,Miranda & McVaugh,Mexico
Acanthaceae,Louteridium mexicanum,(Baill.) Standl.,Mexico
Acanthaceae,Louteridium parayi,Miranda,Mexico
Acanthaceae,Louteridium purpusii,Brandegee,Mexico
Acanthaceae,Louteridium rzedowskianum,T.F.Daniel,Mexico
Acanthaceae,Louteridium tamaulipense,A.T.Richardson,Mexico
Acanthaceae,Ruellia jaliscana,Standl.,Mexico
Acanthaceae,Spathacanthus hahnianus,Baill.,Mexico
Acanthaceae,Spathacanthus magdalenae,Cast.-Campos,Mexico
Acanthaceae,Spathacanthus parviflorus,Leonard,Mexico
Achariaceae,Chiangiodendron mexicanum,Wendt,Mexico
Achariaceae,Lindackeria laurina,C.Presl,Mexico
Achatocarpaceae,Achatocarpus gracilis,H.Walter,Mexico
Achatocarpaceae,Achatocarpus nigricans,Triana,Mexico
Achatocarpaceae,Achatocarpus oaxacanus,Standl.,Mexico
Achatocarpaceae,Achatocarpus pubescens,C.H.Wright,Mexico
Achatocarpaceae,Phaulothamnus spinescens,A.Gray,Mexico
Actinidiaceae,Saurauia angustifolia,Turcz.,Mexico
Actinidiaceae,Saurauia aspera,Turcz.,Mexico
