family,taxon,author,native to
Acanthaceae,Avicennia alba,Blume,Micronesia (Federated States of)
Achariaceae,Pangium edule,Reinw.,Micronesia (Federated States of)
Anacardiaceae,Buchanania engleriana,Volkens,Micronesia (Federated States of)
Anacardiaceae,Campnosperma brevipetiolatum,Volkens,Micronesia (Federated States of)
Anacardiaceae,Rhus taitensis,Guill.,Micronesia (Federated States of)
Anacardiaceae,Semecarpus kraemeri,Lauterb.,Micronesia (Federated States of)
Anacardiaceae,Semecarpus venenosus,Volkens,Micronesia (Federated States of)
Apocynaceae,Cerbera manghas,L.,Micronesia (Federated States of)
Apocynaceae,Cerbera odollam,Gaertn.,Micronesia (Federated States of)
Apocynaceae,Lepinia ponapensis,Hosok.,Micronesia (Federated States of)
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Micronesia (Federated States of)
Aquifoliaceae,Ilex volkensiana,(Loes.) Kaneh. & Hatus.,Micronesia (Federated States of)
Araliaceae,Heptapleurum kraemeri,(Harms) Lowry & G.M.Plunkett,Micronesia (Federated States of)
Araliaceae,Meryta senfftiana,Volkens,Micronesia (Federated States of)
Araliaceae,Polyscias subcapitata,Kaneh.,Micronesia (Federated States of)
Arecaceae,Clinostigma carolinense,(Becc.) H.E.Moore & Fosberg,Micronesia (Federated States of)
Arecaceae,Clinostigma ponapense,(Becc.) H.E.Moore & Fosberg,Micronesia (Federated States of)
Arecaceae,Metroxylon amicarum,(H.Wendl.) Hook.f.,Micronesia (Federated States of)
Arecaceae,Nypa fruticans,Wurmb,Micronesia (Federated States of)
Arecaceae,Ponapea hosinoi,Kaneh.,Micronesia (Federated States of)
Arecaceae,Ponapea ledermanniana,Becc.,Micronesia (Federated States of)
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,Micronesia (Federated States of)
Bignoniaceae,Dolichandrone spathacea,(L.f.) Seem.,Micronesia (Federated States of)
Cannabaceae,Celtis paniculata,(Endl.) Planch.,Micronesia (Federated States of)
Cannabaceae,Gironniera celtidifolia,Gaudich.,Micronesia (Federated States of)
Cannabaceae,Trema orientale,(L.) Blume,Micronesia (Federated States of)
Cannabaceae,Trema tomentosum,(Roxb.) H.Hara,Micronesia (Federated States of)
Chrysobalanaceae,Atuna excelsa,(Jack) Kosterm.,Micronesia (Federated States of)
Chrysobalanaceae,Maranthes corymbosa,Blume,Micronesia (Federated States of)
Clusiaceae,Garcinia carolinensis,(Lauterb.) Kosterm.,Micronesia (Federated States of)
Clusiaceae,Garcinia ponapensis,Lauterb.,Micronesia (Federated States of)
Clusiaceae,Garcinia quadrilocularis,Seeth.,Micronesia (Federated States of)
Clusiaceae,Garcinia rumiyo,Kaneh.,Micronesia (Federated States of)
Combretaceae,Lumnitzera littorea,(Jack) Voigt,Micronesia (Federated States of)
Combretaceae,Terminalia carolinensis,Kaneh.,Micronesia (Federated States of)
Combretaceae,Terminalia catappa,L.,Micronesia (Federated States of)
Combretaceae,Terminalia samoensis,Rech.,Micronesia (Federated States of)
Ebenaceae,Diospyros foliosa,(Rich. ex A.Gray) Bakh.,Micronesia (Federated States of)
Elaeocarpaceae,Elaeocarpus carolinensis,Koidz.,Micronesia (Federated States of)
Elaeocarpaceae,Elaeocarpus kerstingianus,Schltr.,Micronesia (Federated States of)
Elaeocarpaceae,Elaeocarpus kusaiensis,Kaneh.,Micronesia (Federated States of)
Elaeocarpaceae,Elaeocarpus kusanoi,Koidz.,Micronesia (Federated States of)
